VISIT_NO,EPA_REG,ECO3,ECO3_NAM,NUT_REG,NUTREG_NAME,ECO_NUTA,ECO3_X_ORIGIN,HUC2,HUC8,SITEID_07,LON_DD,LAT_DD,STATE,CNTYNAME,LAKE_ORIGIN,LakeArea,LakePerim,LakeDepth,LakeEleva,DATE,Silica,DOC,NTL,PTL,pH,Cond,Temp,Sol
1,Region_8,41,Canadian Rockies,II,Western Forested Mountains,II,WMTNS NATURAL,10,10010001,NLA06608-0001,-114.0218399,48.979029,MT,GLACIER,NATURAL,66.2930555,3.178509805,8.3,1605.73,7/31/2007,1182,630,151,6,7.63,96.28,14.977778,5.691960784
1,Region_4,63,Middle Atlantic Coastal Plain,XIV,Eastern Coastal Plain,CPL,PLNLOW MAN-MADE,3,3050201,NLA06608-0002,-79.98379054,33.036064,SC,BERKELEY,MAN-MADE,14.43799807,1.743509934,2.3,4.9,6/14/2007,1695,14020,695,36,6.05,44.8,22.218,5.711437908
1,Region_6,34,Western Gulf Coastal Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,PLNLOW NATURAL,12,12110111,NLA06608-0003,-97.85986605,28.047742,TX,SAN PATRICIO,NATURAL,5.701736559,1.265008306,2.5,17.6,8/29/2007,45248,6000,738,43,8.47,1089,29.96,5.222352941
1,Region_8,21,Southern Rockies,II,Western Forested Mountains,II,WMTNS MAN-MADE,14,14080202,NLA06608-0004,-108.4045832,37.41662,CO,MONTEZUMA,MAN-MADE,65.38630923,6.011153731,6.3,2213,7/10/2007,2763,8000,344,18,8.25,303.3,20.242857,6.659215686
1,Region_10,16,Idaho Batholith,II,Western Forested Mountains,II,WMTNS NATURAL,17,17060201,NLA06608-0005,-114.8403862,43.929209,ID,BLAINE,NATURAL,19.48761255,1.962187216,6.1,2138,7/18/2007,6166,1450,85,4,7.75,52.62,20.042857,6.420653595
1,Region_1,59,Northeastern Coastal Zone,XIV,Eastern Coastal Plain,CPL,EHIGH MAN-MADE,1,1100005,NLA06608-0006,-73.1465177,41.683146,CT,LITCHFIELD,MAN-MADE,56.19974819,5.836994717,25.3,198.75,7/17/2007,2482,3160,184,7,7.06,74.74,10.9148,5.731176471
1,Region_5,51,North Central Hardwood Forests,VII,Mostly Glaciated Dairy Region,VII,PLNLOW NATURAL,7,7050007,NLA06608-0007,-92.04001797,45.580645,WI,BARRON,NATURAL,25.4747633,3.02298601,19.2,390.86,7/24/2007,91,6680,493,8,6.07,26.65,11.145,5.465816993
1,Region_7,47,Western Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,PLNLOW MAN-MADE,7,7100008,NLA06608-0008,-93.59040488,41.292111,IA,WARREN,MAN-MADE,48.7370362,5.71138051,5.5,261.56,7/12/2007,3789,7600,801,66,8.48,238.1,24.2,5.712222222
1,Region_5,56,Southern Michigan/Northern Indiana Drift Plains,VII,Mostly Glaciated Dairy Region,VII,PLNLOW NATURAL,4,4090005,NLA06608-0010,-83.50588771,42.61823,MI,OAKLAND,NATURAL,30.03733238,2.423467747,11.8,284.65,7/17/2007,3131,4940,473,10,8.74,650.1,17.876923,5.732745098
1,Region_6,27,Central Great Plains,V,South Central Cultivated Great Plains,V,PLNLOW MAN-MADE,11,11050003,NLA06608-0012,-96.87178731,35.990788,OK,PAYNE,MAN-MADE,177.6575126,13.50645679,3.5,255.6,6/13/2007,10202,8010,1026,159,7.64,219.5,26.506,5.317124183
