TSN,,Genus,,Species,,Variety,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10000||Amphidinium||fusiforme||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
180780,,Collodictyon,,ciliatum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,5418,,0,,0,3,220,,,[TU]|180780||Collodictyon||ciliatum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|5418||0||0|3|220||
180781,,Collodictyon,,semiciliatum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,5418,,0,,0,3,220,,,[TU]|180781||Collodictyon||semiciliatum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|5418||0||0|3|220||
180782,,Carteria,,ellipsoidalis,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,5429,,0,,0,3,220,,,[TU]|180782||Carteria||ellipsoidalis||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|5429||0||0|3|220||
180783,,Chlamydomonas,,nomadina,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,5448,,0,,0,3,220,,,[TU]|180783||Chlamydomonas||nomadina||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|5448||0||0|3|220||
180784,,Chlamydomonas,,reinhardtii,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,5448,,39522,,0,3,220,,,[TU]|180784||Chlamydomonas||reinhardtii||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|5448||39522||0|3|220||
180785,,Chlamydomonas,,subasymmetrica,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,5448,,0,,0,3,220,,,[TU]|180785||Chlamydomonas||subasymmetrica||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|5448||0||0|3|220||
180786,,Chlorogonium,,hyalinum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,5539,,0,,0,3,220,,,[TU]|180786||Chlorogonium||hyalinum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|5539||0||0|3|220||
180787,,Glenomonas,,,,,,,,accepted,,No review; untreated NODC data,unknown,unknown,0,1996/6/13 14:51,5423,,0,,0,3,180,,,[TU]|180787||Glenomonas||||||||accepted||No review; untreated NODC data|unknown|unknown|0|1996-06-13 14:51:08|5423||0||0|3|180||
180788,,Glenomonas,,ornatus,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,180787,,0,,0,3,220,,,[TU]|180788||Glenomonas||ornatus||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|180787||0||0|3|220||
180789,,Hyalogonium,,,,,,,,accepted,,No review; untreated NODC data,unknown,unknown,0,1996/6/13 14:51,5423,,0,,0,3,180,,,[TU]|180789||Hyalogonium||||||||accepted||No review; untreated NODC data|unknown|unknown|0|1996-06-13 14:51:08|5423||0||0|3|180||
180790,,Hyalogonium,,klebsi,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,180789,,0,,0,3,220,,,[TU]|180790||Hyalogonium||klebsi||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|180789||0||0|3|220||
180791,,Pleodorina,,sphaerica,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,5594,,0,,0,3,220,,,[TU]|180791||Pleodorina||sphaerica||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|5594||0||0|3|220||
180792,,Eudorina,,charkowiensis,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,5597,,0,,0,3,220,,,[TU]|180792||Eudorina||charkowiensis||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|5597||0||0|3|220||
180793,,Pteromonas,,spinosa,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,5626,,0,,0,3,220,,,[TU]|180793||Pteromonas||spinosa||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|5626||0||0|3|220||
180794,,Uronema,,acutum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,6440,,0,,0,3,220,,,[TU]|180794||Uronema||acutum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|6440||0||0|3|220||
180795,,Uronema,,griseolum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,6440,,0,,0,3,220,,,[TU]|180795||Uronema||griseolum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|6440||0||0|3|220||
180796,,Nephroselmis,,olivacea,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9521,,0,,0,3,220,,,[TU]|180796||Nephroselmis||olivacea||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9521||0||0|3|220||
181238,,Chloropelta,,,,,,,,accepted,,No review; untreated NODC data,unknown,unknown,0,1996/6/13 14:51,6501,,0,,0,3,180,,,[TU]|181238||Chloropelta||||||||accepted||No review; untreated NODC data|unknown|unknown|0|1996-06-13 14:51:08|6501||0||0|3|180||
181239,,Chloropelta,,caespitosa,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,181238,,43332,,0,3,220,,,[TU]|181239||Chloropelta||caespitosa||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|181238||43332||0|3|220||
182947,,Enteromorpha,,flexuosa,var.,flexuosa,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,6544,,0,,0,3,240,,,[TU]|182947||Enteromorpha||flexuosa|var.|flexuosa||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|6544||0||0|3|240||
182948,,Pringsheimiella,,udoteae,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,6614,,31857,,0,3,220,,,[TU]|182948||Pringsheimiella||udoteae||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|6614||31857||0|3|220||
182949,,Rhizoclonium,,africanum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,6853,,41255,,0,3,220,,,[TU]|182949||Rhizoclonium||africanum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|6853||41255||0|3|220||
182950,,Rhizoclonium,,reparium,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,6853,,36718,,0,3,220,,,[TU]|182950||Rhizoclonium||reparium||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|6853||36718||0|3|220||
