SITE_ID,VISIT_NO,LON_DD,LAT_DD,EPA_REG,ECO_LEV_3,ECO_L3_NAM,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,AREA_HA,LAKEPERIM,DEPTHMAX,ELEV_PT,HUC_2,HUC_8
NLA06608-0001,1,-114.0218399,48.97902855,Region_8,41,Canadian Rockies,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,66.2930555,3.178509805,8.3,1605.73,10,10010001
NLA06608-0002,1,-79.98379054,33.03606404,Region_4,63,Middle Atlantic Coastal Plain,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,14.43799807,1.743509934,2.3,4.9,3,3050201
NLA06608-0002,2,-79.98379054,33.03606404,Region_4,63,Middle Atlantic Coastal Plain,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,14.43799807,1.743509934,1.3,4.9,3,3050201
NLA06608-0003,1,-97.85986605,28.04774206,Region_6,34,Western Gulf Coastal Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,5.701736559,1.265008306,2.5,17.6,12,12110111
NLA06608-0003,2,-97.85986605,28.04774206,Region_6,34,Western Gulf Coastal Plain,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,5.701736559,1.265008306,2.4,17.6,12,12110111
NLA06608-0004,1,-108.4045832,37.41662013,Region_8,21,Southern Rockies,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,65.38630923,6.011153731,6.3,2213,14,14080202
NLA06608-0004,2,-108.4045832,37.41662013,Region_8,21,Southern Rockies,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,65.38630923,6.011153731,6,2213,14,14080202
NLA06608-0005,1,-114.8403862,43.92920926,Region_10,16,Idaho Batholith,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,19.48761255,1.962187216,6.1,2138,17,17060201
NLA06608-0005,2,-114.8403862,43.92920926,Region_10,16,Idaho Batholith,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,19.48761255,1.962187216,6.9,2138,17,17060201
NLA06608-0006,1,-73.1465177,41.68314624,Region_1,59,Northeastern Coastal Zone,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,56.19974819,5.836994717,25.3,198.75,1,1100005
NLA06608-0006,2,-73.1465177,41.68314624,Region_1,59,Northeastern Coastal Zone,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,56.19974819,5.836994717,23.8,198.75,1,1100005
NLA06608-0007,1,-92.04001797,45.58064546,Region_5,51,North Central Hardwood Forests,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,25.4747633,3.02298601,19.2,390.86,7,7050007
NLA06608-0007,2,-92.04001797,45.58064546,Region_5,51,North Central Hardwood Forests,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,25.4747633,3.02298601,19,390.86,7,7050007
NLA06608-0008,1,-93.59040488,41.29211104,Region_7,47,Western Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,48.7370362,5.71138051,5.5,261.56,7,7100008
NLA06608-0008,2,-93.59040488,41.29211104,Region_7,47,Western Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,48.7370362,5.71138051,5.5,261.56,7,7100008
NLA06608-0010,1,-83.50588771,42.61823014,Region_5,56,Southern Michigan/Northern Indiana Drift Plains,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,30.03733238,2.423467747,11.8,284.65,4,4090005
NLA06608-0010,2,-83.50588771,42.61823014,Region_5,56,Southern Michigan/Northern Indiana Drift Plains,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,30.03733238,2.423467747,11,284.65,4,4090005
NLA06608-0012,1,-96.87178731,35.99078823,Region_6,27,Central Great Plains,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,177.6575126,13.50645679,3.5,255.6,11,11050003
NLA06608-0012,2,-96.87178731,35.99078823,Region_6,27,Central Great Plains,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,177.6575126,13.50645679,3.4,255.6,11,11050003
NLA06608-0013,1,-74.56255123,39.97428032,Region_2,84,Atlantic Coastal Pine Barrens,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,37.14025576,8.284688178,2.3,15.44,2,2040202
NLA06608-0013,2,-74.56255123,39.97428032,Region_2,84,Atlantic Coastal Pine Barrens,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,37.14025576,8.284688178,2.3,15.44,2,2040202
NLA06608-0014,1,-100.5756807,47.83492738,Region_8,46,Northern Glaciated Plains,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,12.80952857,1.383813932,1.7,498.4,9,9010003
NLA06608-0014,2,-100.5756807,47.83492738,Region_8,46,Northern Glaciated Plains,VI,Corn Belt and Northern Great Plains,VI,NATURAL,PLNLOW NATURAL,12.80952857,1.383813932,1.7,498.4,9,9010003
NLA06608-0015,1,-107.2747938,33.0071076,Region_6,24,Chihuahuan Deserts,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,173.9929805,50.15536722,7,1275.36,13,13030101
NLA06608-0015,2,-107.2747938,33.0071076,Region_6,24,Chihuahuan Deserts,III,Xeric West,III,MAN-MADE,WMTNS MAN-MADE,173.9929805,50.15536722,5.9,1275.36,13,13030101
NLA06608-0016,1,-100.7797567,41.03025217,Region_7,44,Nebraska Sand Hills,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,PLNLOW MAN-MADE,641.0233086,18.96803762,6.3,916,10,10190018
NLA06608-0016,2,-100.7797567,41.03025217,Region_7,44,Nebraska Sand Hills,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,PLNLOW MAN-MADE,641.0233086,18.96803762,6.8,916,10,10190018
NLA06608-0019,1,-99.51185877,46.36688788,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,103.3135279,7.965656888,1.2,600.25,10,10130104
NLA06608-0019,2,-99.51185877,46.36688788,Region_8,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,NATURAL,PLNLOW NATURAL,103.3135279,7.965656888,1,600.25,10,10130104
NLA06608-0020,1,-87.81380832,39.40817838,Region_5,54,Central Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,296.2001459,36.78983872,14.9,184.92,5,5120111
NLA06608-0020,2,-87.81380832,39.40817838,Region_5,54,Central Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,296.2001459,36.78983872,13.7,184.92,5,5120111
NLA06608-0021,1,-77.3095481,42.77191973,Region_2,83,Eastern Great Lakes and Hudson Lowlands,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,4226.925272,56.14938354,53,209.55,4,4140201
NLA06608-0021,2,-77.3095481,42.77191973,Region_2,83,Eastern Great Lakes and Hudson Lowlands,VII,Mostly Glaciated Dairy Region,VII,NATURAL,EHIGH NATURAL,4226.925272,56.14938354,46.3,209.55,4,4140201
NLA06608-0023,1,-97.745332,31.14849172,Region_6,29,Cross Timbers,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,6.20722172,0.974665509,3,265.85,12,12070202
NLA06608-0023,2,-97.745332,31.14849172,Region_6,29,Cross Timbers,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,6.20722172,0.974665509,2.8,265.85,12,12070202
NLA06608-0024,1,-95.48843409,32.1220497,Region_6,35,South Central Plains,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,9530.145112,239.2872937,12.9,105.13,12,12020001
NLA06608-0024,2,-95.48843409,32.1220497,Region_6,35,South Central Plains,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,PLNLOW MAN-MADE,9530.145112,239.2872937,10.5,105.13,12,12020001
