SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,DATEPHYT,SAMPLED_PHYT,SAMPLE_CATEGORY,INDXSAMP_PHYT,SAMPLE_TYPE,SAMPLE_DEPTH,PHYT_VOLUME,PRESERVED_PHYT,FLAG_FLD_PHYT,SAMPLE_ID,LAB_ID,INIT_VOL,CONC_VOL,TOT_AREA,CNT_AREA,LAB_TAXON,COUNT,PROPORTION,UNITCELLS,CNT_UNIT,DIVISION,ORDER,FAMILY,GENUS,SPECIES,VARIETY,DISTINCT,TAXONOMIST,SOURCELAB,SOURCEDATE,DATATYPE
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,1010,18,0.052023121,,C,Chrysophyta (Bacillariophyceae),Pennales,Achnanthidiaceae,Achnanthidium,minutissimum,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,10008,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Centrales,Aulacoseiraceae,Aulacoseira,ambigua,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,10002,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Centrales,Aulacoseiraceae,Aulacoseira,italica,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,16019,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Achnanthaceae,Cocconeis,neodiminuta,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,16004,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Achnanthaceae,Cocconeis,placentula,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,0,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Centrales,Stephanodiscaceae,Cyclotella,,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,20023,253,0.731213873,,C,Chrysophyta (Bacillariophyceae),Centrales,Stephanodiscaceae,Cyclotella,comensis,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,20063,12,0.034682081,,C,Chrysophyta (Bacillariophyceae),Centrales,Stephanodiscaceae,Cyclotella,distinguenda,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,20009,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Centrales,Stephanodiscaceae,Cyclotella,ocellata,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,20992,2,0.005780347,,C,Chrysophyta (Bacillariophyceae),Centrales,Stephanodiscaceae,Cyclotella,,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,20994,32,0.092485549,,C,Chrysophyta (Bacillariophyceae),Centrales,Stephanodiscaceae,Cyclotella,,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,187002,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Achnanthidiaceae,Eucocconeis,laevis,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,37003,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Gomphonemataceae,Gomphonema,angustatum,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,37065,2,0.005780347,,C,Chrysophyta (Bacillariophyceae),Pennales,Gomphonemataceae,Gomphonema,olivaceum,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,37010,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Gomphonemataceae,Gomphonema,parvulum,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,37172,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Gomphonemataceae,Gomphonema,pseudotenellum,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,37080,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Gomphonemataceae,Gomphonema,rhombicum,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,40002,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Bacillariaceae,Hantzschia,amphioxys,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,46259,2,0.005780347,,C,Chrysophyta (Bacillariophyceae),Pennales,Naviculaceae,Navicula,diluviana,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,48274,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Bacillariaceae,Nitzschia,agnita,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,48228,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Bacillariaceae,Nitzschia,palea,debilis,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,48026,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Bacillariaceae,Nitzschia,palea,tenuirostris,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,52083,4,0.011560694,,C,Chrysophyta (Bacillariophyceae),Pennales,Pinnulariaceae,Pinnularia,dubitabilis,,Y,KMM,EA,20090216,PHYT
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,P,YES,DIATOM,2,1000,,,507623,5069.24.48,333,3,394,28.28611482,52990,1,0.002890173,,C,Chrysophyta (Bacillariophyceae),Pennales,Pinnulariaceae,Pinnularia,,,Y,KMM,EA,20090216,PHYT
