TSN,,Genus,,Species,,Variety
13700,,Craspedophyta,,,,
13701,,Craspedophyceae,,,,
13702,,Craspedomonadales,,,,
13703,,Codonosigaceae,,,,
13704,,Amphimonadidae,,,,
13706,,Codonocladium,,,,
13707,,Codonocladium,,cymosum,,
13708,,Codosiga,,,,
13709,,Codosiga,,gracilis,,
13710,,Desmarella,,,,
13711,,Desmarella,,moniliformis,,
13712,,Desmarella,,phalanx,,
13713,,Monosiga,,,,
13714,,Monosiga,,marina,,
13715,,Monosiga,,ovata,,
13716,,Monosiga,,varians,,
13717,,Proterospongia,,,,
13718,,Proterospongia,,haeckelii,,
13719,,Proterospongia,,skujae,,
13720,,Proterospongia,,choanojuncta,,
13721,,Proterospongia,,dybsoeensis,,
13722,,Polydeca,,,,
13723,,Polydeca,,dichotoma,,
13724,,Cladomonas,,,,
13725,,Cladomonas,,fruticulosa,,
13726,,Sphaeroeca,,,,
13727,,Sphaeroeca,,volvox,,
13728,,Salpingoecaceae,,,,
13730,,Choanoeca,,,,
13731,,Choanoeca,,perplexa,,
13732,,Pachysoeca,,,,
13733,,Pachysoeca,,longicollis,,
13734,,Salpingoeca,,,,
13735,,Salpingoeca,,longicauda,,
13736,,Salpingoeca,,frequentissima,,
13737,,Salpingoeca,,vagnicola,,
13738,,Stelexomonas,,,,
13739,,Stelexomonas,,dichomata,,
13740,,Acanthoecaceae,,,,
13741,,Acanthoeca,,,,
13742,,Acanthoeca,,spectabilis,,
13743,,Acanthoeca,,brevipoda,,
13744,,Diaphanoeca,,,,
13745,,Diaphanoeca,,aperta,,
13746,,Diaphanoeca,,grandis,,
13747,,Parvicorbicula,,,,
13748,,Parvicorbicula,,socialis,,
13749,,Parvicorbicula,,serrulata,,
13750,,Savillea,,,,
13751,,Savillea,,parva,,
13752,,Stephanoeca,,,,
13754,,Stephanoeca,,ampulla,,
13755,,Pleurasiga,,,,
13756,,Pleurasiga,,caudata,,
13758,,Radiospermum,,,,
13759,,Radiospermum,,corbiferum,,
13760,,Piropsis,,,,
13761,,Piropsis,,polita,,
180797,,Euglena,,geniculata,,
180798,,Euglena,,grannulata,,
180799,,Euglena,,hemichromata,,
180800,,Euglena,,mesnili,,
180801,,Euglena,,minima,,
180802,,Euglena,,oblonga,,
180803,,Euglena,,obtusa,,
180804,,Euglena,,splendens,,
180805,,Trachelomonas,,pulchella,,
180806,,Trachelomonas,,playfairii,,
180807,,Trachelomonas,,dubia,,
180808,,Trachelomonas,,elegans,,
180809,,Trachelomonas,,grandis,,
180810,,Trachelomonas,,klebsii,,
180811,,Trachelomonas,,oblonga,,
180812,,Trachelomonas,,setosa,,
180813,,Trachelomonas,,similis,,
180814,,Trachelomonas,,teres,,
180815,,Trachelomonas,,verrucosa,,
180816,,Lepocinclis,,playfairiana,,
180817,,Phacus,,nordstedtii,,
180818,,Phacus,,aenigmaticus,,
180819,,Phacus,,alatus,,
180820,,Phacus,,dangeardii,,
180821,,Phacus,,glaber,,
180822,,Phacus,,miriabilis,,
180823,,Phacus,,monilatus,,
180824,,Phacus,,oscillans,,
180825,,Phacus,,rudicula,,
180826,,Phacus,,textus,,
180827,,Phacus,,trimarginatus,,
180828,,Phacus,,wettsteint,,
180829,,Khawkinea,,halli,,
180830,,Khawkinea,,ocellata,,
180831,,Menoidium,,gibbum,,
180832,,Menoidium,,gracile,,
180833,,Menoidium,,pellucidum,,
180834,,Sphenomonas,,triquetra,,
180835,,Petalomonas,,alata,,
