TSN,,Genus,,Species,,Variety
1000,,Phormidium,,crosbyanum,,
1001,,Phormidium,,favosum,,
1002,,Phormidium,,inundatum,,
1003,,Phormidium,,luridum,,
1004,,Phormidium,,minnesotense,,
1005,,Phormidium,,lucidum,,
1006,,Phormidium,,incrustatum,,
1007,,Phormidium,,ambiguum,,
1008,,Phormidium,,setchellianum,,
1009,,Phormidium,,nucicola,,
1010,,Phormidium,,angustissimum,,
1011,,Phormidium,,autumale,,
1012,,Phormidium,,corium,,
1013,,Phormidium,,crouani,,
1014,,Phormidium,,fragile,,
1015,,Phormidium,,molle,,
1016,,Phormidium,,truncatum,,
1017,,Phormidium,,subfuscum,,
1018,,Phormidium,,tinctorium,,
1019,,Phormidium,,valderianum,,
1020,,Phormidium,,africanum,,
1021,,Phormidium,,bigranulatum,,
1022,,Phormidium,,bohneri,,
1023,,Phormidium,,frigidum,,
1024,,Phormidium,,jenkelianum,,
1025,,Phormidium,,laminosum,,
1026,,Phormidium,,lignicola,,
1027,,Phormidium,,subcapitatum,,
1028,,Porphyrosiphon,,,,
1029,,Porphyrosiphon,,notarissi,,
1030,,Porphyrosiphon,,splendidus,,
1032,,Schizothrix,,,,
1033,,Schizothrix,,arenaria,,
1034,,Schizothrix,,calcicola,,
1035,,Schizothrix,,tenerrima,,
1036,,Schizothrix,,lacustris,,
1037,,Schizothrix,,mexicana,,
1038,,Schizothrix,,fuscencens,,
1039,,Schizothrix,,telephroides,,
1040,,Schizothrix,,symplocoides,,
1041,,Schizothrix,,rivularis,,
1042,,Schizothrix,,purpurascens,,
1043,,Schizothrix,,lardacea,,
1044,,Schizothrix,,lamyi,,
1045,,Schizothrix,,hyalina,,
1046,,Schizothrix,,friesii,,
1047,,Schizothrix,,aikenensis,,
1048,,Schizothrix,,purcellii,,
1049,,Schizothrix,,fasciculata,,
1050,,Schizothrix,,muelleri,,
1051,,Schizothrix,,tinctoria,,
1052,,Schizothrix,,vaginata,,
1053,,Spirulina,,,,
1054,,Spirulina,,major,,
1055,,Spirulina,,subsalsa,,
1056,,Spirulina,,subsalsa,,oceanica
1057,,Spirulina,,subsalsa,,subsalsa
1058,,Spirulina,,tenerrima,,
1059,,Spirulina,,weissii,,
1060,,Spirulina,,princeps,,
1061,,Spirulina,,subtilissima,,
1062,,Spirulina,,labyrinthiformis,,
1063,,Spirulina,,laxa,,
1064,,Spirulina,,laxissima,,
1065,,Spirulina,,meneghiniana,,
1066,,Spirulina,,nordstedtii,,
1067,,Spirulina,,corakiana,,
1068,,Spirulina,,crispum,,
1069,,Symploca,,,,
1070,,Symploca,,atlantica,,
1071,,Symploca,,hydnoides,,
1072,,Symploca,,muscorum,,
1073,,Symploca,,meneghiniana,,
1074,,Symploca,,borealis,,
1075,,Symploca,,dubia,,
1076,,Symploca,,willei,,
1077,,Symploca,,muralis,,
1078,,Romeria,,,,
1079,,Romeria,,bicornis,,
1081,,Romeria,,leopoliensis,,
1082,,Romeria,,elegans,,
1083,,Romeria,,elegans,,elegans
1084,,Romeria,,elegans,,nivicola
1085,,Pelagothrix,,,,
1086,,Pelagothrix,,clevei,,
1090,,Arthrospira,,,,
1091,,Arthrospira,,jenneri,,
1092,,Arthrospira,,gomontiana,,
1093,,Arthrospira,,neapolitana,,
1094,,Isocystis,,,,
1095,,Isocystis,,messanensis,,
1096,,Isocystis,,pallida,,
1097,,Borzia,,,,
1098,,Borzia,,trilocularis,,
1099,,Nostocaceae,,,,
109,,Desulfovibrio,,,,
1100,,Anabaena,,,,
1101,,Anabaena,,inaequalis,,
1102,,Anabaena,,sphaerica,,
1103,,Anabaena,,torulosa,,
1104,,Anabaena,,circinalis,,
1105,,Anabaena,,variabilis,,
1106,,Anabaena,,catenula,,
1107,,Anabaena,,affinis,,
1108,,Anabaena,,bornetiana,,
1109,,Anabaena,,flosaquae,,
1110,,Anabaena,,flosaquae,,flosaquae
1111,,Anabaena,,flosaquae,,minor
1112,,Anabaena,,flosaquae,,treleasei
1113,,Anabaena,,levanderi,,
1114,,Anabaena,,macrospora,,
1115,,Anabaena,,macrospora,,macrospora
1116,,Anabaena,,macrospora,,robusta
1117,,Anabaena,,planctonica,,
1118,,Anabaena,,scheremetievi,,
1119,,Anabaena,,spiroides,,
111,,Desulfovibrio,,desulfuricans,,
1120,,Anabaena,,spiroides,,spiroides
1121,,Anabaena,,spiroides,,crassa
1122,,Anabaena,,subcylindrica,,
1123,,Anabaena,,unispora,,
1124,,Anabaena,,viguieri,,
1125,,Anabaena,,zierlingii,,
1126,,Anabaena,,aphanizomendoides,,
1127,,Anabaena,,oscillarioides,,
1128,,Anabaena,,cylindrica,,
1129,,Anabaena,,aequalis,,
112,,Desulfovibrio,,gigas,,
