"Lat","Lon","ID"
33,-87,64
33,-87,64
34,-87,82
34,-86,83
33,-88,63
32,-88,44
32,-88,44
33,-88,63
31,-88,29
34,-86,83
33,-86,65
33,-88,63
35,-92,96
35,-92,96
36,-91,118
34,-93,79
36,-94,117
33,-93,60
33,-93,60
36,-91,118
34,-94,78
35,-93,95
34,-112,71
34,-112,71
35,-112,87
35,-111,88
33,-115,50
34,-109,74
33,-112,51
33,-115,50
35,-112,87
34,-112,71
34,-112,71
33,-110,52
35,-112,87
34,-109,74
34,-109,74
34,-111,72
34,-110,73
38,-123,152
38,-123,152
33,-117,48
39,-120,187
38,-119,156
39,-122,185
33,-116,49
38,-120,155
37,-120,128
39,-121,186
39,-121,186
39,-121,186
41,-122,246
38,-120,155
36,-119,107
39,-120,187
40,-123,217
41,-123,245
39,-120,187
41,-121,247
39,-123,184
38,-122,153
37,-122,127
41,-120,248
34,-117,70
37,-120,128
40,-121,218
39,-121,186
34,-118,69
33,-117,48
38,-122,153
38,-123,152
39,-121,186
37,-122,127
38,-122,153
38,-121,154
39,-120,187
41,-122,246
42,-122,281
40,-121,218
38,-119,156
38,-123,152
39,-120,187
38,-120,155
40,-121,218
40,-121,218
38,-119,156
40,-121,218
40,-121,218
38,-119,156
38,-103,164
38,-103,164
39,-108,192
40,-105,225
40,-105,225
37,-108,130
40,-105,225
38,-108,162
39,-105,194
40,-106,224
40,-105,225
40,-105,225
39,-108,192
40,-107,223
37,-107,131
40,-106,224
38,-107,163
40,-105,225
39,-106,193
40,-105,225
37,-104,133
40,-106,224
41,-106,257
41,-106,257
38,-108,162
40,-107,223
40,-105,225
40,-107,223
40,-108,222
42,-72,311
42,-72,311
42,-73,310
42,-73,310
42,-72,311
42,-73,310
41,-72,279
42,-73,310
42,-72,311
42,-72,311
42,-72,311
42,-72,311
39,-76,215
39,-76,215
39,-76,215
39,-76,215
39,-76,215
39,-76,215
39,-76,215
39,-75,216
39,-76,215
27,-81,4
27,-81,4
28,-82,5
28,-82,5
29,-82,9
29,-81,10
29,-82,9
29,-81,10
28,-82,5
30,-85,18
29,-81,10
28,-82,5
28,-82,5
29,-81,10
27,-81,4
27,-81,4
28,-81,6
29,-82,9
26,-81,2
31,-86,30
29,-82,9
30,-82,19
31,-81,32
31,-81,32
33,-82,67
32,-84,45
34,-85,84
35,-84,101
33,-84,66
32,-83,46
33,-84,66
33,-84,66
32,-82,47
35,-84,101
32,-83,46
33,-84,66
31,-82,31
43,-95,332
43,-95,332
43,-95,332
41,-94,264
41,-92,265
42,-95,297
41,-94,264
43,-93,334
43,-95,332
41,-94,264
43,-95,332
43,-95,332
41,-92,265
43,-94,333
42,-93,299
42,-94,298
43,-95,332
42,-92,300
43,-92,335
41,-94,264
45,-116,385
45,-116,385
48,-117,472
47,-117,449
42,-112,287
48,-117,472
43,-116,317
48,-117,472
43,-113,320
43,-114,319
42,-115,285
49,-116,494
49,-116,494
45,-116,385
48,-117,472
43,-112,321
44,-116,352
44,-115,353
42,-116,284
44,-115,353
46,-117,418
47,-117,449
43,-115,318
44,-115,353
48,-117,472
43,-113,320
45,-116,385
43,-117,316
48,-116,473
43,-116,317
44,-112,354
42,-111,288
45,-116,385
48,-117,472
45,-117,384
44,-115,353
42,-114,286
44,-115,353
43,-116,317
47,-116,450
45,-116,385
47,-114,451
41,-90,266
41,-90,266
42,-88,301
39,-88,204
42,-88,301
39,-90,203
39,-90,203
40,-88,232
39,-88,204
38,-89,172
41,-90,266
38,-89,172
42,-88,301
39,-90,203
42,-88,301
37,-88,142
37,-88,142
38,-88,173
42,-85,303
42,-85,303
41,-86,269
41,-85,270
38,-87,174
41,-86,269
41,-86,269
41,-86,269
41,-86,269
40,-85,235
40,-87,233
42,-85,303
39,-86,206
39,-86,206
40,-86,234
41,-85,270
39,-86,206
39,-86,206
41,-86,269
41,-86,269
38,-87,174
39,-87,205
41,-87,268
38,-87,174
39,-86,206
41,-86,269
42,-86,302
39,-86,206
40,-86,234
41,-85,270
39,-87,205
40,-87,233
41,-86,269
39,-86,206
40,-86,234
41,-86,269
41,-88,267
39,-86,206
41,-86,269
38,-87,174
40,-86,234
38,-88,173
39,-87,205
41,-85,270
42,-85,303
42,-85,303
39,-85,207
40,-86,234
41,-86,269
42,-85,303
39,-87,205
38,-86,175
39,-97,196
39,-97,196
37,-100,134
39,-96,197
38,-98,165
37,-96,136
38,-96,167
40,-95,229
39,-95,198
39,-95,198
39,-95,198
38,-96,167
39,-98,195
37,-97,135
39,-95,198
37,-95,137
39,-95,198
38,-97,166
38,-95,168
37,-97,135
39,-96,197
37,-96,136
37,-84,144
37,-84,144
37,-88,142
38,-83,178
37,-89,141
38,-84,177
38,-84,177
37,-86,143
37,-88,142
38,-85,176
37,-88,142
38,-85,176
32,-92,41
32,-92,41
31,-93,25
31,-92,26
32,-93,40
31,-93,25
33,-92,61
32,-91,42
30,-93,15
30,-93,15
31,-92,26
31,-92,26
32,-94,39
33,-93,60
31,-93,25
30,-91,16
42,-71,312
42,-71,312
42,-71,312
42,-73,310
43,-71,347
43,-72,346
43,-72,346
42,-72,311
42,-71,312
42,-73,310
42,-73,310
42,-71,312
40,-79,241
40,-79,241
39,-77,214
40,-79,241
38,-76,183
38,-76,183
38,-76,183
39,-77,214
38,-76,183
39,-76,215
45,-68,413
45,-68,413
46,-70,440
45,-71,410
46,-69,441
46,-69,441
45,-71,410
45,-68,413
47,-68,467
45,-69,412
44,-71,377
45,-69,412
45,-70,411
46,-69,441
46,-70,440
44,-70,378
45,-69,412
44,-71,377
45,-67,414
45,-68,413
45,-68,413
45,-68,413
44,-70,378
44,-69,379
46,-68,442
44,-71,377
44,-68,380
46,-70,440
47,-69,466
46,-69,441
45,-68,413
47,-69,466
44,-69,379
46,-69,441
43,-85,341
43,-85,341
44,-86,370
44,-84,372
42,-86,302
43,-86,340
45,-85,405
45,-85,405
42,-86,302
43,-85,341
43,-83,343
42,-84,304
42,-85,303
44,-85,371
43,-84,342
42,-86,302
47,-88,464
43,-84,342
46,-89,435
42,-86,302
45,-84,406
42,-85,303
43,-86,340
47,-88,464
45,-84,406
42,-86,302
44,-85,371
45,-85,405
45,-88,402
45,-85,405
42,-84,304
43,-85,341
46,-88,436
46,-84,439
42,-85,303
42,-85,303
47,-88,464
43,-85,341
42,-86,302
44,-85,371
46,-88,436
47,-86,465
43,-85,341
43,-86,340
42,-84,304
44,-85,371
46,-86,438
46,-87,437
44,-85,371
43,-84,342
43,-85,341
46,-89,435
43,-85,341
45,-86,404
46,-86,438
46,-89,435
46,-89,435
48,-93,488
48,-93,488
47,-92,462
46,-94,430
47,-96,458
48,-91,489
46,-95,429
45,-94,397
47,-95,459
48,-91,489
46,-94,430
45,-93,398
44,-94,364
44,-96,363
45,-95,396
46,-96,428
45,-93,398
45,-94,397
45,-97,394
47,-96,458
45,-95,396
45,-94,397
45,-96,395
45,-96,395
47,-94,460
46,-96,428
48,-93,488
48,-96,487
46,-95,429
45,-95,396
46,-95,429
47,-96,458
48,-91,489
46,-96,428
47,-96,458
47,-94,460
45,-93,398
46,-93,431
48,-91,489
45,-95,396
47,-96,458
46,-96,428
48,-96,487
46,-95,429
48,-93,488
45,-93,398
45,-95,396
48,-90,490
46,-97,427
44,-94,364
46,-96,428
47,-95,459
47,-96,458
47,-95,459
47,-95,459
47,-93,461
38,-94,169
38,-94,169
38,-93,170
39,-94,199
38,-91,171
38,-91,171
37,-90,140
37,-89,141
37,-92,138
37,-92,138
39,-92,201
38,-91,171
40,-94,230
38,-91,171
38,-94,169
39,-91,202
40,-93,231
39,-93,200
40,-93,231
38,-91,171
37,-91,139
32,-91,42
32,-91,42
32,-91,42
30,-89,17
33,-90,62
31,-89,28
34,-90,80
35,-90,97
34,-89,81
35,-89,98
34,-90,80
34,-90,80
33,-90,62
32,-89,43
31,-90,27
34,-89,81
33,-90,62
48,-114,474
48,-114,474
49,-110,499
48,-112,476
49,-115,495
48,-112,476
48,-113,475
49,-112,498
48,-108,479
46,-114,419
48,-114,474
48,-112,476
49,-108,500
48,-110,478
49,-114,496
46,-113,420
49,-104,501
48,-110,478
49,-114,496
48,-108,479
47,-114,451
48,-104,482
49,-113,497
46,-110,422
48,-111,477
46,-113,420
49,-104,501
47,-111,452
46,-111,421
48,-106,481
45,-110,386
48,-114,474
48,-114,474
48,-107,480
36,-81,123
36,-81,123
35,-79,105
35,-77,106
35,-84,101
35,-79,105
36,-82,122
35,-83,102
36,-79,125
35,-79,105
36,-80,124
36,-80,124
35,-80,104
35,-79,105
36,-78,126
46,-97,427
46,-97,427
48,-99,486
47,-100,456
48,-101,484
48,-99,486
48,-101,484
46,-99,425
46,-100,424
47,-99,457
48,-102,483
47,-100,456
49,-100,504
47,-100,456
47,-101,455
47,-101,455
46,-99,425
48,-100,485
49,-103,502
47,-100,456
47,-102,454
46,-99,425
48,-101,484
47,-100,456
49,-100,504
47,-99,457
47,-100,456
48,-102,483
47,-99,457
47,-100,456
49,-100,504
47,-104,453
47,-99,457
47,-101,455
47,-99,457
46,-99,425
49,-100,504
49,-104,501
48,-102,483
49,-99,505
47,-99,457
49,-102,503
47,-100,456
49,-100,504
48,-100,485
49,-103,502
47,-99,457
47,-100,456
40,-99,227
40,-99,227
43,-101,327
40,-101,226
42,-99,296
43,-101,327
41,-97,262
42,-103,293
42,-101,295
41,-101,259
40,-97,228
42,-104,292
43,-102,326
42,-99,296
41,-99,261
43,-101,327
43,-101,327
42,-102,294
41,-96,263
41,-96,263
42,-99,296
42,-102,294
41,-100,260
41,-97,262
42,-101,295
41,-96,263
40,-97,228
42,-103,293
41,-100,260
41,-97,262
44,-71,377
44,-71,377
45,-71,410
44,-72,376
43,-72,346
43,-72,346
43,-71,347
43,-71,347
43,-72,346
43,-71,347
43,-72,346
43,-72,346
44,-71,377
43,-72,346
41,-75,277
41,-75,277
41,-75,277
41,-74,278
40,-75,244
41,-74,278
41,-74,278
41,-75,277
40,-75,244
41,-75,277
41,-74,278
39,-75,216
39,-75,216
41,-74,278
36,-106,109
36,-106,109
36,-105,110
37,-105,132
37,-105,132
35,-103,89
37,-104,133
37,-105,132
37,-108,130
36,-109,108
37,-108,130
36,-105,110
36,-105,110
37,-105,132
37,-107,131
42,-119,282
42,-119,282
38,-114,158
38,-115,157
