"SITEID_12","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol"
"NLA12_AL-101","NLA06608-2187",33.29204144,-87.3913824,1301.87197,13.4,104.2086662,57.03,3,3160112,68,68,"Region_4",374.5,2335,440.5,27.5,3178,8.41,27.5884615384615,5.85928104575163
"NLA12_AL-102","NLA06608-0459",34.22781586,-86.84344912,72.95042027,17.3,11.87230532,247.04,3,3160109,68,68,"Region_4",76,3380,389,12,1783,7.37,19.2692307692308,6.04470588235294
"NLA12_AL-103","NLA06608-2955",33.7624784,-86.05315833,10363.25848,6.5,688.4591342,141.76,3,3150106,67,67,"Region_4",199.9,2830,449,56,3527,8.34,29.5730769230769,5.84653594771242
"NLA12_AL-104","NLA06608-0283",32.51586852,-87.86108477,4731.474336,19.8,698.1088203,22.28,3,3160201,65,65,"Region_4",345,2680,344,37,2698,7.99,29.9589743589744,5.88228758169935
"NLA12_AL-105","",31.62154629,-88.35373896,32.56146308,4.8,2.998953879,50.83,3,3160203,65,65,"Region_4",31.1,6830,1464,82,1955,8.85,28.0647435897436,5.81235294117647
"NLA12_AL-112","",33.36486204,-88.16688028,5.55544262,3.8,1.293121817,78.07,3,3160106,65,65,"Region_4",52.4,3820,379,33,5049,7.73,28.3666666666667,5.93346405228758
"NLA12_AL-113","",30.97184148,-88.0527428,29.40501835,2.5,3.81355553,13.99,3,3160204,65,65,"Region_4",22.5,3410,248,27,7562,6.51,27.25,5.96705882352941
"NLA12_AL-114","",33.88200988,-85.9316179,18.10471487,3.5,3.585987135,171.04,3,3150106,67,67,"Region_4",175.9,3600,510,62,13866,8.8,31.3551282051282,5.90647058823529
"NLA12_AL-R03","NLA06608-1871",33.32192301,-85.81071637,22.42053898,9.3,4.766510605,317.68,3,3150109,45,45,"Region_4",37.6,1490,126,31,12345,7.51,19.8974358974359,5.90647058823529
"NLA12_AR-101","NLA06608-1808",34.53435079,-92.26882632,105.7849996,2,9.08146137,74.14,11,11110207,35,35,"Region_6",45.05,11185,855.5,84,7292.5,7.33,29.86,6.19849673202614
"NLA12_AR-102","NLA06608-0208",35.58318947,-90.96294056,95.89252695,1.3,3.883137271,69.01,8,8020302,73,73,"Region_6",118.1,5330,1536,151,16852,7.95,26.35,6.19875816993464
"NLA12_AR-103","NLA06608-1204",34.41755034,-93.07012469,2428.921192,13.4,180.208525,118.4,8,8040101,36,36,"Region_6",51.4,2920,311,15,4145,7.73,27.9,6.17470588235294
"NLA12_AR-104","NLA06608-1484",35.5624593,-93.63756822,44.682124,9.1,4.738604684,203.73,11,11110202,37,37,"Region_6",34.9,2030,175,30,5005,7.23,29.5,6.20679738562091
"NLA12_AR-105","",33.07556301,-92.66059625,7.29500254,2.45,1.551513244,55.37,8,8040206,35,35,"Region_6",72.65,8820,537.5,36.5,3712,7.09,31.05,6.16705882352941
"NLA12_AR-106","",36.06720319,-91.14242843,222.5927542,5.4,17.23630001,82.69,11,11010009,39,39,"Region_6",244,5020,1385,107,7745,8.81,27.85,6.24320261437908
"NLA12_AR-109","",33.81796398,-94.05998348,4.149225261,7.8,1.003458503,107.3,11,11140109,35,35,"Region_6",248,7480,656,39,7254,8.22,32.15,-0.23078431372549
"NLA12_AR-111","",34.60033557,-92.50069818,2.061803018,1.2,0.594248561,120,8,8040203,35,35,"Region_6",54.5,5260,744,121,3860,6.99,25.55,6.19849673202614
"NLA12_AZ-101","NLA06608-0834",33.5692971,-111.5241427,373.4884097,23.85,24.14730294,459,15,15060106,81,81,"Region_9",1166,3970,338,45.5,17949.5,8.47,21.9813461538462,0.513921568627451
"NLA12_AZ-102","NLA06608-0569",34.60431345,-112.4386225,119.179815,1.6,9.13022933,1567,15,15060202,23,23,"Region_9",554,16530,2045,631,9240,9.36,20.5423076923077,6.82503267973856
"NLA12_AZ-103","NLA06608-1641",35.02357175,-111.4006586,81.45252873,3.6,4.683705075,2168,15,15020015,23,23,"Region_9",239,7740,1055,259,17672,8.35,20.4921428571429,6.69300653594771
