SITE_ID,VISIT_NO,UID,DATE_COL,AREA_HA,DSGN12,ELEVATION,EPA_REG,EVALSTAT,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,PERIM_KM,SITEID_07,ST_SITEID,STATUS,ECO_LEV_3,ECO_LEV_3_2015,ECO_LEV_4,ECO_LEV_4_2015,XCOORD,YCOORD
NLA12_AL-101,1,6300,5/24/2012,1301.87197,Included,57.03,Region_4,TargetSampleable,3,3160112,MAN_MADE,RESERVOIR,33.29204144,-87.3913824,104.2086662,NLA06608-2187,NLA12_AL-101,Target_Sampled,68,68,68f,68f,795432.2051,-434840.7897
NLA12_AL-101,2,7374,7/21/2012,1301.87197,Included,57.03,Region_4,TargetSampleable,3,3160112,MAN_MADE,RESERVOIR,33.29204144,-87.3913824,104.2086662,NLA06608-2187,NLA12_AL-101,Target_Sampled,68,68,68f,68f,795432.2051,-434840.7897
NLA12_AL-102,1,7228,7/17/2012,72.95042027,Included,247.04,Region_4,TargetSampleable,3,3160109,MAN_MADE,RESERVOIR,34.22781586,-86.84344912,11.87230532,NLA06608-0459,NLA12_AL-102,Target_Sampled,68,68,68d,68d,835851.301,-326047.1005
NLA12_AL-103,1,7292,7/19/2012,10363.25848,Included,141.76,Region_4,TargetSampleable,3,3150106,MAN_MADE,RESERVOIR,33.7624784,-86.05315833,688.4591342,NLA06608-2955,NLA12_AL-103,Target_Sampled,67,67,67g,67g,913172.7602,-370517.4939
NLA12_AL-104,1,7368,7/23/2012,4731.474336,Included,22.28,Region_4,TargetSampleable,3,3160201,MAN_MADE,RESERVOIR,32.51586852,-87.86108477,698.1088203,NLA06608-0283,NLA12_AL-104,Target_Sampled,65,65,65b,65p,759549.5573,-524956.9932
NLA12_AL-105,1,6267,5/23/2012,32.56146308,Included,50.83,Region_4,TargetSampleable,3,3160203,MAN_MADE,RESERVOIR,31.62154629,-88.35373896,2.998953879,,NLA12_AL-105,Target_Sampled,65,65,65f,65f,721685.4392,-628108.2923
NLA12_AL-105,2,7394,7/24/2012,32.56146308,Included,50.83,Region_4,TargetSampleable,3,3160203,MAN_MADE,RESERVOIR,31.62154629,-88.35373896,2.998953879,,NLA12_AL-105,Target_Sampled,65,65,65f,65f,721685.4392,-628108.2923
NLA12_AL-106,,,,2.259936169,Included,96.12,Region_4,AccessDenied,3,3140202,MAN_MADE,MAN_MADE,31.39484325,-86.00721724,0.65741193,,NLA12_AL-106,Target_Denied,65,65,65d,65d,945087.9098,-632659.0215
NLA12_AL-107,,,,13.35993011,Included,77.74,Region_4,AccessDenied,3,3150201,MAN_MADE,MAN_MADE,32.18713577,-86.50841536,1.992118953,,NLA12_AL-107,Target_Denied,65,65,65a,65a,889049.3053,-549716.4083
NLA12_AL-108,,,,2.666005278,Included,181.48,Region_4,Nontarget-TooSmall,3,3160111,,,33.86882068,-86.62367709,0.885433413,,NLA12_AL-108,Lake_LT_1ha,68,68,68d,68d,859800.9788,-364018.9233
NLA12_AL-109,,,,10.65408828,Included,83.23,Region_4,Nontarget-NotLake,3,3140305,,,31.07411321,-87.40975524,1.53303592,,NLA12_AL-109,Not_Lake,65,65,65f,65f,816052.2952,-681169.8078
NLA12_AL-110,,,,12.81513476,Included,181.82,Region_4,Nontarget-NotLake,6,6030001,,,34.87348351,-85.77044459,2.377971274,,NLA12_AL-110,Not_Lake,68,68,68b,68b,925683.9696,-244270.5613
NLA12_AL-111,,,,4.177936778,Included,122.24,Region_4,Nontarget-Ephemeral,3,3130003,,,32.34571752,-85.23421352,1.527309271,,NLA12_AL-111,Non_Target,65,65,65d,65d,1005921.257,-519435.2001
NLA12_AL-112,1,7375,7/22/2012,5.55544262,Included,78.07,Region_4,TargetSampleable,3,3160106,MAN_MADE,RESERVOIR,33.36486204,-88.16688028,1.293121817,,NLA12_AL-112,Target_Sampled,65,65,65i,65i,723277.5477,-432936.8207
