UID,ALUMINUM_UNITS,COND_UNITS,DOC_UNITS,NITRATE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PTL_UNITS,SILICA_UNITS,AMMONIA_N_RESULT,COND_RESULT,DOC_RESULT,NITRATE_N_RESULT,NITRITE_N_RESULT,NTL_RESULT,PH_RESULT,PTL_RESULT,SILICA_RESULT
1000001,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0021,30.4,4.78,0,0,0.396,6.53,22,3.621
1000010,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0087,31.5,7.47,0,0,1.226,7.71,66,2.162
1000011,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0099,27.9,6.95,0,0,0.99,7.55,45,1.13
1000013,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,52.3,5.61,0.002,0,0.261,7.53,18,4.853
1000014,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.004,141.2,6.5,0.002,0,0.445,7.67,30,8.921
1000015,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,3.18,573,0.23,0.078,0,4.065,3.34,54,41.445
1000016,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0025,28.2,3.22,0.002,0,0.16,6.71,20,3.037
1000017,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0098,219,7.12,0.002,0,0.625,7.84,197,4.895
1000018,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.012,1300,4.87,0,0,0.806,8.2,88,17.008
1000019,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.065,122,7.99,0.107,0.007,0.895,7.95,383,24.092
1000020,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.03,142.2,3.23,0.007,0.001,0.25,8.33,14,3.61
