PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STATE,SAMPLE_TYPE,LINE,TEMP_CORRECTED,TEMP_SENSOR,TEMP_THERMOMETER,TEMPERATURE
8/23/2016,1000001,NLA12_MS-116,5-Jun-12,1,MS,PROF,0,,,,
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,5,,,,16.74
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,0,,,,
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,4,,,,21.69
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,7,,,,28.16
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,CALIB,0,,,,
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,1,,,,28
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,6,,,,15.41
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,2,,,,26.45
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,3,,,,24.47
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,PROF,0,,,,
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,CALIB,0,,,,
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,PROF,5,,,,19.1
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,PROF,40,,,,28.68
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,PROF,1,,,,28.64
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,PROF,2,,,,28.16
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,PROF,7,,,,16.24
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,PROF,4,,,,23.71
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,PROF,6,,,,16.66
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,PROF,3,,,,27.41
8/23/2016,1000011,NLA12_MS-119,7-Jun-12,1,MS,PROF,8,,,,28.68
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,13,,,,7.28
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,2,,,,24.14
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,5,,,,16.12
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,9,,,,8.75
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,1,,,,24.23
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,8,,,,9.17
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,4,,,,19.79
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,3,,,,22.19
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,0,,,,
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,10,,,,8.28
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,7,,,,10.41
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,6,,,,12.44
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,12,,,,7.59
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,16,,,,7.03
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,11,,,,7.96
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,14,,,,7.12
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,40,,,,24.07
8/23/2016,1000013,NLA12_VT-101,18-Jun-12,1,VT,PROF,15,,,,7.04
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,CALIB,0,,23,23,23
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,6,,,,24.8
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,9,,,,15.3
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,0,,,,
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,2,,,,30.2
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,8,,,,16.6
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,1,,,,30.2
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,4,,,,30.2
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,7,,,,19
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,11,,,,14.1
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,10,,,,14.5
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,3,,,,30.2
8/23/2016,1000014,NLA12_TX-141,18-Jun-12,1,TX,PROF,5,,,,28.5
8/23/2016,1000015,NLA12_TX-169,19-Jun-12,1,TX,PROF,0,,,,
8/23/2016,1000015,NLA12_TX-169,19-Jun-12,1,TX,PROF,5,,,,30.2
8/23/2016,1000015,NLA12_TX-169,19-Jun-12,1,TX,PROF,1,,,,30.1
8/23/2016,1000015,NLA12_TX-169,19-Jun-12,1,TX,CALIB,0,,23,23,23
8/23/2016,1000015,NLA12_TX-169,19-Jun-12,1,TX,PROF,4,,,,30.1
8/23/2016,1000015,NLA12_TX-169,19-Jun-12,1,TX,PROF,3,,,,30.2
8/23/2016,1000015,NLA12_TX-169,19-Jun-12,1,TX,PROF,6,,,,30.2
8/23/2016,1000015,NLA12_TX-169,19-Jun-12,1,TX,PROF,2,,,,30.2
8/23/2016,1000016,NLA12_OR-133,20-Jun-12,1,OR,PROF,1,,,,17.5
8/23/2016,1000016,NLA12_OR-133,20-Jun-12,1,OR,PROF,4,,,,17
