-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-96.25,2007,05,01,              6.82
42.25,-95.75,2007,05,01,              6.61
42.25,-95.25,2007,05,01,              6.61
42.25,-94.75,2007,05,01,              6.43
42.25,-94.25,2007,05,01,              6.43
42.25,-93.75,2007,05,01,              6.61
42.25,-93.25,2007,05,01,              6.61
42.25,-92.75,2007,05,01,              6.62
42.25,-92.25,2007,05,01,              6.62
42.75,-96.25,2007,05,01,              6.82
42.75,-95.75,2007,05,01,              6.61
42.75,-95.25,2007,05,01,              6.61
42.75,-94.75,2007,05,01,              6.43
42.75,-94.25,2007,05,01,              6.43
42.75,-93.75,2007,05,01,              6.61
42.75,-93.25,2007,05,01,              6.61
42.75,-92.75,2007,05,01,              6.62
42.75,-92.25,2007,05,01,              6.62
43.25,-96.25,2007,05,01,              7.63
43.25,-95.75,2007,05,01,              7.50
43.25,-95.25,2007,05,01,              7.50
43.25,-94.75,2007,05,01,              7.63
43.25,-94.25,2007,05,01,              7.63
43.25,-93.75,2007,05,01,              7.48
43.25,-93.25,2007,05,01,              7.48
43.25,-92.75,2007,05,01,              7.05
43.25,-92.25,2007,05,01,              7.05
43.75,-96.25,2007,05,01,              7.63
43.75,-95.75,2007,05,01,              7.50
43.75,-95.25,2007,05,01,              7.50
43.75,-94.75,2007,05,01,              7.63
43.75,-94.25,2007,05,01,              7.63
43.75,-93.75,2007,05,01,              7.48
43.75,-93.25,2007,05,01,              7.48
43.75,-92.75,2007,05,01,              7.05
43.75,-92.25,2007,05,01,              7.05
44.25,-96.25,2007,05,01,              7.68
44.25,-95.75,2007,05,01,              7.97
44.25,-95.25,2007,05,01,              7.97
44.25,-94.75,2007,05,01,              8.00
44.25,-94.25,2007,05,01,              8.00
44.25,-93.75,2007,05,01,              7.72
44.25,-93.25,2007,05,01,              7.72
44.25,-92.75,2007,05,01,              7.60
44.25,-92.25,2007,05,01,              7.60
44.75,-96.25,2007,05,01,              7.68
44.75,-95.75,2007,05,01,              7.97
44.75,-95.25,2007,05,01,              7.97
44.75,-94.75,2007,05,01,              8.00
44.75,-94.25,2007,05,01,              8.00
44.75,-93.75,2007,05,01,              7.72
44.75,-93.25,2007,05,01,              7.72
44.75,-92.75,2007,05,01,              7.60
44.75,-92.25,2007,05,01,              7.60
45.25,-96.25,2007,05,01,              7.43
45.25,-95.75,2007,05,01,              7.43
45.25,-95.25,2007,05,01,              7.43
45.25,-94.75,2007,05,01,              7.43
45.25,-94.25,2007,05,01,              7.43
45.25,-93.75,2007,05,01,              7.57
45.25,-93.25,2007,05,01,              7.57
45.25,-92.75,2007,05,01,              7.57
45.25,-92.25,2007,05,01,              7.57
45.75,-96.25,2007,05,01,              7.43
45.75,-95.75,2007,05,01,              7.43
45.75,-95.25,2007,05,01,              7.43
45.75,-94.75,2007,05,01,              7.43
45.75,-94.25,2007,05,01,              7.43
45.75,-93.75,2007,05,01,              7.57
45.75,-93.25,2007,05,01,              7.57
45.75,-92.75,2007,05,01,              7.57
45.75,-92.25,2007,05,01,              7.57
46.25,-96.25,2007,05,01,              7.27
46.25,-95.75,2007,05,01,              6.85
46.25,-95.25,2007,05,01,              6.85
46.25,-94.75,2007,05,01,              6.85
46.25,-94.25,2007,05,01,              6.85
46.25,-93.75,2007,05,01,              6.77
46.25,-93.25,2007,05,01,              6.77
46.25,-92.75,2007,05,01,              6.77
46.25,-92.25,2007,05,01,              6.77
42.25,-96.25,2007,05,02,              7.03
42.25,-95.75,2007,05,02,              6.87
42.25,-95.25,2007,05,02,              6.87
42.25,-94.75,2007,05,02,              6.45
42.25,-94.25,2007,05,02,              6.45
42.25,-93.75,2007,05,02,              6.19
42.25,-93.25,2007,05,02,              6.19
42.25,-92.75,2007,05,02,              6.22
42.25,-92.25,2007,05,02,              6.22
42.75,-96.25,2007,05,02,              7.03
42.75,-95.75,2007,05,02,              6.87
42.75,-95.25,2007,05,02,              6.87
42.75,-94.75,2007,05,02,              6.45
42.75,-94.25,2007,05,02,              6.45
42.75,-93.75,2007,05,02,              6.19
42.75,-93.25,2007,05,02,              6.19
42.75,-92.75,2007,05,02,              6.22
42.75,-92.25,2007,05,02,              6.22
43.25,-96.25,2007,05,02,              6.95
43.25,-95.75,2007,05,02,              6.79
43.25,-95.25,2007,05,02,              6.79
43.25,-94.75,2007,05,02,              6.75
43.25,-94.25,2007,05,02,              6.75
43.25,-93.75,2007,05,02,              6.89
43.25,-93.25,2007,05,02,              6.89
43.25,-92.75,2007,05,02,              6.77
43.25,-92.25,2007,05,02,              6.77
43.75,-96.25,2007,05,02,              6.95
43.75,-95.75,2007,05,02,              6.79
43.75,-95.25,2007,05,02,              6.79
43.75,-94.75,2007,05,02,              6.75
43.75,-94.25,2007,05,02,              6.75
43.75,-93.75,2007,05,02,              6.89
43.75,-93.25,2007,05,02,              6.89
43.75,-92.75,2007,05,02,              6.77
43.75,-92.25,2007,05,02,              6.77
44.25,-96.25,2007,05,02,              7.26
44.25,-95.75,2007,05,02,              7.58
44.25,-95.25,2007,05,02,              7.58
44.25,-94.75,2007,05,02,              7.10
44.25,-94.25,2007,05,02,              7.10
44.25,-93.75,2007,05,02,              7.17
44.25,-93.25,2007,05,02,              7.17
44.25,-92.75,2007,05,02,              7.12
44.25,-92.25,2007,05,02,              7.12
44.75,-96.25,2007,05,02,              7.26
44.75,-95.75,2007,05,02,              7.58
44.75,-95.25,2007,05,02,              7.58
44.75,-94.75,2007,05,02,              7.10
44.75,-94.25,2007,05,02,              7.10
44.75,-93.75,2007,05,02,              7.17
44.75,-93.25,2007,05,02,              7.17
44.75,-92.75,2007,05,02,              7.12
44.75,-92.25,2007,05,02,              7.12
45.25,-96.25,2007,05,02,              7.16
45.25,-95.75,2007,05,02,              7.45
45.25,-95.25,2007,05,02,              7.45
45.25,-94.75,2007,05,02,              7.45
45.25,-94.25,2007,05,02,              7.45
45.25,-93.75,2007,05,02,              7.52
45.25,-93.25,2007,05,02,              7.52
45.25,-92.75,2007,05,02,              7.52
45.25,-92.25,2007,05,02,              7.52
