-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-84.25,2007,05,01,              7.56
30.25,-83.75,2007,05,01,              7.04
30.25,-83.25,2007,05,01,              7.04
30.25,-82.75,2007,05,01,              6.53
30.25,-82.25,2007,05,01,              6.53
30.25,-81.75,2007,05,01,              5.96
30.25,-81.25,2007,05,01,              5.96
30.25,-80.75,2007,05,01,              7.81
30.25,-80.25,2007,05,01,              7.81
30.75,-84.25,2007,05,01,              7.56
30.75,-83.75,2007,05,01,              7.04
30.75,-83.25,2007,05,01,              7.04
30.75,-82.75,2007,05,01,              6.53
30.75,-82.25,2007,05,01,              6.53
30.75,-81.75,2007,05,01,              5.96
30.75,-81.25,2007,05,01,              5.96
30.75,-80.75,2007,05,01,              7.81
30.75,-80.25,2007,05,01,              7.81
31.25,-84.25,2007,05,01,              7.16
31.25,-83.75,2007,05,01,              6.41
31.25,-83.25,2007,05,01,              6.41
31.25,-82.75,2007,05,01,              6.05
31.25,-82.25,2007,05,01,              6.05
31.25,-81.75,2007,05,01,              5.86
31.25,-81.25,2007,05,01,              5.86
31.25,-80.75,2007,05,01,              7.76
31.25,-80.25,2007,05,01,              7.76
31.75,-84.25,2007,05,01,              7.16
31.75,-83.75,2007,05,01,              6.41
31.75,-83.25,2007,05,01,              6.41
31.75,-82.75,2007,05,01,              6.05
31.75,-82.25,2007,05,01,              6.05
31.75,-81.75,2007,05,01,              5.86
31.75,-81.25,2007,05,01,              5.86
31.75,-80.75,2007,05,01,              7.76
31.75,-80.25,2007,05,01,              7.76
32.25,-84.25,2007,05,01,              7.21
32.25,-83.75,2007,05,01,              7.02
32.25,-83.25,2007,05,01,              7.02
32.25,-82.75,2007,05,01,              7.20
32.25,-82.25,2007,05,01,              7.20
32.25,-81.75,2007,05,01,              6.67
32.25,-81.25,2007,05,01,              6.67
32.25,-80.75,2007,05,01,              7.33
32.25,-80.25,2007,05,01,              7.33
32.75,-84.25,2007,05,01,              7.21
32.75,-83.75,2007,05,01,              7.02
32.75,-83.25,2007,05,01,              7.02
32.75,-82.75,2007,05,01,              7.20
32.75,-82.25,2007,05,01,              7.20
32.75,-81.75,2007,05,01,              6.67
32.75,-81.25,2007,05,01,              6.67
32.75,-80.75,2007,05,01,              7.33
32.75,-80.25,2007,05,01,              7.33
33.25,-84.25,2007,05,01,              7.33
33.25,-83.75,2007,05,01,              7.37
33.25,-83.25,2007,05,01,              7.37
33.25,-82.75,2007,05,01,              7.54
33.25,-82.25,2007,05,01,              7.54
33.25,-81.75,2007,05,01,              7.21
33.25,-81.25,2007,05,01,              7.21
33.25,-80.75,2007,05,01,              7.11
33.25,-80.25,2007,05,01,              7.11
33.75,-84.25,2007,05,01,              7.33
33.75,-83.75,2007,05,01,              7.37
33.75,-83.25,2007,05,01,              7.37
33.75,-82.75,2007,05,01,              7.54
33.75,-82.25,2007,05,01,              7.54
33.75,-81.75,2007,05,01,              7.21
33.75,-81.25,2007,05,01,              7.21
33.75,-80.75,2007,05,01,              7.11
33.75,-80.25,2007,05,01,              7.11
34.25,-84.25,2007,05,01,              7.20
34.25,-83.75,2007,05,01,              7.46
34.25,-83.25,2007,05,01,              7.46
34.25,-82.75,2007,05,01,              7.64
34.25,-82.25,2007,05,01,              7.64
34.25,-81.75,2007,05,01,              7.55
34.25,-81.25,2007,05,01,              7.55
34.25,-80.75,2007,05,01,              7.67
34.25,-80.25,2007,05,01,              7.67
30.25,-84.25,2007,05,02,              6.92
30.25,-83.75,2007,05,02,              6.89
30.25,-83.25,2007,05,02,              6.89
30.25,-82.75,2007,05,02,              5.95
30.25,-82.25,2007,05,02,              5.95
30.25,-81.75,2007,05,02,              5.69
30.25,-81.25,2007,05,02,              5.69
30.25,-80.75,2007,05,02,              6.90
30.25,-80.25,2007,05,02,              6.90
30.75,-84.25,2007,05,02,              6.92
30.75,-83.75,2007,05,02,              6.89
30.75,-83.25,2007,05,02,              6.89
30.75,-82.75,2007,05,02,              5.95
30.75,-82.25,2007,05,02,              5.95
30.75,-81.75,2007,05,02,              5.69
30.75,-81.25,2007,05,02,              5.69
30.75,-80.75,2007,05,02,              6.90
30.75,-80.25,2007,05,02,              6.90
31.25,-84.25,2007,05,02,              7.22
31.25,-83.75,2007,05,02,              6.35
31.25,-83.25,2007,05,02,              6.35
31.25,-82.75,2007,05,02,              6.21
31.25,-82.25,2007,05,02,              6.21
31.25,-81.75,2007,05,02,              5.68
31.25,-81.25,2007,05,02,              5.68
31.25,-80.75,2007,05,02,              6.47
31.25,-80.25,2007,05,02,              6.47
31.75,-84.25,2007,05,02,              7.22
31.75,-83.75,2007,05,02,              6.35
31.75,-83.25,2007,05,02,              6.35
31.75,-82.75,2007,05,02,              6.21
31.75,-82.25,2007,05,02,              6.21
31.75,-81.75,2007,05,02,              5.68
31.75,-81.25,2007,05,02,              5.68
31.75,-80.75,2007,05,02,              6.47
31.75,-80.25,2007,05,02,              6.47
32.25,-84.25,2007,05,02,              7.09
