-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-112.25,2007,05,01,              6.65
42.25,-111.75,2007,05,01,              6.55
42.25,-111.25,2007,05,01,              6.55
42.25,-110.75,2007,05,01,              6.01
42.25,-110.25,2007,05,01,              6.01
42.25,-109.75,2007,05,01,              6.59
42.25,-109.25,2007,05,01,              6.59
42.25,-108.75,2007,05,01,              7.96
42.25,-108.25,2007,05,01,              7.96
42.75,-112.25,2007,05,01,              6.65
42.75,-111.75,2007,05,01,              6.55
42.75,-111.25,2007,05,01,              6.55
42.75,-110.75,2007,05,01,              6.01
42.75,-110.25,2007,05,01,              6.01
42.75,-109.75,2007,05,01,              6.59
42.75,-109.25,2007,05,01,              6.59
42.75,-108.75,2007,05,01,              7.96
42.75,-108.25,2007,05,01,              7.96
43.25,-112.25,2007,05,01,              6.42
43.25,-111.75,2007,05,01,              7.05
43.25,-111.25,2007,05,01,              7.05
43.25,-110.75,2007,05,01,              6.33
43.25,-110.25,2007,05,01,              6.33
43.25,-109.75,2007,05,01,              7.03
43.25,-109.25,2007,05,01,              7.03
43.25,-108.75,2007,05,01,              7.32
43.25,-108.25,2007,05,01,              7.32
43.75,-112.25,2007,05,01,              6.42
43.75,-111.75,2007,05,01,              7.05
43.75,-111.25,2007,05,01,              7.05
43.75,-110.75,2007,05,01,              6.33
43.75,-110.25,2007,05,01,              6.33
43.75,-109.75,2007,05,01,              7.03
43.75,-109.25,2007,05,01,              7.03
43.75,-108.75,2007,05,01,              7.32
43.75,-108.25,2007,05,01,              7.32
44.25,-112.25,2007,05,01,              6.13
44.25,-111.75,2007,05,01,              7.30
44.25,-111.25,2007,05,01,              7.30
44.25,-110.75,2007,05,01,              7.50
44.25,-110.25,2007,05,01,              7.50
44.25,-109.75,2007,05,01,              7.16
44.25,-109.25,2007,05,01,              7.16
44.25,-108.75,2007,05,01,              7.88
44.25,-108.25,2007,05,01,              7.88
44.75,-112.25,2007,05,01,              6.13
44.75,-111.75,2007,05,01,              7.30
44.75,-111.25,2007,05,01,              7.30
44.75,-110.75,2007,05,01,              7.50
44.75,-110.25,2007,05,01,              7.50
44.75,-109.75,2007,05,01,              7.16
44.75,-109.25,2007,05,01,              7.16
44.75,-108.75,2007,05,01,              7.88
44.75,-108.25,2007,05,01,              7.88
45.25,-112.25,2007,05,01,              6.43
45.25,-111.75,2007,05,01,              7.02
45.25,-111.25,2007,05,01,              7.02
45.25,-110.75,2007,05,01,              7.02
45.25,-110.25,2007,05,01,              7.02
45.25,-109.75,2007,05,01,              7.76
45.25,-109.25,2007,05,01,              7.76
45.25,-108.75,2007,05,01,              7.76
45.25,-108.25,2007,05,01,              7.76
45.75,-112.25,2007,05,01,              6.43
45.75,-111.75,2007,05,01,              7.02
45.75,-111.25,2007,05,01,              7.02
45.75,-110.75,2007,05,01,              7.02
45.75,-110.25,2007,05,01,              7.02
45.75,-109.75,2007,05,01,              7.76
45.75,-109.25,2007,05,01,              7.76
45.75,-108.75,2007,05,01,              7.76
45.75,-108.25,2007,05,01,              7.76
46.25,-112.25,2007,05,01,              6.07
46.25,-111.75,2007,05,01,              6.78
46.25,-111.25,2007,05,01,              6.78
46.25,-110.75,2007,05,01,              6.78
46.25,-110.25,2007,05,01,              6.78
46.25,-109.75,2007,05,01,              7.01
46.25,-109.25,2007,05,01,              7.01
46.25,-108.75,2007,05,01,              7.01
46.25,-108.25,2007,05,01,              7.01
42.25,-112.25,2007,05,02,              7.07
42.25,-111.75,2007,05,02,              6.95
42.25,-111.25,2007,05,02,              6.95
42.25,-110.75,2007,05,02,              5.35
42.25,-110.25,2007,05,02,              5.35
42.25,-109.75,2007,05,02,              4.45
42.25,-109.25,2007,05,02,              4.45
42.25,-108.75,2007,05,02,              4.38
42.25,-108.25,2007,05,02,              4.38
42.75,-112.25,2007,05,02,              7.07
42.75,-111.75,2007,05,02,              6.95
42.75,-111.25,2007,05,02,              6.95
42.75,-110.75,2007,05,02,              5.35
42.75,-110.25,2007,05,02,              5.35
42.75,-109.75,2007,05,02,              4.45
42.75,-109.25,2007,05,02,              4.45
42.75,-108.75,2007,05,02,              4.38
