-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-72.25,2007,05,01,              6.45
46.25,-71.75,2007,05,01,              5.00
46.25,-71.25,2007,05,01,              5.00
46.25,-70.75,2007,05,01,              5.00
46.25,-70.25,2007,05,01,              5.00
46.25,-69.75,2007,05,01,              3.14
46.25,-69.25,2007,05,01,              3.14
46.25,-68.75,2007,05,01,              3.14
46.25,-68.25,2007,05,01,              3.14
46.75,-72.25,2007,05,01,              6.45
46.75,-71.75,2007,05,01,              5.00
46.75,-71.25,2007,05,01,              5.00
46.75,-70.75,2007,05,01,              5.00
46.75,-70.25,2007,05,01,              5.00
46.75,-69.75,2007,05,01,              3.14
46.75,-69.25,2007,05,01,              3.14
46.75,-68.75,2007,05,01,              3.14
46.75,-68.25,2007,05,01,              3.14
47.25,-72.25,2007,05,01,              4.85
47.25,-71.75,2007,05,01,              3.82
47.25,-71.25,2007,05,01,              3.82
47.25,-70.75,2007,05,01,              3.82
47.25,-70.25,2007,05,01,              3.82
47.25,-69.75,2007,05,01,              3.77
47.25,-69.25,2007,05,01,              3.77
47.25,-68.75,2007,05,01,              3.77
47.25,-68.25,2007,05,01,              3.77
47.75,-72.25,2007,05,01,              4.85
47.75,-71.75,2007,05,01,              3.82
47.75,-71.25,2007,05,01,              3.82
47.75,-70.75,2007,05,01,              3.82
47.75,-70.25,2007,05,01,              3.82
47.75,-69.75,2007,05,01,              3.77
47.75,-69.25,2007,05,01,              3.77
47.75,-68.75,2007,05,01,              3.77
47.75,-68.25,2007,05,01,              3.77
48.25,-72.25,2007,05,01,              3.43
48.25,-71.75,2007,05,01,              3.68
48.25,-71.25,2007,05,01,              3.68
48.25,-70.75,2007,05,01,              3.68
48.25,-70.25,2007,05,01,              3.68
48.25,-69.75,2007,05,01,              3.60
48.25,-69.25,2007,05,01,              3.60
48.25,-68.75,2007,05,01,              3.60
48.25,-68.25,2007,05,01,              3.60
48.75,-72.25,2007,05,01,              3.43
48.75,-71.75,2007,05,01,              3.68
48.75,-71.25,2007,05,01,              3.68
48.75,-70.75,2007,05,01,              3.68
48.75,-70.25,2007,05,01,              3.68
48.75,-69.75,2007,05,01,              3.60
48.75,-69.25,2007,05,01,              3.60
48.75,-68.75,2007,05,01,              3.60
48.75,-68.25,2007,05,01,              3.60
49.25,-72.25,2007,05,01,              2.91
49.25,-71.75,2007,05,01,              3.76
49.25,-71.25,2007,05,01,              3.76
49.25,-70.75,2007,05,01,              3.76
49.25,-70.25,2007,05,01,              3.76
49.25,-69.75,2007,05,01,              4.43
49.25,-69.25,2007,05,01,              4.43
49.25,-68.75,2007,05,01,              4.43
49.25,-68.25,2007,05,01,              4.43
49.75,-72.25,2007,05,01,              2.91
49.75,-71.75,2007,05,01,              3.76
49.75,-71.25,2007,05,01,              3.76
49.75,-70.75,2007,05,01,              3.76
49.75,-70.25,2007,05,01,              3.76
49.75,-69.75,2007,05,01,              4.43
49.75,-69.25,2007,05,01,              4.43
