-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-92.25,2007,05,01,              3.69
34.25,-91.75,2007,05,01,              4.64
34.25,-91.25,2007,05,01,              4.64
34.25,-90.75,2007,05,01,              5.52
34.25,-90.25,2007,05,01,              5.52
34.25,-89.75,2007,05,01,              6.57
34.25,-89.25,2007,05,01,              6.57
34.25,-88.75,2007,05,01,              6.40
34.25,-88.25,2007,05,01,              6.40
34.75,-92.25,2007,05,01,              3.69
34.75,-91.75,2007,05,01,              4.64
34.75,-91.25,2007,05,01,              4.64
34.75,-90.75,2007,05,01,              5.52
34.75,-90.25,2007,05,01,              5.52
34.75,-89.75,2007,05,01,              6.57
34.75,-89.25,2007,05,01,              6.57
34.75,-88.75,2007,05,01,              6.40
34.75,-88.25,2007,05,01,              6.40
35.25,-92.25,2007,05,01,              2.73
35.25,-91.75,2007,05,01,              3.78
35.25,-91.25,2007,05,01,              3.78
35.25,-90.75,2007,05,01,              3.61
35.25,-90.25,2007,05,01,              3.61
35.25,-89.75,2007,05,01,              6.19
35.25,-89.25,2007,05,01,              6.19
35.25,-88.75,2007,05,01,              6.14
35.25,-88.25,2007,05,01,              6.14
35.75,-92.25,2007,05,01,              2.73
35.75,-91.75,2007,05,01,              3.78
35.75,-91.25,2007,05,01,              3.78
35.75,-90.75,2007,05,01,              3.61
35.75,-90.25,2007,05,01,              3.61
35.75,-89.75,2007,05,01,              6.19
35.75,-89.25,2007,05,01,              6.19
35.75,-88.75,2007,05,01,              6.14
35.75,-88.25,2007,05,01,              6.14
36.25,-92.25,2007,05,01,              2.49
36.25,-91.75,2007,05,01,              3.65
36.25,-91.25,2007,05,01,              3.65
36.25,-90.75,2007,05,01,              3.59
36.25,-90.25,2007,05,01,              3.59
36.25,-89.75,2007,05,01,              4.91
36.25,-89.25,2007,05,01,              4.91
36.25,-88.75,2007,05,01,              5.82
36.25,-88.25,2007,05,01,              5.82
36.75,-92.25,2007,05,01,              2.49
36.75,-91.75,2007,05,01,              3.65
36.75,-91.25,2007,05,01,              3.65
36.75,-90.75,2007,05,01,              3.59
36.75,-90.25,2007,05,01,              3.59
36.75,-89.75,2007,05,01,              4.91
36.75,-89.25,2007,05,01,              4.91
36.75,-88.75,2007,05,01,              5.82
36.75,-88.25,2007,05,01,              5.82
37.25,-92.25,2007,05,01,              4.16
37.25,-91.75,2007,05,01,              4.21
37.25,-91.25,2007,05,01,              4.21
37.25,-90.75,2007,05,01,              4.50
37.25,-90.25,2007,05,01,              4.50
37.25,-89.75,2007,05,01,              4.30
37.25,-89.25,2007,05,01,              4.30
37.25,-88.75,2007,05,01,              5.16
37.25,-88.25,2007,05,01,              5.16
37.75,-92.25,2007,05,01,              4.16
37.75,-91.75,2007,05,01,              4.21
37.75,-91.25,2007,05,01,              4.21
37.75,-90.75,2007,05,01,              4.50
37.75,-90.25,2007,05,01,              4.50
37.75,-89.75,2007,05,01,              4.30
37.75,-89.25,2007,05,01,              4.30
37.75,-88.75,2007,05,01,              5.16
37.75,-88.25,2007,05,01,              5.16
38.25,-92.25,2007,05,01,              3.04
38.25,-91.75,2007,05,01,              3.48
38.25,-91.25,2007,05,01,              3.48
38.25,-90.75,2007,05,01,              3.61
38.25,-90.25,2007,05,01,              3.61
38.25,-89.75,2007,05,01,              4.15
38.25,-89.25,2007,05,01,              4.15
38.25,-88.75,2007,05,01,              4.57
38.25,-88.25,2007,05,01,              4.57
34.25,-92.25,2007,05,02,              1.72
34.25,-91.75,2007,05,02,              2.18
34.25,-91.25,2007,05,02,              2.18
34.25,-90.75,2007,05,02,              1.45
34.25,-90.25,2007,05,02,              1.45
34.25,-89.75,2007,05,02,              1.98
34.25,-89.25,2007,05,02,              1.98
34.25,-88.75,2007,05,02,              2.27
34.25,-88.25,2007,05,02,              2.27
34.75,-92.25,2007,05,02,              1.72
34.75,-91.75,2007,05,02,              2.18
34.75,-91.25,2007,05,02,              2.18
34.75,-90.75,2007,05,02,              1.45
34.75,-90.25,2007,05,02,              1.45
34.75,-89.75,2007,05,02,              1.98
34.75,-89.25,2007,05,02,              1.98
34.75,-88.75,2007,05,02,              2.27
34.75,-88.25,2007,05,02,              2.27
35.25,-92.25,2007,05,02,              1.68
35.25,-91.75,2007,05,02,              1.75
35.25,-91.25,2007,05,02,              1.75
35.25,-90.75,2007,05,02,              1.09
35.25,-90.25,2007,05,02,              1.09
35.25,-89.75,2007,05,02,              1.77
35.25,-89.25,2007,05,02,              1.77
35.25,-88.75,2007,05,02,              1.61
35.25,-88.25,2007,05,02,              1.61
35.75,-92.25,2007,05,02,              1.68
35.75,-91.75,2007,05,02,              1.75
35.75,-91.25,2007,05,02,              1.75
35.75,-90.75,2007,05,02,              1.09
35.75,-90.25,2007,05,02,              1.09
35.75,-89.75,2007,05,02,              1.77
35.75,-89.25,2007,05,02,              1.77
35.75,-88.75,2007,05,02,              1.61
35.75,-88.25,2007,05,02,              1.61
36.25,-92.25,2007,05,02,              1.92
36.25,-91.75,2007,05,02,              2.06
36.25,-91.25,2007,05,02,              2.06
36.25,-90.75,2007,05,02,              1.51
36.25,-90.25,2007,05,02,              1.51
36.25,-89.75,2007,05,02,              1.31
36.25,-89.25,2007,05,02,              1.31
36.25,-88.75,2007,05,02,              1.76
36.25,-88.25,2007,05,02,              1.76
36.75,-92.25,2007,05,02,              1.92
36.75,-91.75,2007,05,02,              2.06
36.75,-91.25,2007,05,02,              2.06
36.75,-90.75,2007,05,02,              1.51
36.75,-90.25,2007,05,02,              1.51
36.75,-89.75,2007,05,02,              1.31
36.75,-89.25,2007,05,02,              1.31
36.75,-88.75,2007,05,02,              1.76
36.75,-88.25,2007,05,02,              1.76
37.25,-92.25,2007,05,02,              1.82
