-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-88.25,2007,05,01,              6.40
34.25,-87.75,2007,05,01,              6.94
34.25,-87.25,2007,05,01,              6.94
34.25,-86.75,2007,05,01,              6.66
34.25,-86.25,2007,05,01,              6.66
34.25,-85.75,2007,05,01,              6.74
34.25,-85.25,2007,05,01,              6.74
34.25,-84.75,2007,05,01,              7.20
34.25,-84.25,2007,05,01,              7.20
34.75,-88.25,2007,05,01,              6.40
34.75,-87.75,2007,05,01,              6.94
34.75,-87.25,2007,05,01,              6.94
34.75,-86.75,2007,05,01,              6.66
34.75,-86.25,2007,05,01,              6.66
34.75,-85.75,2007,05,01,              6.74
34.75,-85.25,2007,05,01,              6.74
34.75,-84.75,2007,05,01,              7.20
34.75,-84.25,2007,05,01,              7.20
35.25,-88.25,2007,05,01,              6.14
35.25,-87.75,2007,05,01,              6.62
35.25,-87.25,2007,05,01,              6.62
35.25,-86.75,2007,05,01,              6.74
35.25,-86.25,2007,05,01,              6.74
35.25,-85.75,2007,05,01,              7.16
35.25,-85.25,2007,05,01,              7.16
35.25,-84.75,2007,05,01,              7.16
35.25,-84.25,2007,05,01,              7.16
35.75,-88.25,2007,05,01,              6.14
35.75,-87.75,2007,05,01,              6.62
35.75,-87.25,2007,05,01,              6.62
35.75,-86.75,2007,05,01,              6.74
35.75,-86.25,2007,05,01,              6.74
35.75,-85.75,2007,05,01,              7.16
35.75,-85.25,2007,05,01,              7.16
35.75,-84.75,2007,05,01,              7.16
35.75,-84.25,2007,05,01,              7.16
36.25,-88.25,2007,05,01,              5.82
36.25,-87.75,2007,05,01,              5.87
36.25,-87.25,2007,05,01,              5.87
36.25,-86.75,2007,05,01,              6.54
36.25,-86.25,2007,05,01,              6.54
36.25,-85.75,2007,05,01,              6.66
36.25,-85.25,2007,05,01,              6.66
36.25,-84.75,2007,05,01,              6.95
36.25,-84.25,2007,05,01,              6.95
