-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-88.25,2007,05,01,              7.30
30.25,-87.75,2007,05,01,              7.38
30.25,-87.25,2007,05,01,              7.38
30.25,-86.75,2007,05,01,              7.91
30.25,-86.25,2007,05,01,              7.91
30.25,-85.75,2007,05,01,              7.85
30.25,-85.25,2007,05,01,              7.85
30.25,-84.75,2007,05,01,              7.56
30.25,-84.25,2007,05,01,              7.56
30.75,-88.25,2007,05,01,              7.30
30.75,-87.75,2007,05,01,              7.38
30.75,-87.25,2007,05,01,              7.38
30.75,-86.75,2007,05,01,              7.91
30.75,-86.25,2007,05,01,              7.91
30.75,-85.75,2007,05,01,              7.85
30.75,-85.25,2007,05,01,              7.85
30.75,-84.75,2007,05,01,              7.56
30.75,-84.25,2007,05,01,              7.56
31.25,-88.25,2007,05,01,              6.66
31.25,-87.75,2007,05,01,              6.94
31.25,-87.25,2007,05,01,              6.94
31.25,-86.75,2007,05,01,              7.43
31.25,-86.25,2007,05,01,              7.43
31.25,-85.75,2007,05,01,              7.44
31.25,-85.25,2007,05,01,              7.44
31.25,-84.75,2007,05,01,              7.16
31.25,-84.25,2007,05,01,              7.16
31.75,-88.25,2007,05,01,              6.66
31.75,-87.75,2007,05,01,              6.94
31.75,-87.25,2007,05,01,              6.94
31.75,-86.75,2007,05,01,              7.43
31.75,-86.25,2007,05,01,              7.43
31.75,-85.75,2007,05,01,              7.44
31.75,-85.25,2007,05,01,              7.44
31.75,-84.75,2007,05,01,              7.16
31.75,-84.25,2007,05,01,              7.16
32.25,-88.25,2007,05,01,              6.82
32.25,-87.75,2007,05,01,              6.94
32.25,-87.25,2007,05,01,              6.94
32.25,-86.75,2007,05,01,              7.26
32.25,-86.25,2007,05,01,              7.26
32.25,-85.75,2007,05,01,              7.26
32.25,-85.25,2007,05,01,              7.26
32.25,-84.75,2007,05,01,              7.21
32.25,-84.25,2007,05,01,              7.21
32.75,-88.25,2007,05,01,              6.82
32.75,-87.75,2007,05,01,              6.94
32.75,-87.25,2007,05,01,              6.94
32.75,-86.75,2007,05,01,              7.26
32.75,-86.25,2007,05,01,              7.26
32.75,-85.75,2007,05,01,              7.26
32.75,-85.25,2007,05,01,              7.26
32.75,-84.75,2007,05,01,              7.21
32.75,-84.25,2007,05,01,              7.21
33.25,-88.25,2007,05,01,              6.79
33.25,-87.75,2007,05,01,              7.00
33.25,-87.25,2007,05,01,              7.00
33.25,-86.75,2007,05,01,              6.93
33.25,-86.25,2007,05,01,              6.93
33.25,-85.75,2007,05,01,              7.11
33.25,-85.25,2007,05,01,              7.11
33.25,-84.75,2007,05,01,              7.33
33.25,-84.25,2007,05,01,              7.33
33.75,-88.25,2007,05,01,              6.79
33.75,-87.75,2007,05,01,              7.00
33.75,-87.25,2007,05,01,              7.00
33.75,-86.75,2007,05,01,              6.93
33.75,-86.25,2007,05,01,              6.93
33.75,-85.75,2007,05,01,              7.11
33.75,-85.25,2007,05,01,              7.11
33.75,-84.75,2007,05,01,              7.33
33.75,-84.25,2007,05,01,              7.33
34.25,-88.25,2007,05,01,              6.40
34.25,-87.75,2007,05,01,              6.94
34.25,-87.25,2007,05,01,              6.94
34.25,-86.75,2007,05,01,              6.66
34.25,-86.25,2007,05,01,              6.66
34.25,-85.75,2007,05,01,              6.74
34.25,-85.25,2007,05,01,              6.74
34.25,-84.75,2007,05,01,              7.20
