-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-116.25,2007,05,01,              6.88
38.25,-115.75,2007,05,01,              6.98
38.25,-115.25,2007,05,01,              6.98
38.25,-114.75,2007,05,01,              6.53
38.25,-114.25,2007,05,01,              6.53
38.25,-113.75,2007,05,01,              6.15
38.25,-113.25,2007,05,01,              6.15
38.25,-112.75,2007,05,01,              5.97
38.25,-112.25,2007,05,01,              5.97
38.75,-116.25,2007,05,01,              6.88
38.75,-115.75,2007,05,01,              6.98
38.75,-115.25,2007,05,01,              6.98
38.75,-114.75,2007,05,01,              6.53
38.75,-114.25,2007,05,01,              6.53
38.75,-113.75,2007,05,01,              6.15
38.75,-113.25,2007,05,01,              6.15
38.75,-112.75,2007,05,01,              5.97
38.75,-112.25,2007,05,01,              5.97
39.25,-116.25,2007,05,01,              7.83
39.25,-115.75,2007,05,01,              5.59
39.25,-115.25,2007,05,01,              5.59
39.25,-114.75,2007,05,01,              7.07
39.25,-114.25,2007,05,01,              7.07
39.25,-113.75,2007,05,01,              5.91
39.25,-113.25,2007,05,01,              5.91
39.25,-112.75,2007,05,01,              6.17
39.25,-112.25,2007,05,01,              6.17
39.75,-116.25,2007,05,01,              7.83
39.75,-115.75,2007,05,01,              5.59
39.75,-115.25,2007,05,01,              5.59
39.75,-114.75,2007,05,01,              7.07
39.75,-114.25,2007,05,01,              7.07
39.75,-113.75,2007,05,01,              5.91
39.75,-113.25,2007,05,01,              5.91
39.75,-112.75,2007,05,01,              6.17
39.75,-112.25,2007,05,01,              6.17
40.25,-116.25,2007,05,01,              8.22
40.25,-115.75,2007,05,01,              7.39
40.25,-115.25,2007,05,01,              7.39
40.25,-114.75,2007,05,01,              6.97
40.25,-114.25,2007,05,01,              6.97
40.25,-113.75,2007,05,01,              6.59
40.25,-113.25,2007,05,01,              6.59
40.25,-112.75,2007,05,01,              6.66
40.25,-112.25,2007,05,01,              6.66
40.75,-116.25,2007,05,01,              8.22
40.75,-115.75,2007,05,01,              7.39
40.75,-115.25,2007,05,01,              7.39
40.75,-114.75,2007,05,01,              6.97
40.75,-114.25,2007,05,01,              6.97
40.75,-113.75,2007,05,01,              6.59
40.75,-113.25,2007,05,01,              6.59
40.75,-112.75,2007,05,01,              6.66
40.75,-112.25,2007,05,01,              6.66
41.25,-116.25,2007,05,01,              7.90
41.25,-115.75,2007,05,01,              6.94
41.25,-115.25,2007,05,01,              6.94
41.25,-114.75,2007,05,01,              6.94
41.25,-114.25,2007,05,01,              6.94
41.25,-113.75,2007,05,01,              6.52
41.25,-113.25,2007,05,01,              6.52
41.25,-112.75,2007,05,01,              6.38
41.25,-112.25,2007,05,01,              6.38
41.75,-116.25,2007,05,01,              7.90
41.75,-115.75,2007,05,01,              6.94
41.75,-115.25,2007,05,01,              6.94
41.75,-114.75,2007,05,01,              6.94
41.75,-114.25,2007,05,01,              6.94
41.75,-113.75,2007,05,01,              6.52
41.75,-113.25,2007,05,01,              6.52
41.75,-112.75,2007,05,01,              6.38
41.75,-112.25,2007,05,01,              6.38
42.25,-116.25,2007,05,01,              6.91
42.25,-115.75,2007,05,01,              6.88
42.25,-115.25,2007,05,01,              6.88
42.25,-114.75,2007,05,01,              6.91
42.25,-114.25,2007,05,01,              6.91
42.25,-113.75,2007,05,01,              6.42
42.25,-113.25,2007,05,01,              6.42
42.25,-112.75,2007,05,01,              6.65
42.25,-112.25,2007,05,01,              6.65
38.25,-116.25,2007,05,02,              4.69
38.25,-115.75,2007,05,02,              5.09
38.25,-115.25,2007,05,02,              5.09
