-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-84.25,2007,05,01,              4.21
46.25,-83.75,2007,05,01,              2.87
46.25,-83.25,2007,05,01,              2.87
46.25,-82.75,2007,05,01,              2.87
46.25,-82.25,2007,05,01,              2.87
46.25,-81.75,2007,05,01,              3.72
46.25,-81.25,2007,05,01,              3.72
46.25,-80.75,2007,05,01,              3.72
46.25,-80.25,2007,05,01,              3.72
46.75,-84.25,2007,05,01,              4.21
46.75,-83.75,2007,05,01,              2.87
46.75,-83.25,2007,05,01,              2.87
46.75,-82.75,2007,05,01,              2.87
46.75,-82.25,2007,05,01,              2.87
46.75,-81.75,2007,05,01,              3.72
46.75,-81.25,2007,05,01,              3.72
46.75,-80.75,2007,05,01,              3.72
46.75,-80.25,2007,05,01,              3.72
47.25,-84.25,2007,05,01,              2.65
47.25,-83.75,2007,05,01,              3.20
47.25,-83.25,2007,05,01,              3.20
47.25,-82.75,2007,05,01,              3.20
47.25,-82.25,2007,05,01,              3.20
47.25,-81.75,2007,05,01,              3.90
47.25,-81.25,2007,05,01,              3.90
47.25,-80.75,2007,05,01,              3.90
47.25,-80.25,2007,05,01,              3.90
47.75,-84.25,2007,05,01,              2.65
47.75,-83.75,2007,05,01,              3.20
47.75,-83.25,2007,05,01,              3.20
47.75,-82.75,2007,05,01,              3.20
47.75,-82.25,2007,05,01,              3.20
47.75,-81.75,2007,05,01,              3.90
47.75,-81.25,2007,05,01,              3.90
47.75,-80.75,2007,05,01,              3.90
47.75,-80.25,2007,05,01,              3.90
48.25,-84.25,2007,05,01,              2.11
48.25,-83.75,2007,05,01,              3.44
48.25,-83.25,2007,05,01,              3.44
48.25,-82.75,2007,05,01,              3.44
48.25,-82.25,2007,05,01,              3.44
48.25,-81.75,2007,05,01,              5.42
48.25,-81.25,2007,05,01,              5.42
48.25,-80.75,2007,05,01,              5.42
48.25,-80.25,2007,05,01,              5.42
48.75,-84.25,2007,05,01,              2.11
48.75,-83.75,2007,05,01,              3.44
48.75,-83.25,2007,05,01,              3.44
48.75,-82.75,2007,05,01,              3.44
48.75,-82.25,2007,05,01,              3.44
48.75,-81.75,2007,05,01,              5.42
48.75,-81.25,2007,05,01,              5.42
48.75,-80.75,2007,05,01,              5.42
48.75,-80.25,2007,05,01,              5.42
49.25,-84.25,2007,05,01,              1.65
49.25,-83.75,2007,05,01,              4.59
49.25,-83.25,2007,05,01,              4.59
49.25,-82.75,2007,05,01,              4.59
49.25,-82.25,2007,05,01,              4.59
49.25,-81.75,2007,05,01,              5.87
49.25,-81.25,2007,05,01,              5.87
49.25,-80.75,2007,05,01,              5.87
49.25,-80.25,2007,05,01,              5.87
49.75,-84.25,2007,05,01,              1.65
49.75,-83.75,2007,05,01,              4.59
49.75,-83.25,2007,05,01,              4.59
49.75,-82.75,2007,05,01,              4.59
49.75,-82.25,2007,05,01,              4.59
49.75,-81.75,2007,05,01,              5.87
49.75,-81.25,2007,05,01,              5.87
49.75,-80.75,2007,05,01,              5.87
49.75,-80.25,2007,05,01,              5.87
50.25,-84.25,2007,05,01,              2.07
50.25,-83.75,2007,05,01,              5.31
50.25,-83.25,2007,05,01,              5.31
50.25,-82.75,2007,05,01,              5.31
50.25,-82.25,2007,05,01,              5.31
50.25,-81.75,2007,05,01,              5.92
50.25,-81.25,2007,05,01,              5.92
50.25,-80.75,2007,05,01,              5.92
50.25,-80.25,2007,05,01,              5.92
46.25,-84.25,2007,05,02,              4.26
46.25,-83.75,2007,05,02,              4.60
46.25,-83.25,2007,05,02,              4.60
46.25,-82.75,2007,05,02,              4.60
46.25,-82.25,2007,05,02,              4.60
46.25,-81.75,2007,05,02,              4.79
46.25,-81.25,2007,05,02,              4.79
46.25,-80.75,2007,05,02,              4.79
46.25,-80.25,2007,05,02,              4.79
46.75,-84.25,2007,05,02,              4.26
46.75,-83.75,2007,05,02,              4.60
46.75,-83.25,2007,05,02,              4.60
46.75,-82.75,2007,05,02,              4.60
46.75,-82.25,2007,05,02,              4.60
46.75,-81.75,2007,05,02,              4.79
46.75,-81.25,2007,05,02,              4.79
46.75,-80.75,2007,05,02,              4.79
46.75,-80.25,2007,05,02,              4.79
47.25,-84.25,2007,05,02,              7.64
