-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-104.25,2007,05,01,              5.47
30.25,-103.75,2007,05,01,              5.11
30.25,-103.25,2007,05,01,              5.11
30.25,-102.75,2007,05,01,              5.85
30.25,-102.25,2007,05,01,              5.85
30.25,-101.75,2007,05,01,              6.08
30.25,-101.25,2007,05,01,              6.08
30.25,-100.75,2007,05,01,              5.96
30.25,-100.25,2007,05,01,              5.96
30.75,-104.25,2007,05,01,              5.47
30.75,-103.75,2007,05,01,              5.11
30.75,-103.25,2007,05,01,              5.11
30.75,-102.75,2007,05,01,              5.85
30.75,-102.25,2007,05,01,              5.85
30.75,-101.75,2007,05,01,              6.08
30.75,-101.25,2007,05,01,              6.08
30.75,-100.75,2007,05,01,              5.96
30.75,-100.25,2007,05,01,              5.96
31.25,-104.25,2007,05,01,              6.38
31.25,-103.75,2007,05,01,              5.89
31.25,-103.25,2007,05,01,              5.89
31.25,-102.75,2007,05,01,              5.95
31.25,-102.25,2007,05,01,              5.95
31.25,-101.75,2007,05,01,              6.82
31.25,-101.25,2007,05,01,              6.82
31.25,-100.75,2007,05,01,              6.32
31.25,-100.25,2007,05,01,              6.32
31.75,-104.25,2007,05,01,              6.38
31.75,-103.75,2007,05,01,              5.89
31.75,-103.25,2007,05,01,              5.89
31.75,-102.75,2007,05,01,              5.95
31.75,-102.25,2007,05,01,              5.95
31.75,-101.75,2007,05,01,              6.82
31.75,-101.25,2007,05,01,              6.82
31.75,-100.75,2007,05,01,              6.32
31.75,-100.25,2007,05,01,              6.32
32.25,-104.25,2007,05,01,              6.80
32.25,-103.75,2007,05,01,              7.07
32.25,-103.25,2007,05,01,              7.07
32.25,-102.75,2007,05,01,              6.97
32.25,-102.25,2007,05,01,              6.97
32.25,-101.75,2007,05,01,              6.28
32.25,-101.25,2007,05,01,              6.28
32.25,-100.75,2007,05,01,              6.66
32.25,-100.25,2007,05,01,              6.66
32.75,-104.25,2007,05,01,              6.80
32.75,-103.75,2007,05,01,              7.07
32.75,-103.25,2007,05,01,              7.07
32.75,-102.75,2007,05,01,              6.97
32.75,-102.25,2007,05,01,              6.97
32.75,-101.75,2007,05,01,              6.28
32.75,-101.25,2007,05,01,              6.28
32.75,-100.75,2007,05,01,              6.66
32.75,-100.25,2007,05,01,              6.66
33.25,-104.25,2007,05,01,              6.60
33.25,-103.75,2007,05,01,              7.00
33.25,-103.25,2007,05,01,              7.00
33.25,-102.75,2007,05,01,              7.17
33.25,-102.25,2007,05,01,              7.17
33.25,-101.75,2007,05,01,              7.21
33.25,-101.25,2007,05,01,              7.21
33.25,-100.75,2007,05,01,              6.38
33.25,-100.25,2007,05,01,              6.38
33.75,-104.25,2007,05,01,              6.60
33.75,-103.75,2007,05,01,              7.00
33.75,-103.25,2007,05,01,              7.00
33.75,-102.75,2007,05,01,              7.17
33.75,-102.25,2007,05,01,              7.17
33.75,-101.75,2007,05,01,              7.21
33.75,-101.25,2007,05,01,              7.21
33.75,-100.75,2007,05,01,              6.38
33.75,-100.25,2007,05,01,              6.38
34.25,-104.25,2007,05,01,              7.25
34.25,-103.75,2007,05,01,              7.41
34.25,-103.25,2007,05,01,              7.41
34.25,-102.75,2007,05,01,              7.43
34.25,-102.25,2007,05,01,              7.43
34.25,-101.75,2007,05,01,              7.04
34.25,-101.25,2007,05,01,              7.04
34.25,-100.75,2007,05,01,              6.39
34.25,-100.25,2007,05,01,              6.39
30.25,-104.25,2007,05,02,              7.49
30.25,-103.75,2007,05,02,              6.93
30.25,-103.25,2007,05,02,              6.93
30.25,-102.75,2007,05,02,              6.08
30.25,-102.25,2007,05,02,              6.08
30.25,-101.75,2007,05,02,              4.07
30.25,-101.25,2007,05,02,              4.07
30.25,-100.75,2007,05,02,              2.23
30.25,-100.25,2007,05,02,              2.23
30.75,-104.25,2007,05,02,              7.49
30.75,-103.75,2007,05,02,              6.93
30.75,-103.25,2007,05,02,              6.93
30.75,-102.75,2007,05,02,              6.08
30.75,-102.25,2007,05,02,              6.08
30.75,-101.75,2007,05,02,              4.07
30.75,-101.25,2007,05,02,              4.07
30.75,-100.75,2007,05,02,              2.23
30.75,-100.25,2007,05,02,              2.23
31.25,-104.25,2007,05,02,              5.22
31.25,-103.75,2007,05,02,              5.46
31.25,-103.25,2007,05,02,              5.46
31.25,-102.75,2007,05,02,              5.66
31.25,-102.25,2007,05,02,              5.66
31.25,-101.75,2007,05,02,              3.33
31.25,-101.25,2007,05,02,              3.33
31.25,-100.75,2007,05,02,              2.69
31.25,-100.25,2007,05,02,              2.69
31.75,-104.25,2007,05,02,              5.22
31.75,-103.75,2007,05,02,              5.46
31.75,-103.25,2007,05,02,              5.46
31.75,-102.75,2007,05,02,              5.66
31.75,-102.25,2007,05,02,              5.66
31.75,-101.75,2007,05,02,              3.33
31.75,-101.25,2007,05,02,              3.33
31.75,-100.75,2007,05,02,              2.69
31.75,-100.25,2007,05,02,              2.69
32.25,-104.25,2007,05,02,              5.05
32.25,-103.75,2007,05,02,              4.92
32.25,-103.25,2007,05,02,              4.92
32.25,-102.75,2007,05,02,              4.74
32.25,-102.25,2007,05,02,              4.74
32.25,-101.75,2007,05,02,              2.47
32.25,-101.25,2007,05,02,              2.47
32.25,-100.75,2007,05,02,              1.29
32.25,-100.25,2007,05,02,              1.29
32.75,-104.25,2007,05,02,              5.05
32.75,-103.75,2007,05,02,              4.92
32.75,-103.25,2007,05,02,              4.92
32.75,-102.75,2007,05,02,              4.74
32.75,-102.25,2007,05,02,              4.74
32.75,-101.75,2007,05,02,              2.47
32.75,-101.25,2007,05,02,              2.47
32.75,-100.75,2007,05,02,              1.29
32.75,-100.25,2007,05,02,              1.29
33.25,-104.25,2007,05,02,              5.76
33.25,-103.75,2007,05,02,              4.71
33.25,-103.25,2007,05,02,              4.71
33.25,-102.75,2007,05,02,              3.39
33.25,-102.25,2007,05,02,              3.39
33.25,-101.75,2007,05,02,              2.29
33.25,-101.25,2007,05,02,              2.29
33.25,-100.75,2007,05,02,              2.04
33.25,-100.25,2007,05,02,              2.04
33.75,-104.25,2007,05,02,              5.76
33.75,-103.75,2007,05,02,              4.71
33.75,-103.25,2007,05,02,              4.71
33.75,-102.75,2007,05,02,              3.39
33.75,-102.25,2007,05,02,              3.39
33.75,-101.75,2007,05,02,              2.29
33.75,-101.25,2007,05,02,              2.29
33.75,-100.75,2007,05,02,              2.04
33.75,-100.25,2007,05,02,              2.04
