-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-76.25,2007,05,01,              7.41
38.25,-75.75,2007,05,01,              7.11
38.25,-75.25,2007,05,01,              7.11
38.25,-74.75,2007,05,01,              7.38
38.25,-74.25,2007,05,01,              7.38
38.25,-73.75,2007,05,01,              7.44
38.25,-73.25,2007,05,01,              7.44
38.25,-72.75,2007,05,01,              6.60
38.25,-72.25,2007,05,01,              6.60
38.75,-76.25,2007,05,01,              7.41
38.75,-75.75,2007,05,01,              7.11
38.75,-75.25,2007,05,01,              7.11
38.75,-74.75,2007,05,01,              7.38
38.75,-74.25,2007,05,01,              7.38
38.75,-73.75,2007,05,01,              7.44
38.75,-73.25,2007,05,01,              7.44
38.75,-72.75,2007,05,01,              6.60
38.75,-72.25,2007,05,01,              6.60
39.25,-76.25,2007,05,01,              6.68
39.25,-75.75,2007,05,01,              5.88
39.25,-75.25,2007,05,01,              5.88
39.25,-74.75,2007,05,01,              4.43
39.25,-74.25,2007,05,01,              4.43
39.25,-73.75,2007,05,01,              4.77
39.25,-73.25,2007,05,01,              4.77
39.25,-72.75,2007,05,01,              6.14
39.25,-72.25,2007,05,01,              6.14
39.75,-76.25,2007,05,01,              6.68
39.75,-75.75,2007,05,01,              5.88
39.75,-75.25,2007,05,01,              5.88
39.75,-74.75,2007,05,01,              4.43
39.75,-74.25,2007,05,01,              4.43
39.75,-73.75,2007,05,01,              4.77
39.75,-73.25,2007,05,01,              4.77
39.75,-72.75,2007,05,01,              6.14
39.75,-72.25,2007,05,01,              6.14
40.25,-76.25,2007,05,01,              5.05
40.25,-75.75,2007,05,01,              4.12
40.25,-75.25,2007,05,01,              4.12
40.25,-74.75,2007,05,01,              3.70
40.25,-74.25,2007,05,01,              3.70
40.25,-73.75,2007,05,01,              5.29
40.25,-73.25,2007,05,01,              5.29
40.25,-72.75,2007,05,01,              5.90
40.25,-72.25,2007,05,01,              5.90
40.75,-76.25,2007,05,01,              5.05
40.75,-75.75,2007,05,01,              4.12
40.75,-75.25,2007,05,01,              4.12
40.75,-74.75,2007,05,01,              3.70
40.75,-74.25,2007,05,01,              3.70
40.75,-73.75,2007,05,01,              5.29
40.75,-73.25,2007,05,01,              5.29
40.75,-72.75,2007,05,01,              5.90
40.75,-72.25,2007,05,01,              5.90
41.25,-76.25,2007,05,01,              3.01
41.25,-75.75,2007,05,01,              2.95
41.25,-75.25,2007,05,01,              2.95
41.25,-74.75,2007,05,01,              3.70
41.25,-74.25,2007,05,01,              3.70
41.25,-73.75,2007,05,01,              5.07
41.25,-73.25,2007,05,01,              5.07
41.25,-72.75,2007,05,01,              5.34
41.25,-72.25,2007,05,01,              5.34
41.75,-76.25,2007,05,01,              3.01
41.75,-75.75,2007,05,01,              2.95
41.75,-75.25,2007,05,01,              2.95
41.75,-74.75,2007,05,01,              3.70
41.75,-74.25,2007,05,01,              3.70
41.75,-73.75,2007,05,01,              5.07
41.75,-73.25,2007,05,01,              5.07
41.75,-72.75,2007,05,01,              5.34
41.75,-72.25,2007,05,01,              5.34
42.25,-76.25,2007,05,01,              2.16
42.25,-75.75,2007,05,01,              3.46
42.25,-75.25,2007,05,01,              3.46
42.25,-74.75,2007,05,01,              4.15
42.25,-74.25,2007,05,01,              4.15
42.25,-73.75,2007,05,01,              4.79
42.25,-73.25,2007,05,01,              4.79
42.25,-72.75,2007,05,01,              5.65
42.25,-72.25,2007,05,01,              5.65
38.25,-76.25,2007,05,02,              5.36
38.25,-75.75,2007,05,02,              5.14
38.25,-75.25,2007,05,02,              5.14
38.25,-74.75,2007,05,02,              5.00
38.25,-74.25,2007,05,02,              5.00
38.25,-73.75,2007,05,02,              4.92
38.25,-73.25,2007,05,02,              4.92
38.25,-72.75,2007,05,02,              4.58
38.25,-72.25,2007,05,02,              4.58
38.75,-76.25,2007,05,02,              5.36
38.75,-75.75,2007,05,02,              5.14
38.75,-75.25,2007,05,02,              5.14
38.75,-74.75,2007,05,02,              5.00
38.75,-74.25,2007,05,02,              5.00
38.75,-73.75,2007,05,02,              4.92
38.75,-73.25,2007,05,02,              4.92
38.75,-72.75,2007,05,02,              4.58
38.75,-72.25,2007,05,02,              4.58
39.25,-76.25,2007,05,02,              5.94
39.25,-75.75,2007,05,02,              6.01
39.25,-75.25,2007,05,02,              6.01
39.25,-74.75,2007,05,02,              5.73
39.25,-74.25,2007,05,02,              5.73
39.25,-73.75,2007,05,02,              6.31
39.25,-73.25,2007,05,02,              6.31
39.25,-72.75,2007,05,02,              5.66
39.25,-72.25,2007,05,02,              5.66
39.75,-76.25,2007,05,02,              5.94
39.75,-75.75,2007,05,02,              6.01
39.75,-75.25,2007,05,02,              6.01
39.75,-74.75,2007,05,02,              5.73
39.75,-74.25,2007,05,02,              5.73
39.75,-73.75,2007,05,02,              6.31
39.75,-73.25,2007,05,02,              6.31
39.75,-72.75,2007,05,02,              5.66
39.75,-72.25,2007,05,02,              5.66
40.25,-76.25,2007,05,02,              6.33
40.25,-75.75,2007,05,02,              6.36
40.25,-75.25,2007,05,02,              6.36
40.25,-74.75,2007,05,02,              5.93
40.25,-74.25,2007,05,02,              5.93
40.25,-73.75,2007,05,02,              4.78
40.25,-73.25,2007,05,02,              4.78
40.25,-72.75,2007,05,02,              5.11
40.25,-72.25,2007,05,02,              5.11
40.75,-76.25,2007,05,02,              6.33
40.75,-75.75,2007,05,02,              6.36
40.75,-75.25,2007,05,02,              6.36
40.75,-74.75,2007,05,02,              5.93
40.75,-74.25,2007,05,02,              5.93
40.75,-73.75,2007,05,02,              4.78
40.75,-73.25,2007,05,02,              4.78
40.75,-72.75,2007,05,02,              5.11
40.75,-72.25,2007,05,02,              5.11
41.25,-76.25,2007,05,02,              6.50
41.25,-75.75,2007,05,02,              5.56
41.25,-75.25,2007,05,02,              5.56
41.25,-74.75,2007,05,02,              5.66
41.25,-74.25,2007,05,02,              5.66
41.25,-73.75,2007,05,02,              5.10
41.25,-73.25,2007,05,02,              5.10
41.25,-72.75,2007,05,02,              4.08
41.25,-72.25,2007,05,02,              4.08
41.75,-76.25,2007,05,02,              6.50
41.75,-75.75,2007,05,02,              5.56
41.75,-75.25,2007,05,02,              5.56
41.75,-74.75,2007,05,02,              5.66
41.75,-74.25,2007,05,02,              5.66
41.75,-73.75,2007,05,02,              5.10
41.75,-73.25,2007,05,02,              5.10
41.75,-72.75,2007,05,02,              4.08
41.75,-72.25,2007,05,02,              4.08
