-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-84.25,2007,05,01,              3.03
42.25,-83.75,2007,05,01,              2.58
42.25,-83.25,2007,05,01,              2.58
42.25,-82.75,2007,05,01,              2.04
42.25,-82.25,2007,05,01,              2.04
42.25,-81.75,2007,05,01,              1.80
42.25,-81.25,2007,05,01,              1.80
42.25,-80.75,2007,05,01,              2.05
42.25,-80.25,2007,05,01,              2.05
42.75,-84.25,2007,05,01,              3.03
42.75,-83.75,2007,05,01,              2.58
42.75,-83.25,2007,05,01,              2.58
42.75,-82.75,2007,05,01,              2.04
42.75,-82.25,2007,05,01,              2.04
42.75,-81.75,2007,05,01,              1.80
42.75,-81.25,2007,05,01,              1.80
42.75,-80.75,2007,05,01,              2.05
42.75,-80.25,2007,05,01,              2.05
43.25,-84.25,2007,05,01,              0.78
43.25,-83.75,2007,05,01,              0.55
43.25,-83.25,2007,05,01,              0.55
43.25,-82.75,2007,05,01,              1.15
43.25,-82.25,2007,05,01,              1.15
43.25,-81.75,2007,05,01,              1.60
43.25,-81.25,2007,05,01,              1.60
43.25,-80.75,2007,05,01,              1.16
43.25,-80.25,2007,05,01,              1.16
43.75,-84.25,2007,05,01,              0.78
43.75,-83.75,2007,05,01,              0.55
43.75,-83.25,2007,05,01,              0.55
43.75,-82.75,2007,05,01,              1.15
43.75,-82.25,2007,05,01,              1.15
43.75,-81.75,2007,05,01,              1.60
43.75,-81.25,2007,05,01,              1.60
43.75,-80.75,2007,05,01,              1.16
43.75,-80.25,2007,05,01,              1.16
44.25,-84.25,2007,05,01,              0.82
44.25,-83.75,2007,05,01,              1.42
44.25,-83.25,2007,05,01,              1.42
44.25,-82.75,2007,05,01,              1.36
44.25,-82.25,2007,05,01,              1.36
44.25,-81.75,2007,05,01,              1.49
44.25,-81.25,2007,05,01,              1.49
44.25,-80.75,2007,05,01,              1.62
