-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-72.25,2007,05,01,              6.60
38.25,-71.75,2007,05,01,              7.21
38.25,-71.25,2007,05,01,              7.21
38.25,-70.75,2007,05,01,              7.34
38.25,-70.25,2007,05,01,              7.34
38.25,-69.75,2007,05,01,              7.27
38.25,-69.25,2007,05,01,              7.27
38.25,-68.75,2007,05,01,              7.93
38.25,-68.25,2007,05,01,              7.93
38.75,-72.25,2007,05,01,              6.60
38.75,-71.75,2007,05,01,              7.21
38.75,-71.25,2007,05,01,              7.21
38.75,-70.75,2007,05,01,              7.34
38.75,-70.25,2007,05,01,              7.34
38.75,-69.75,2007,05,01,              7.27
38.75,-69.25,2007,05,01,              7.27
38.75,-68.75,2007,05,01,              7.93
38.75,-68.25,2007,05,01,              7.93
39.25,-72.25,2007,05,01,              6.14
39.25,-71.75,2007,05,01,              7.17
39.25,-71.25,2007,05,01,              7.17
39.25,-70.75,2007,05,01,              7.59
39.25,-70.25,2007,05,01,              7.59
39.25,-69.75,2007,05,01,              7.90
39.25,-69.25,2007,05,01,              7.90
39.25,-68.75,2007,05,01,              7.89
39.25,-68.25,2007,05,01,              7.89
39.75,-72.25,2007,05,01,              6.14
39.75,-71.75,2007,05,01,              7.17
39.75,-71.25,2007,05,01,              7.17
39.75,-70.75,2007,05,01,              7.59
39.75,-70.25,2007,05,01,              7.59
39.75,-69.75,2007,05,01,              7.90
39.75,-69.25,2007,05,01,              7.90
39.75,-68.75,2007,05,01,              7.89
39.75,-68.25,2007,05,01,              7.89
