-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-68.25,2007,05,01,              7.89
42.25,-67.75,2007,05,01,              7.70
42.25,-67.25,2007,05,01,              7.70
42.25,-66.75,2007,05,01,              7.37
42.25,-66.25,2007,05,01,              7.37
42.25,-65.75,2007,05,01,              6.21
42.25,-65.25,2007,05,01,              6.21
42.25,-64.75,2007,05,01,              5.75
42.25,-64.25,2007,05,01,              5.75
42.75,-68.25,2007,05,01,              7.89
42.75,-67.75,2007,05,01,              7.70
42.75,-67.25,2007,05,01,              7.70
42.75,-66.75,2007,05,01,              7.37
42.75,-66.25,2007,05,01,              7.37
42.75,-65.75,2007,05,01,              6.21
42.75,-65.25,2007,05,01,              6.21
42.75,-64.75,2007,05,01,              5.75
42.75,-64.25,2007,05,01,              5.75
43.25,-68.25,2007,05,01,              7.82
43.25,-67.75,2007,05,01,              7.67
43.25,-67.25,2007,05,01,              7.67
43.25,-66.75,2007,05,01,              6.75
43.25,-66.25,2007,05,01,              6.75
43.25,-65.75,2007,05,01,              5.43
43.25,-65.25,2007,05,01,              5.43
43.25,-64.75,2007,05,01,              4.39
43.25,-64.25,2007,05,01,              4.39
43.75,-68.25,2007,05,01,              7.82
43.75,-67.75,2007,05,01,              7.67
43.75,-67.25,2007,05,01,              7.67
43.75,-66.75,2007,05,01,              6.75
43.75,-66.25,2007,05,01,              6.75
43.75,-65.75,2007,05,01,              5.43
43.75,-65.25,2007,05,01,              5.43
43.75,-64.75,2007,05,01,              4.39
43.75,-64.25,2007,05,01,              4.39
44.25,-68.25,2007,05,01,              5.74
44.25,-67.75,2007,05,01,              4.39
44.25,-67.25,2007,05,01,              4.39
44.25,-66.75,2007,05,01,              4.54
44.25,-66.25,2007,05,01,              4.54
44.25,-65.75,2007,05,01,              3.64
44.25,-65.25,2007,05,01,              3.64
44.25,-64.75,2007,05,01,              2.29
44.25,-64.25,2007,05,01,              2.29
44.75,-68.25,2007,05,01,              5.74
44.75,-67.75,2007,05,01,              4.39
44.75,-67.25,2007,05,01,              4.39
44.75,-66.75,2007,05,01,              4.54
44.75,-66.25,2007,05,01,              4.54
44.75,-65.75,2007,05,01,              3.64
44.75,-65.25,2007,05,01,              3.64
44.75,-64.75,2007,05,01,              2.29
44.75,-64.25,2007,05,01,              2.29
45.25,-68.25,2007,05,01,              3.54
45.25,-67.75,2007,05,01,              3.20
45.25,-67.25,2007,05,01,              3.20
45.25,-66.75,2007,05,01,              3.20
45.25,-66.25,2007,05,01,              3.20
45.25,-65.75,2007,05,01,              2.73
45.25,-65.25,2007,05,01,              2.73
45.25,-64.75,2007,05,01,              2.73
45.25,-64.25,2007,05,01,              2.73
45.75,-68.25,2007,05,01,              3.54
45.75,-67.75,2007,05,01,              3.20
45.75,-67.25,2007,05,01,              3.20
45.75,-66.75,2007,05,01,              3.20
45.75,-66.25,2007,05,01,              3.20
45.75,-65.75,2007,05,01,              2.73
45.75,-65.25,2007,05,01,              2.73
45.75,-64.75,2007,05,01,              2.73
45.75,-64.25,2007,05,01,              2.73
46.25,-68.25,2007,05,01,              3.14
46.25,-67.75,2007,05,01,              2.96
46.25,-67.25,2007,05,01,              2.96
46.25,-66.75,2007,05,01,              2.96
46.25,-66.25,2007,05,01,              2.96
46.25,-65.75,2007,05,01,              3.32
46.25,-65.25,2007,05,01,              3.32
46.25,-64.75,2007,05,01,              3.32
46.25,-64.25,2007,05,01,              3.32
42.25,-68.25,2007,05,02,              5.00
42.25,-67.75,2007,05,02,              4.78
42.25,-67.25,2007,05,02,              4.78
42.25,-66.75,2007,05,02,              4.42
42.25,-66.25,2007,05,02,              4.42
42.25,-65.75,2007,05,02,              3.68
42.25,-65.25,2007,05,02,              3.68
42.25,-64.75,2007,05,02,              2.41
42.25,-64.25,2007,05,02,              2.41
42.75,-68.25,2007,05,02,              5.00
42.75,-67.75,2007,05,02,              4.78
42.75,-67.25,2007,05,02,              4.78
42.75,-66.75,2007,05,02,              4.42
42.75,-66.25,2007,05,02,              4.42
42.75,-65.75,2007,05,02,              3.68
42.75,-65.25,2007,05,02,              3.68
42.75,-64.75,2007,05,02,              2.41
42.75,-64.25,2007,05,02,              2.41
43.25,-68.25,2007,05,02,              7.24
43.25,-67.75,2007,05,02,              6.96
43.25,-67.25,2007,05,02,              6.96
43.25,-66.75,2007,05,02,              6.37
43.25,-66.25,2007,05,02,              6.37
43.25,-65.75,2007,05,02,              5.30
43.25,-65.25,2007,05,02,              5.30
43.25,-64.75,2007,05,02,              4.11
43.25,-64.25,2007,05,02,              4.11
43.75,-68.25,2007,05,02,              7.24
43.75,-67.75,2007,05,02,              6.96
43.75,-67.25,2007,05,02,              6.96
43.75,-66.75,2007,05,02,              6.37
43.75,-66.25,2007,05,02,              6.37
43.75,-65.75,2007,05,02,              5.30
43.75,-65.25,2007,05,02,              5.30
43.75,-64.75,2007,05,02,              4.11
43.75,-64.25,2007,05,02,              4.11
44.25,-68.25,2007,05,02,              6.11
44.25,-67.75,2007,05,02,              5.93
44.25,-67.25,2007,05,02,              5.93
44.25,-66.75,2007,05,02,              6.60
44.25,-66.25,2007,05,02,              6.60
44.25,-65.75,2007,05,02,              5.56
44.25,-65.25,2007,05,02,              5.56
44.25,-64.75,2007,05,02,              3.70
44.25,-64.25,2007,05,02,              3.70
44.75,-68.25,2007,05,02,              6.11
44.75,-67.75,2007,05,02,              5.93
44.75,-67.25,2007,05,02,              5.93
44.75,-66.75,2007,05,02,              6.60
44.75,-66.25,2007,05,02,              6.60
44.75,-65.75,2007,05,02,              5.56
44.75,-65.25,2007,05,02,              5.56
44.75,-64.75,2007,05,02,              3.70
44.75,-64.25,2007,05,02,              3.70
45.25,-68.25,2007,05,02,              5.10
45.25,-67.75,2007,05,02,              5.26
45.25,-67.25,2007,05,02,              5.26
45.25,-66.75,2007,05,02,              5.26
45.25,-66.25,2007,05,02,              5.26
45.25,-65.75,2007,05,02,              5.12
45.25,-65.25,2007,05,02,              5.12
45.25,-64.75,2007,05,02,              5.12
45.25,-64.25,2007,05,02,              5.12
45.75,-68.25,2007,05,02,              5.10
45.75,-67.75,2007,05,02,              5.26
45.75,-67.25,2007,05,02,              5.26
45.75,-66.75,2007,05,02,              5.26
45.75,-66.25,2007,05,02,              5.26
45.75,-65.75,2007,05,02,              5.12
45.75,-65.25,2007,05,02,              5.12
45.75,-64.75,2007,05,02,              5.12
45.75,-64.25,2007,05,02,              5.12
46.25,-68.25,2007,05,02,              4.66
46.25,-67.75,2007,05,02,              4.64
46.25,-67.25,2007,05,02,              4.64
46.25,-66.75,2007,05,02,              4.64
46.25,-66.25,2007,05,02,              4.64
46.25,-65.75,2007,05,02,              4.70
46.25,-65.25,2007,05,02,              4.70
46.25,-64.75,2007,05,02,              4.70
46.25,-64.25,2007,05,02,              4.70
42.25,-68.25,2007,05,03,              8.43
42.25,-67.75,2007,05,03,              8.42
42.25,-67.25,2007,05,03,              8.42
42.25,-66.75,2007,05,03,              8.42
42.25,-66.25,2007,05,03,              8.42
42.25,-65.75,2007,05,03,              8.38
42.25,-65.25,2007,05,03,              8.38
42.25,-64.75,2007,05,03,              8.35
42.25,-64.25,2007,05,03,              8.35
42.75,-68.25,2007,05,03,              8.43
42.75,-67.75,2007,05,03,              8.42
42.75,-67.25,2007,05,03,              8.42
42.75,-66.75,2007,05,03,              8.42
42.75,-66.25,2007,05,03,              8.42
42.75,-65.75,2007,05,03,              8.38
42.75,-65.25,2007,05,03,              8.38
42.75,-64.75,2007,05,03,              8.35
42.75,-64.25,2007,05,03,              8.35
43.25,-68.25,2007,05,03,              8.36
43.25,-67.75,2007,05,03,              8.34
43.25,-67.25,2007,05,03,              8.34
43.25,-66.75,2007,05,03,              8.31
43.25,-66.25,2007,05,03,              8.31
43.25,-65.75,2007,05,03,              8.27
43.25,-65.25,2007,05,03,              8.27
43.25,-64.75,2007,05,03,              8.24
43.25,-64.25,2007,05,03,              8.24
43.75,-68.25,2007,05,03,              8.36
43.75,-67.75,2007,05,03,              8.34
43.75,-67.25,2007,05,03,              8.34
43.75,-66.75,2007,05,03,              8.31
43.75,-66.25,2007,05,03,              8.31
43.75,-65.75,2007,05,03,              8.27
43.75,-65.25,2007,05,03,              8.27
43.75,-64.75,2007,05,03,              8.24
43.75,-64.25,2007,05,03,              8.24
44.25,-68.25,2007,05,03,              7.69
44.25,-67.75,2007,05,03,              7.61
44.25,-67.25,2007,05,03,              7.61
44.25,-66.75,2007,05,03,              7.79
44.25,-66.25,2007,05,03,              7.79
44.25,-65.75,2007,05,03,              7.60
44.25,-65.25,2007,05,03,              7.60
44.25,-64.75,2007,05,03,              6.37
44.25,-64.25,2007,05,03,              6.37
44.75,-68.25,2007,05,03,              7.69
44.75,-67.75,2007,05,03,              7.61
44.75,-67.25,2007,05,03,              7.61
44.75,-66.75,2007,05,03,              7.79
44.75,-66.25,2007,05,03,              7.79
44.75,-65.75,2007,05,03,              7.60
44.75,-65.25,2007,05,03,              7.60
44.75,-64.75,2007,05,03,              6.37
44.75,-64.25,2007,05,03,              6.37
45.25,-68.25,2007,05,03,              6.32
45.25,-67.75,2007,05,03,              5.48
45.25,-67.25,2007,05,03,              5.48
