-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-96.25,2007,05,01,              7.27
46.25,-95.75,2007,05,01,              6.85
46.25,-95.25,2007,05,01,              6.85
46.25,-94.75,2007,05,01,              6.85
46.25,-94.25,2007,05,01,              6.85
46.25,-93.75,2007,05,01,              6.77
46.25,-93.25,2007,05,01,              6.77
46.25,-92.75,2007,05,01,              6.77
46.25,-92.25,2007,05,01,              6.77
46.75,-96.25,2007,05,01,              7.27
46.75,-95.75,2007,05,01,              6.85
46.75,-95.25,2007,05,01,              6.85
46.75,-94.75,2007,05,01,              6.85
46.75,-94.25,2007,05,01,              6.85
46.75,-93.75,2007,05,01,              6.77
46.75,-93.25,2007,05,01,              6.77
46.75,-92.75,2007,05,01,              6.77
46.75,-92.25,2007,05,01,              6.77
47.25,-96.25,2007,05,01,              7.03
47.25,-95.75,2007,05,01,              5.79
47.25,-95.25,2007,05,01,              5.79
47.25,-94.75,2007,05,01,              5.79
47.25,-94.25,2007,05,01,              5.79
47.25,-93.75,2007,05,01,              4.19
47.25,-93.25,2007,05,01,              4.19
47.25,-92.75,2007,05,01,              4.19
47.25,-92.25,2007,05,01,              4.19
47.75,-96.25,2007,05,01,              7.03
47.75,-95.75,2007,05,01,              5.79
47.75,-95.25,2007,05,01,              5.79
47.75,-94.75,2007,05,01,              5.79
47.75,-94.25,2007,05,01,              5.79
47.75,-93.75,2007,05,01,              4.19
47.75,-93.25,2007,05,01,              4.19
47.75,-92.75,2007,05,01,              4.19
47.75,-92.25,2007,05,01,              4.19
48.25,-96.25,2007,05,01,              6.64
48.25,-95.75,2007,05,01,              5.52
48.25,-95.25,2007,05,01,              5.52
48.25,-94.75,2007,05,01,              5.52
48.25,-94.25,2007,05,01,              5.52
48.25,-93.75,2007,05,01,              2.59
48.25,-93.25,2007,05,01,              2.59
48.25,-92.75,2007,05,01,              2.59
48.25,-92.25,2007,05,01,              2.59
48.75,-96.25,2007,05,01,              6.64
