-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-80.25,2007,05,01,              7.37
38.25,-79.75,2007,05,01,              7.11
38.25,-79.25,2007,05,01,              7.11
38.25,-78.75,2007,05,01,              6.63
38.25,-78.25,2007,05,01,              6.63
38.25,-77.75,2007,05,01,              6.99
38.25,-77.25,2007,05,01,              6.99
38.25,-76.75,2007,05,01,              7.41
38.25,-76.25,2007,05,01,              7.41
38.75,-80.25,2007,05,01,              7.37
38.75,-79.75,2007,05,01,              7.11
38.75,-79.25,2007,05,01,              7.11
38.75,-78.75,2007,05,01,              6.63
38.75,-78.25,2007,05,01,              6.63
38.75,-77.75,2007,05,01,              6.99
38.75,-77.25,2007,05,01,              6.99
38.75,-76.75,2007,05,01,              7.41
38.75,-76.25,2007,05,01,              7.41
39.25,-80.25,2007,05,01,              7.08
39.25,-79.75,2007,05,01,              6.75
39.25,-79.25,2007,05,01,              6.75
39.25,-78.75,2007,05,01,              6.31
39.25,-78.25,2007,05,01,              6.31
39.25,-77.75,2007,05,01,              6.62
39.25,-77.25,2007,05,01,              6.62
39.25,-76.75,2007,05,01,              6.68
39.25,-76.25,2007,05,01,              6.68
39.75,-80.25,2007,05,01,              7.08
39.75,-79.75,2007,05,01,              6.75
39.75,-79.25,2007,05,01,              6.75
39.75,-78.75,2007,05,01,              6.31
39.75,-78.25,2007,05,01,              6.31
39.75,-77.75,2007,05,01,              6.62
39.75,-77.25,2007,05,01,              6.62
39.75,-76.75,2007,05,01,              6.68
39.75,-76.25,2007,05,01,              6.68
40.25,-80.25,2007,05,01,              6.64
40.25,-79.75,2007,05,01,              6.44
40.25,-79.25,2007,05,01,              6.44
40.25,-78.75,2007,05,01,              5.70
40.25,-78.25,2007,05,01,              5.70
40.25,-77.75,2007,05,01,              5.51
40.25,-77.25,2007,05,01,              5.51
40.25,-76.75,2007,05,01,              5.05
40.25,-76.25,2007,05,01,              5.05
40.75,-80.25,2007,05,01,              6.64
40.75,-79.75,2007,05,01,              6.44
40.75,-79.25,2007,05,01,              6.44
40.75,-78.75,2007,05,01,              5.70
40.75,-78.25,2007,05,01,              5.70
40.75,-77.75,2007,05,01,              5.51
40.75,-77.25,2007,05,01,              5.51
40.75,-76.75,2007,05,01,              5.05
40.75,-76.25,2007,05,01,              5.05
41.25,-80.25,2007,05,01,              5.89
41.25,-79.75,2007,05,01,              4.83
41.25,-79.25,2007,05,01,              4.83
41.25,-78.75,2007,05,01,              3.55
41.25,-78.25,2007,05,01,              3.55
41.25,-77.75,2007,05,01,              3.34
41.25,-77.25,2007,05,01,              3.34
41.25,-76.75,2007,05,01,              3.01
41.25,-76.25,2007,05,01,              3.01
41.75,-80.25,2007,05,01,              5.89
41.75,-79.75,2007,05,01,              4.83
41.75,-79.25,2007,05,01,              4.83
41.75,-78.75,2007,05,01,              3.55
41.75,-78.25,2007,05,01,              3.55
41.75,-77.75,2007,05,01,              3.34
41.75,-77.25,2007,05,01,              3.34
41.75,-76.75,2007,05,01,              3.01
41.75,-76.25,2007,05,01,              3.01
42.25,-80.25,2007,05,01,              2.05
42.25,-79.75,2007,05,01,              1.59
42.25,-79.25,2007,05,01,              1.59
42.25,-78.75,2007,05,01,              1.76
42.25,-78.25,2007,05,01,              1.76
42.25,-77.75,2007,05,01,              1.39
42.25,-77.25,2007,05,01,              1.39
42.25,-76.75,2007,05,01,              2.16
42.25,-76.25,2007,05,01,              2.16
38.25,-80.25,2007,05,02,              2.59
38.25,-79.75,2007,05,02,              2.80
38.25,-79.25,2007,05,02,              2.80
38.25,-78.75,2007,05,02,              3.59
38.25,-78.25,2007,05,02,              3.59
38.25,-77.75,2007,05,02,              4.94
38.25,-77.25,2007,05,02,              4.94
38.25,-76.75,2007,05,02,              5.36
38.25,-76.25,2007,05,02,              5.36
38.75,-80.25,2007,05,02,              2.59
38.75,-79.75,2007,05,02,              2.80
38.75,-79.25,2007,05,02,              2.80
38.75,-78.75,2007,05,02,              3.59
38.75,-78.25,2007,05,02,              3.59
38.75,-77.75,2007,05,02,              4.94
38.75,-77.25,2007,05,02,              4.94
38.75,-76.75,2007,05,02,              5.36
38.75,-76.25,2007,05,02,              5.36
39.25,-80.25,2007,05,02,              5.31
39.25,-79.75,2007,05,02,              5.70
39.25,-79.25,2007,05,02,              5.70
39.25,-78.75,2007,05,02,              6.01
39.25,-78.25,2007,05,02,              6.01
39.25,-77.75,2007,05,02,              5.69
39.25,-77.25,2007,05,02,              5.69
39.25,-76.75,2007,05,02,              5.94
39.25,-76.25,2007,05,02,              5.94
39.75,-80.25,2007,05,02,              5.31
39.75,-79.75,2007,05,02,              5.70
39.75,-79.25,2007,05,02,              5.70
39.75,-78.75,2007,05,02,              6.01
39.75,-78.25,2007,05,02,              6.01
39.75,-77.75,2007,05,02,              5.69
39.75,-77.25,2007,05,02,              5.69
39.75,-76.75,2007,05,02,              5.94
39.75,-76.25,2007,05,02,              5.94
40.25,-80.25,2007,05,02,              6.70
40.25,-79.75,2007,05,02,              6.92
40.25,-79.25,2007,05,02,              6.92
40.25,-78.75,2007,05,02,              6.55
40.25,-78.25,2007,05,02,              6.55
40.25,-77.75,2007,05,02,              6.03
40.25,-77.25,2007,05,02,              6.03
40.25,-76.75,2007,05,02,              6.33
40.25,-76.25,2007,05,02,              6.33
40.75,-80.25,2007,05,02,              6.70
40.75,-79.75,2007,05,02,              6.92
40.75,-79.25,2007,05,02,              6.92
40.75,-78.75,2007,05,02,              6.55
40.75,-78.25,2007,05,02,              6.55
40.75,-77.75,2007,05,02,              6.03
40.75,-77.25,2007,05,02,              6.03
40.75,-76.75,2007,05,02,              6.33
40.75,-76.25,2007,05,02,              6.33
