-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-112.25,2007,05,01,              6.13
26.25,-111.75,2007,05,01,              7.75
26.25,-111.25,2007,05,01,              7.75
26.25,-110.75,2007,05,01,              7.85
26.25,-110.25,2007,05,01,              7.85
26.25,-109.75,2007,05,01,              7.41
26.25,-109.25,2007,05,01,              7.41
26.25,-108.75,2007,05,01,              7.45
26.25,-108.25,2007,05,01,              7.45
26.75,-112.25,2007,05,01,              6.13
26.75,-111.75,2007,05,01,              7.75
26.75,-111.25,2007,05,01,              7.75
26.75,-110.75,2007,05,01,              7.85
26.75,-110.25,2007,05,01,              7.85
26.75,-109.75,2007,05,01,              7.41
26.75,-109.25,2007,05,01,              7.41
26.75,-108.75,2007,05,01,              7.45
26.75,-108.25,2007,05,01,              7.45
27.25,-112.25,2007,05,01,              7.38
27.25,-111.75,2007,05,01,              8.02
27.25,-111.25,2007,05,01,              8.02
27.25,-110.75,2007,05,01,              7.62
27.25,-110.25,2007,05,01,              7.62
27.25,-109.75,2007,05,01,              7.13
27.25,-109.25,2007,05,01,              7.13
27.25,-108.75,2007,05,01,              7.40
27.25,-108.25,2007,05,01,              7.40
27.75,-112.25,2007,05,01,              7.38
27.75,-111.75,2007,05,01,              8.02
27.75,-111.25,2007,05,01,              8.02
27.75,-110.75,2007,05,01,              7.62
27.75,-110.25,2007,05,01,              7.62
27.75,-109.75,2007,05,01,              7.13
27.75,-109.25,2007,05,01,              7.13
27.75,-108.75,2007,05,01,              7.40
27.75,-108.25,2007,05,01,              7.40
28.25,-112.25,2007,05,01,              7.82
28.25,-111.75,2007,05,01,              6.26
28.25,-111.25,2007,05,01,              6.26
28.25,-110.75,2007,05,01,              7.46
28.25,-110.25,2007,05,01,              7.46
28.25,-109.75,2007,05,01,              7.89
28.25,-109.25,2007,05,01,              7.89
28.25,-108.75,2007,05,01,              7.46
28.25,-108.25,2007,05,01,              7.46
28.75,-112.25,2007,05,01,              7.82
28.75,-111.75,2007,05,01,              6.26
28.75,-111.25,2007,05,01,              6.26
28.75,-110.75,2007,05,01,              7.46
28.75,-110.25,2007,05,01,              7.46
