-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-124.25,2007,05,01,              7.01
34.25,-123.75,2007,05,01,              7.77
34.25,-123.25,2007,05,01,              7.77
34.25,-122.75,2007,05,01,              8.14
34.25,-122.25,2007,05,01,              8.14
34.25,-121.75,2007,05,01,              7.99
34.25,-121.25,2007,05,01,              7.99
34.25,-120.75,2007,05,01,              8.18
34.25,-120.25,2007,05,01,              8.18
34.75,-124.25,2007,05,01,              7.01
34.75,-123.75,2007,05,01,              7.77
34.75,-123.25,2007,05,01,              7.77
34.75,-122.75,2007,05,01,              8.14
34.75,-122.25,2007,05,01,              8.14
34.75,-121.75,2007,05,01,              7.99
34.75,-121.25,2007,05,01,              7.99
34.75,-120.75,2007,05,01,              8.18
34.75,-120.25,2007,05,01,              8.18
35.25,-124.25,2007,05,01,              6.26
35.25,-123.75,2007,05,01,              7.05
35.25,-123.25,2007,05,01,              7.05
35.25,-122.75,2007,05,01,              7.31
35.25,-122.25,2007,05,01,              7.31
35.25,-121.75,2007,05,01,              7.67
35.25,-121.25,2007,05,01,              7.67
35.25,-120.75,2007,05,01,              7.36
35.25,-120.25,2007,05,01,              7.36
35.75,-124.25,2007,05,01,              6.26
35.75,-123.75,2007,05,01,              7.05
35.75,-123.25,2007,05,01,              7.05
35.75,-122.75,2007,05,01,              7.31
35.75,-122.25,2007,05,01,              7.31
35.75,-121.75,2007,05,01,              7.67
35.75,-121.25,2007,05,01,              7.67
35.75,-120.75,2007,05,01,              7.36
35.75,-120.25,2007,05,01,              7.36
36.25,-124.25,2007,05,01,              4.09
36.25,-123.75,2007,05,01,              6.00
36.25,-123.25,2007,05,01,              6.00
36.25,-122.75,2007,05,01,              6.49
36.25,-122.25,2007,05,01,              6.49
36.25,-121.75,2007,05,01,              7.03
36.25,-121.25,2007,05,01,              7.03
36.25,-120.75,2007,05,01,              6.87
36.25,-120.25,2007,05,01,              6.87
36.75,-124.25,2007,05,01,              4.09
36.75,-123.75,2007,05,01,              6.00
36.75,-123.25,2007,05,01,              6.00
36.75,-122.75,2007,05,01,              6.49
36.75,-122.25,2007,05,01,              6.49
36.75,-121.75,2007,05,01,              7.03
36.75,-121.25,2007,05,01,              7.03
36.75,-120.75,2007,05,01,              6.87
36.75,-120.25,2007,05,01,              6.87
37.25,-124.25,2007,05,01,              3.08
37.25,-123.75,2007,05,01,              3.18
37.25,-123.25,2007,05,01,              3.18
37.25,-122.75,2007,05,01,              5.08
37.25,-122.25,2007,05,01,              5.08
37.25,-121.75,2007,05,01,              5.59
37.25,-121.25,2007,05,01,              5.59
37.25,-120.75,2007,05,01,              6.80
37.25,-120.25,2007,05,01,              6.80
37.75,-124.25,2007,05,01,              3.08
37.75,-123.75,2007,05,01,              3.18
37.75,-123.25,2007,05,01,              3.18
37.75,-122.75,2007,05,01,              5.08
37.75,-122.25,2007,05,01,              5.08
37.75,-121.75,2007,05,01,              5.59
37.75,-121.25,2007,05,01,              5.59
37.75,-120.75,2007,05,01,              6.80
37.75,-120.25,2007,05,01,              6.80
38.25,-124.25,2007,05,01,              2.44
38.25,-123.75,2007,05,01,              2.30
38.25,-123.25,2007,05,01,              2.30
38.25,-122.75,2007,05,01,              2.83
38.25,-122.25,2007,05,01,              2.83
38.25,-121.75,2007,05,01,              4.17
38.25,-121.25,2007,05,01,              4.17
38.25,-120.75,2007,05,01,              6.56
38.25,-120.25,2007,05,01,              6.56
34.25,-124.25,2007,05,02,              7.58
34.25,-123.75,2007,05,02,              7.81
34.25,-123.25,2007,05,02,              7.81
34.25,-122.75,2007,05,02,              7.40
34.25,-122.25,2007,05,02,              7.40
34.25,-121.75,2007,05,02,              6.12
34.25,-121.25,2007,05,02,              6.12
34.25,-120.75,2007,05,02,              6.11
34.25,-120.25,2007,05,02,              6.11
