-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-88.25,2007,05,01,              8.09
26.25,-87.75,2007,05,01,              7.82
26.25,-87.25,2007,05,01,              7.82
26.25,-86.75,2007,05,01,              8.02
26.25,-86.25,2007,05,01,              8.02
26.25,-85.75,2007,05,01,              7.77
26.25,-85.25,2007,05,01,              7.77
26.25,-84.75,2007,05,01,              8.09
26.25,-84.25,2007,05,01,              8.09
26.75,-88.25,2007,05,01,              8.09
26.75,-87.75,2007,05,01,              7.82
26.75,-87.25,2007,05,01,              7.82
26.75,-86.75,2007,05,01,              8.02
26.75,-86.25,2007,05,01,              8.02
26.75,-85.75,2007,05,01,              7.77
26.75,-85.25,2007,05,01,              7.77
26.75,-84.75,2007,05,01,              8.09
26.75,-84.25,2007,05,01,              8.09
27.25,-88.25,2007,05,01,              7.92
27.25,-87.75,2007,05,01,              8.08
27.25,-87.25,2007,05,01,              8.08
27.25,-86.75,2007,05,01,              7.74
27.25,-86.25,2007,05,01,              7.74
27.25,-85.75,2007,05,01,              7.46
27.25,-85.25,2007,05,01,              7.46
27.25,-84.75,2007,05,01,              7.81
27.25,-84.25,2007,05,01,              7.81
27.75,-88.25,2007,05,01,              7.92
27.75,-87.75,2007,05,01,              8.08
27.75,-87.25,2007,05,01,              8.08
27.75,-86.75,2007,05,01,              7.74
27.75,-86.25,2007,05,01,              7.74
27.75,-85.75,2007,05,01,              7.46
27.75,-85.25,2007,05,01,              7.46
27.75,-84.75,2007,05,01,              7.81
27.75,-84.25,2007,05,01,              7.81
28.25,-88.25,2007,05,01,              8.00
28.25,-87.75,2007,05,01,              7.94
28.25,-87.25,2007,05,01,              7.94
28.25,-86.75,2007,05,01,              7.68
28.25,-86.25,2007,05,01,              7.68
28.25,-85.75,2007,05,01,              7.65
28.25,-85.25,2007,05,01,              7.65
28.25,-84.75,2007,05,01,              7.95
28.25,-84.25,2007,05,01,              7.95
28.75,-88.25,2007,05,01,              8.00
28.75,-87.75,2007,05,01,              7.94
28.75,-87.25,2007,05,01,              7.94
28.75,-86.75,2007,05,01,              7.68
28.75,-86.25,2007,05,01,              7.68
28.75,-85.75,2007,05,01,              7.65
28.75,-85.25,2007,05,01,              7.65
28.75,-84.75,2007,05,01,              7.95
28.75,-84.25,2007,05,01,              7.95
29.25,-88.25,2007,05,01,              8.16
29.25,-87.75,2007,05,01,              8.20
29.25,-87.25,2007,05,01,              8.20
29.25,-86.75,2007,05,01,              8.17
29.25,-86.25,2007,05,01,              8.17
29.25,-85.75,2007,05,01,              8.16
29.25,-85.25,2007,05,01,              8.16
29.25,-84.75,2007,05,01,              7.82
29.25,-84.25,2007,05,01,              7.82
29.75,-88.25,2007,05,01,              8.16
29.75,-87.75,2007,05,01,              8.20
29.75,-87.25,2007,05,01,              8.20
29.75,-86.75,2007,05,01,              8.17
29.75,-86.25,2007,05,01,              8.17
29.75,-85.75,2007,05,01,              8.16
29.75,-85.25,2007,05,01,              8.16
29.75,-84.75,2007,05,01,              7.82
29.75,-84.25,2007,05,01,              7.82
30.25,-88.25,2007,05,01,              7.30
30.25,-87.75,2007,05,01,              7.38
30.25,-87.25,2007,05,01,              7.38
30.25,-86.75,2007,05,01,              7.91
30.25,-86.25,2007,05,01,              7.91
30.25,-85.75,2007,05,01,              7.85
30.25,-85.25,2007,05,01,              7.85
30.25,-84.75,2007,05,01,              7.56
30.25,-84.25,2007,05,01,              7.56
26.25,-88.25,2007,05,02,              7.34
26.25,-87.75,2007,05,02,              7.88
26.25,-87.25,2007,05,02,              7.88
26.25,-86.75,2007,05,02,              7.91
26.25,-86.25,2007,05,02,              7.91
26.25,-85.75,2007,05,02,              8.04
26.25,-85.25,2007,05,02,              8.04
26.25,-84.75,2007,05,02,              8.21
26.25,-84.25,2007,05,02,              8.21
26.75,-88.25,2007,05,02,              7.34
26.75,-87.75,2007,05,02,              7.88
26.75,-87.25,2007,05,02,              7.88
26.75,-86.75,2007,05,02,              7.91
26.75,-86.25,2007,05,02,              7.91
26.75,-85.75,2007,05,02,              8.04
26.75,-85.25,2007,05,02,              8.04
26.75,-84.75,2007,05,02,              8.21
26.75,-84.25,2007,05,02,              8.21
27.25,-88.25,2007,05,02,              7.50
27.25,-87.75,2007,05,02,              7.32
27.25,-87.25,2007,05,02,              7.32
27.25,-86.75,2007,05,02,              7.36
27.25,-86.25,2007,05,02,              7.36
27.25,-85.75,2007,05,02,              7.73
27.25,-85.25,2007,05,02,              7.73
27.25,-84.75,2007,05,02,              8.08
27.25,-84.25,2007,05,02,              8.08
27.75,-88.25,2007,05,02,              7.50
27.75,-87.75,2007,05,02,              7.32
27.75,-87.25,2007,05,02,              7.32
27.75,-86.75,2007,05,02,              7.36
27.75,-86.25,2007,05,02,              7.36
27.75,-85.75,2007,05,02,              7.73
27.75,-85.25,2007,05,02,              7.73
27.75,-84.75,2007,05,02,              8.08
27.75,-84.25,2007,05,02,              8.08
28.25,-88.25,2007,05,02,              7.26
28.25,-87.75,2007,05,02,              7.25
28.25,-87.25,2007,05,02,              7.25
28.25,-86.75,2007,05,02,              5.85
28.25,-86.25,2007,05,02,              5.85
28.25,-85.75,2007,05,02,              7.50
28.25,-85.25,2007,05,02,              7.50
28.25,-84.75,2007,05,02,              7.91
28.25,-84.25,2007,05,02,              7.91
28.75,-88.25,2007,05,02,              7.26
28.75,-87.75,2007,05,02,              7.25
28.75,-87.25,2007,05,02,              7.25
28.75,-86.75,2007,05,02,              5.85
28.75,-86.25,2007,05,02,              5.85
28.75,-85.75,2007,05,02,              7.50
28.75,-85.25,2007,05,02,              7.50
28.75,-84.75,2007,05,02,              7.91
28.75,-84.25,2007,05,02,              7.91
29.25,-88.25,2007,05,02,              6.88
29.25,-87.75,2007,05,02,              6.61
29.25,-87.25,2007,05,02,              6.61
29.25,-86.75,2007,05,02,              6.06
29.25,-86.25,2007,05,02,              6.06
29.25,-85.75,2007,05,02,              7.69
29.25,-85.25,2007,05,02,              7.69
29.25,-84.75,2007,05,02,              7.56
29.25,-84.25,2007,05,02,              7.56
29.75,-88.25,2007,05,02,              6.88
29.75,-87.75,2007,05,02,              6.61
29.75,-87.25,2007,05,02,              6.61
29.75,-86.75,2007,05,02,              6.06
29.75,-86.25,2007,05,02,              6.06
29.75,-85.75,2007,05,02,              7.69
29.75,-85.25,2007,05,02,              7.69
29.75,-84.75,2007,05,02,              7.56
29.75,-84.25,2007,05,02,              7.56
30.25,-88.25,2007,05,02,              5.92
30.25,-87.75,2007,05,02,              5.45
30.25,-87.25,2007,05,02,              5.45
30.25,-86.75,2007,05,02,              6.72
30.25,-86.25,2007,05,02,              6.72
30.25,-85.75,2007,05,02,              7.16
30.25,-85.25,2007,05,02,              7.16
30.25,-84.75,2007,05,02,              6.92
30.25,-84.25,2007,05,02,              6.92
26.25,-88.25,2007,05,03,              7.12
26.25,-87.75,2007,05,03,              7.84
26.25,-87.25,2007,05,03,              7.84
26.25,-86.75,2007,05,03,              7.96
26.25,-86.25,2007,05,03,              7.96
26.25,-85.75,2007,05,03,              7.91
26.25,-85.25,2007,05,03,              7.91
26.25,-84.75,2007,05,03,              7.89
26.25,-84.25,2007,05,03,              7.89
26.75,-88.25,2007,05,03,              7.12
26.75,-87.75,2007,05,03,              7.84
26.75,-87.25,2007,05,03,              7.84
26.75,-86.75,2007,05,03,              7.96
26.75,-86.25,2007,05,03,              7.96
26.75,-85.75,2007,05,03,              7.91
26.75,-85.25,2007,05,03,              7.91
26.75,-84.75,2007,05,03,              7.89
26.75,-84.25,2007,05,03,              7.89
27.25,-88.25,2007,05,03,              7.38
27.25,-87.75,2007,05,03,              7.76
27.25,-87.25,2007,05,03,              7.76
27.25,-86.75,2007,05,03,              7.93
27.25,-86.25,2007,05,03,              7.93
27.25,-85.75,2007,05,03,              7.99
27.25,-85.25,2007,05,03,              7.99
27.25,-84.75,2007,05,03,              8.01
27.25,-84.25,2007,05,03,              8.01
27.75,-88.25,2007,05,03,              7.38
27.75,-87.75,2007,05,03,              7.76
27.75,-87.25,2007,05,03,              7.76
27.75,-86.75,2007,05,03,              7.93
27.75,-86.25,2007,05,03,              7.93
27.75,-85.75,2007,05,03,              7.99
27.75,-85.25,2007,05,03,              7.99
27.75,-84.75,2007,05,03,              8.01
27.75,-84.25,2007,05,03,              8.01
28.25,-88.25,2007,05,03,              7.57
28.25,-87.75,2007,05,03,              7.68
28.25,-87.25,2007,05,03,              7.68
28.25,-86.75,2007,05,03,              8.03
28.25,-86.25,2007,05,03,              8.03
28.25,-85.75,2007,05,03,              7.94
28.25,-85.25,2007,05,03,              7.94
28.25,-84.75,2007,05,03,              7.88
28.25,-84.25,2007,05,03,              7.88
28.75,-88.25,2007,05,03,              7.57
28.75,-87.75,2007,05,03,              7.68
28.75,-87.25,2007,05,03,              7.68
28.75,-86.75,2007,05,03,              8.03
28.75,-86.25,2007,05,03,              8.03
