-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-100.25,2007,05,01,              6.39
26.25,-99.75,2007,05,01,              6.52
26.25,-99.25,2007,05,01,              6.52
26.25,-98.75,2007,05,01,              5.83
26.25,-98.25,2007,05,01,              5.83
26.25,-97.75,2007,05,01,              5.09
26.25,-97.25,2007,05,01,              5.09
26.25,-96.75,2007,05,01,              7.82
26.25,-96.25,2007,05,01,              7.82
26.75,-100.25,2007,05,01,              6.39
26.75,-99.75,2007,05,01,              6.52
26.75,-99.25,2007,05,01,              6.52
26.75,-98.75,2007,05,01,              5.83
26.75,-98.25,2007,05,01,              5.83
26.75,-97.75,2007,05,01,              5.09
26.75,-97.25,2007,05,01,              5.09
26.75,-96.75,2007,05,01,              7.82
26.75,-96.25,2007,05,01,              7.82
27.25,-100.25,2007,05,01,              5.93
27.25,-99.75,2007,05,01,              5.83
27.25,-99.25,2007,05,01,              5.83
27.25,-98.75,2007,05,01,              5.11
27.25,-98.25,2007,05,01,              5.11
27.25,-97.75,2007,05,01,              5.07
27.25,-97.25,2007,05,01,              5.07
27.25,-96.75,2007,05,01,              6.43
27.25,-96.25,2007,05,01,              6.43
27.75,-100.25,2007,05,01,              5.93
27.75,-99.75,2007,05,01,              5.83
27.75,-99.25,2007,05,01,              5.83
27.75,-98.75,2007,05,01,              5.11
27.75,-98.25,2007,05,01,              5.11
27.75,-97.75,2007,05,01,              5.07
27.75,-97.25,2007,05,01,              5.07
27.75,-96.75,2007,05,01,              6.43
27.75,-96.25,2007,05,01,              6.43
