-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-116.25,2007,05,01,              5.20
46.25,-115.75,2007,05,01,              6.37
46.25,-115.25,2007,05,01,              6.37
46.25,-114.75,2007,05,01,              6.37
46.25,-114.25,2007,05,01,              6.37
46.25,-113.75,2007,05,01,              6.07
46.25,-113.25,2007,05,01,              6.07
46.25,-112.75,2007,05,01,              6.07
46.25,-112.25,2007,05,01,              6.07
46.75,-116.25,2007,05,01,              5.20
46.75,-115.75,2007,05,01,              6.37
46.75,-115.25,2007,05,01,              6.37
46.75,-114.75,2007,05,01,              6.37
46.75,-114.25,2007,05,01,              6.37
46.75,-113.75,2007,05,01,              6.07
46.75,-113.25,2007,05,01,              6.07
46.75,-112.75,2007,05,01,              6.07
46.75,-112.25,2007,05,01,              6.07
47.25,-116.25,2007,05,01,              4.21
47.25,-115.75,2007,05,01,              6.13
47.25,-115.25,2007,05,01,              6.13
47.25,-114.75,2007,05,01,              6.13
47.25,-114.25,2007,05,01,              6.13
47.25,-113.75,2007,05,01,              5.89
47.25,-113.25,2007,05,01,              5.89
47.25,-112.75,2007,05,01,              5.89
47.25,-112.25,2007,05,01,              5.89
47.75,-116.25,2007,05,01,              4.21
47.75,-115.75,2007,05,01,              6.13
47.75,-115.25,2007,05,01,              6.13
47.75,-114.75,2007,05,01,              6.13
47.75,-114.25,2007,05,01,              6.13
47.75,-113.75,2007,05,01,              5.89
47.75,-113.25,2007,05,01,              5.89
47.75,-112.75,2007,05,01,              5.89
47.75,-112.25,2007,05,01,              5.89
48.25,-116.25,2007,05,01,              2.29
48.25,-115.75,2007,05,01,              4.77
48.25,-115.25,2007,05,01,              4.77
48.25,-114.75,2007,05,01,              4.77
48.25,-114.25,2007,05,01,              4.77
48.25,-113.75,2007,05,01,              5.33
48.25,-113.25,2007,05,01,              5.33
48.25,-112.75,2007,05,01,              5.33
48.25,-112.25,2007,05,01,              5.33
48.75,-116.25,2007,05,01,              2.29
48.75,-115.75,2007,05,01,              4.77
48.75,-115.25,2007,05,01,              4.77
48.75,-114.75,2007,05,01,              4.77
48.75,-114.25,2007,05,01,              4.77
48.75,-113.75,2007,05,01,              5.33
48.75,-113.25,2007,05,01,              5.33
48.75,-112.75,2007,05,01,              5.33
48.75,-112.25,2007,05,01,              5.33
49.25,-116.25,2007,05,01,              2.08
49.25,-115.75,2007,05,01,              2.95
49.25,-115.25,2007,05,01,              2.95
49.25,-114.75,2007,05,01,              2.95
49.25,-114.25,2007,05,01,              2.95
49.25,-113.75,2007,05,01,              4.58
49.25,-113.25,2007,05,01,              4.58
49.25,-112.75,2007,05,01,              4.58
49.25,-112.25,2007,05,01,              4.58
49.75,-116.25,2007,05,01,              2.08
49.75,-115.75,2007,05,01,              2.95
49.75,-115.25,2007,05,01,              2.95
49.75,-114.75,2007,05,01,              2.95
49.75,-114.25,2007,05,01,              2.95
49.75,-113.75,2007,05,01,              4.58
49.75,-113.25,2007,05,01,              4.58
49.75,-112.75,2007,05,01,              4.58
49.75,-112.25,2007,05,01,              4.58
50.25,-116.25,2007,05,01,              3.42
50.25,-115.75,2007,05,01,              4.07
50.25,-115.25,2007,05,01,              4.07
50.25,-114.75,2007,05,01,              4.07
50.25,-114.25,2007,05,01,              4.07
50.25,-113.75,2007,05,01,              4.25
50.25,-113.25,2007,05,01,              4.25
50.25,-112.75,2007,05,01,              4.25
50.25,-112.25,2007,05,01,              4.25
46.25,-116.25,2007,05,02,              2.82
46.25,-115.75,2007,05,02,              2.98
46.25,-115.25,2007,05,02,              2.98
46.25,-114.75,2007,05,02,              2.98
46.25,-114.25,2007,05,02,              2.98
46.25,-113.75,2007,05,02,              3.88
46.25,-113.25,2007,05,02,              3.88
46.25,-112.75,2007,05,02,              3.88
46.25,-112.25,2007,05,02,              3.88
46.75,-116.25,2007,05,02,              2.82
46.75,-115.75,2007,05,02,              2.98
46.75,-115.25,2007,05,02,              2.98
46.75,-114.75,2007,05,02,              2.98
46.75,-114.25,2007,05,02,              2.98
46.75,-113.75,2007,05,02,              3.88
46.75,-113.25,2007,05,02,              3.88
46.75,-112.75,2007,05,02,              3.88
46.75,-112.25,2007,05,02,              3.88
47.25,-116.25,2007,05,02,              2.03
47.25,-115.75,2007,05,02,              2.56
47.25,-115.25,2007,05,02,              2.56
