-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-104.25,2007,05,01,              7.41
26.25,-103.75,2007,05,01,              7.09
26.25,-103.25,2007,05,01,              7.09
26.25,-102.75,2007,05,01,              6.51
26.25,-102.25,2007,05,01,              6.51
26.25,-101.75,2007,05,01,              6.48
26.25,-101.25,2007,05,01,              6.48
26.25,-100.75,2007,05,01,              6.39
26.25,-100.25,2007,05,01,              6.39
26.75,-104.25,2007,05,01,              7.41
26.75,-103.75,2007,05,01,              7.09
26.75,-103.25,2007,05,01,              7.09
26.75,-102.75,2007,05,01,              6.51
26.75,-102.25,2007,05,01,              6.51
26.75,-101.75,2007,05,01,              6.48
26.75,-101.25,2007,05,01,              6.48
26.75,-100.75,2007,05,01,              6.39
26.75,-100.25,2007,05,01,              6.39
27.25,-104.25,2007,05,01,              6.67
27.25,-103.75,2007,05,01,              6.42
27.25,-103.25,2007,05,01,              6.42
27.25,-102.75,2007,05,01,              6.16
27.25,-102.25,2007,05,01,              6.16
27.25,-101.75,2007,05,01,              6.29
27.25,-101.25,2007,05,01,              6.29
27.25,-100.75,2007,05,01,              5.93
27.25,-100.25,2007,05,01,              5.93
27.75,-104.25,2007,05,01,              6.67
27.75,-103.75,2007,05,01,              6.42
27.75,-103.25,2007,05,01,              6.42
27.75,-102.75,2007,05,01,              6.16
27.75,-102.25,2007,05,01,              6.16
27.75,-101.75,2007,05,01,              6.29
27.75,-101.25,2007,05,01,              6.29
27.75,-100.75,2007,05,01,              5.93
27.75,-100.25,2007,05,01,              5.93
28.25,-104.25,2007,05,01,              6.15
28.25,-103.75,2007,05,01,              6.66
28.25,-103.25,2007,05,01,              6.66
28.25,-102.75,2007,05,01,              6.79
28.25,-102.25,2007,05,01,              6.79
28.25,-101.75,2007,05,01,              6.84
28.25,-101.25,2007,05,01,              6.84
28.25,-100.75,2007,05,01,              5.63
28.25,-100.25,2007,05,01,              5.63
28.75,-104.25,2007,05,01,              6.15
28.75,-103.75,2007,05,01,              6.66
28.75,-103.25,2007,05,01,              6.66
28.75,-102.75,2007,05,01,              6.79
28.75,-102.25,2007,05,01,              6.79
28.75,-101.75,2007,05,01,              6.84
28.75,-101.25,2007,05,01,              6.84
28.75,-100.75,2007,05,01,              5.63
28.75,-100.25,2007,05,01,              5.63
29.25,-104.25,2007,05,01,              5.80
29.25,-103.75,2007,05,01,              5.68
29.25,-103.25,2007,05,01,              5.68
29.25,-102.75,2007,05,01,              5.92
29.25,-102.25,2007,05,01,              5.92
29.25,-101.75,2007,05,01,              6.31
29.25,-101.25,2007,05,01,              6.31
29.25,-100.75,2007,05,01,              5.78
29.25,-100.25,2007,05,01,              5.78
29.75,-104.25,2007,05,01,              5.80
29.75,-103.75,2007,05,01,              5.68
29.75,-103.25,2007,05,01,              5.68
29.75,-102.75,2007,05,01,              5.92
29.75,-102.25,2007,05,01,              5.92
29.75,-101.75,2007,05,01,              6.31
29.75,-101.25,2007,05,01,              6.31
29.75,-100.75,2007,05,01,              5.78
29.75,-100.25,2007,05,01,              5.78
30.25,-104.25,2007,05,01,              5.47
30.25,-103.75,2007,05,01,              5.11
30.25,-103.25,2007,05,01,              5.11
30.25,-102.75,2007,05,01,              5.85
30.25,-102.25,2007,05,01,              5.85
30.25,-101.75,2007,05,01,              6.08
30.25,-101.25,2007,05,01,              6.08
30.25,-100.75,2007,05,01,              5.96
30.25,-100.25,2007,05,01,              5.96
26.25,-104.25,2007,05,02,              8.23
26.25,-103.75,2007,05,02,              8.06
26.25,-103.25,2007,05,02,              8.06
26.25,-102.75,2007,05,02,              6.54
26.25,-102.25,2007,05,02,              6.54
26.25,-101.75,2007,05,02,              6.42
26.25,-101.25,2007,05,02,              6.42
26.25,-100.75,2007,05,02,              5.99
26.25,-100.25,2007,05,02,              5.99
26.75,-104.25,2007,05,02,              8.23
26.75,-103.75,2007,05,02,              8.06
26.75,-103.25,2007,05,02,              8.06
26.75,-102.75,2007,05,02,              6.54
26.75,-102.25,2007,05,02,              6.54
26.75,-101.75,2007,05,02,              6.42
26.75,-101.25,2007,05,02,              6.42
26.75,-100.75,2007,05,02,              5.99
26.75,-100.25,2007,05,02,              5.99
27.25,-104.25,2007,05,02,              8.03
27.25,-103.75,2007,05,02,              7.15
27.25,-103.25,2007,05,02,              7.15
27.25,-102.75,2007,05,02,              7.05
27.25,-102.25,2007,05,02,              7.05
27.25,-101.75,2007,05,02,              6.85
27.25,-101.25,2007,05,02,              6.85
27.25,-100.75,2007,05,02,              4.96
27.25,-100.25,2007,05,02,              4.96
27.75,-104.25,2007,05,02,              8.03
27.75,-103.75,2007,05,02,              7.15
27.75,-103.25,2007,05,02,              7.15
27.75,-102.75,2007,05,02,              7.05
