-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-124.25,2007,05,01,              2.44
38.25,-123.75,2007,05,01,              2.30
38.25,-123.25,2007,05,01,              2.30
38.25,-122.75,2007,05,01,              2.83
38.25,-122.25,2007,05,01,              2.83
38.25,-121.75,2007,05,01,              4.17
38.25,-121.25,2007,05,01,              4.17
38.25,-120.75,2007,05,01,              6.56
38.25,-120.25,2007,05,01,              6.56
38.75,-124.25,2007,05,01,              2.44
38.75,-123.75,2007,05,01,              2.30
38.75,-123.25,2007,05,01,              2.30
38.75,-122.75,2007,05,01,              2.83
38.75,-122.25,2007,05,01,              2.83
38.75,-121.75,2007,05,01,              4.17
38.75,-121.25,2007,05,01,              4.17
38.75,-120.75,2007,05,01,              6.56
38.75,-120.25,2007,05,01,              6.56
39.25,-124.25,2007,05,01,              2.40
39.25,-123.75,2007,05,01,              2.16
39.25,-123.25,2007,05,01,              2.16
39.25,-122.75,2007,05,01,              2.01
39.25,-122.25,2007,05,01,              2.01
39.25,-121.75,2007,05,01,              3.14
39.25,-121.25,2007,05,01,              3.14
39.25,-120.75,2007,05,01,              5.56
39.25,-120.25,2007,05,01,              5.56
39.75,-124.25,2007,05,01,              2.40
39.75,-123.75,2007,05,01,              2.16
39.75,-123.25,2007,05,01,              2.16
39.75,-122.75,2007,05,01,              2.01
39.75,-122.25,2007,05,01,              2.01
39.75,-121.75,2007,05,01,              3.14
39.75,-121.25,2007,05,01,              3.14
39.75,-120.75,2007,05,01,              5.56
39.75,-120.25,2007,05,01,              5.56
40.25,-124.25,2007,05,01,              2.72
40.25,-123.75,2007,05,01,              2.13
40.25,-123.25,2007,05,01,              2.13
40.25,-122.75,2007,05,01,              1.98
40.25,-122.25,2007,05,01,              1.98
40.25,-121.75,2007,05,01,              2.55
40.25,-121.25,2007,05,01,              2.55
40.25,-120.75,2007,05,01,              4.71
40.25,-120.25,2007,05,01,              4.71
40.75,-124.25,2007,05,01,              2.72
40.75,-123.75,2007,05,01,              2.13
40.75,-123.25,2007,05,01,              2.13
40.75,-122.75,2007,05,01,              1.98
40.75,-122.25,2007,05,01,              1.98
40.75,-121.75,2007,05,01,              2.55
40.75,-121.25,2007,05,01,              2.55
40.75,-120.75,2007,05,01,              4.71
40.75,-120.25,2007,05,01,              4.71
41.25,-124.25,2007,05,01,              2.23
41.25,-123.75,2007,05,01,              1.90
41.25,-123.25,2007,05,01,              1.90
41.25,-122.75,2007,05,01,              2.64
41.25,-122.25,2007,05,01,              2.64
41.25,-121.75,2007,05,01,              2.32
41.25,-121.25,2007,05,01,              2.32
41.25,-120.75,2007,05,01,              3.76
41.25,-120.25,2007,05,01,              3.76
41.75,-124.25,2007,05,01,              2.23
41.75,-123.75,2007,05,01,              1.90
41.75,-123.25,2007,05,01,              1.90
41.75,-122.75,2007,05,01,              2.64
41.75,-122.25,2007,05,01,              2.64
41.75,-121.75,2007,05,01,              2.32
41.75,-121.25,2007,05,01,              2.32
41.75,-120.75,2007,05,01,              3.76
41.75,-120.25,2007,05,01,              3.76
42.25,-124.25,2007,05,01,              2.11
42.25,-123.75,2007,05,01,              2.47
42.25,-123.25,2007,05,01,              2.47
42.25,-122.75,2007,05,01,              2.58
42.25,-122.25,2007,05,01,              2.58
42.25,-121.75,2007,05,01,              2.15
42.25,-121.25,2007,05,01,              2.15
42.25,-120.75,2007,05,01,              2.73
42.25,-120.25,2007,05,01,              2.73
38.25,-124.25,2007,05,02,              7.07
38.25,-123.75,2007,05,02,              6.85
38.25,-123.25,2007,05,02,              6.85
38.25,-122.75,2007,05,02,              4.93
38.25,-122.25,2007,05,02,              4.93
38.25,-121.75,2007,05,02,              5.34
38.25,-121.25,2007,05,02,              5.34
38.25,-120.75,2007,05,02,              3.46
38.25,-120.25,2007,05,02,              3.46
38.75,-124.25,2007,05,02,              7.07
38.75,-123.75,2007,05,02,              6.85
38.75,-123.25,2007,05,02,              6.85
38.75,-122.75,2007,05,02,              4.93
38.75,-122.25,2007,05,02,              4.93
38.75,-121.75,2007,05,02,              5.34
38.75,-121.25,2007,05,02,              5.34
38.75,-120.75,2007,05,02,              3.46
