-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-112.25,2007,05,01,              3.31
34.25,-111.75,2007,05,01,              3.26
34.25,-111.25,2007,05,01,              3.26
34.25,-110.75,2007,05,01,              4.21
34.25,-110.25,2007,05,01,              4.21
34.25,-109.75,2007,05,01,              4.88
34.25,-109.25,2007,05,01,              4.88
34.25,-108.75,2007,05,01,              5.30
34.25,-108.25,2007,05,01,              5.30
34.75,-112.25,2007,05,01,              3.31
34.75,-111.75,2007,05,01,              3.26
34.75,-111.25,2007,05,01,              3.26
34.75,-110.75,2007,05,01,              4.21
34.75,-110.25,2007,05,01,              4.21
34.75,-109.75,2007,05,01,              4.88
34.75,-109.25,2007,05,01,              4.88
34.75,-108.75,2007,05,01,              5.30
34.75,-108.25,2007,05,01,              5.30
35.25,-112.25,2007,05,01,              3.65
35.25,-111.75,2007,05,01,              3.55
35.25,-111.25,2007,05,01,              3.55
35.25,-110.75,2007,05,01,              4.73
35.25,-110.25,2007,05,01,              4.73
35.25,-109.75,2007,05,01,              4.78
35.25,-109.25,2007,05,01,              4.78
35.25,-108.75,2007,05,01,              4.86
35.25,-108.25,2007,05,01,              4.86
35.75,-112.25,2007,05,01,              3.65
35.75,-111.75,2007,05,01,              3.55
35.75,-111.25,2007,05,01,              3.55
35.75,-110.75,2007,05,01,              4.73
35.75,-110.25,2007,05,01,              4.73
35.75,-109.75,2007,05,01,              4.78
35.75,-109.25,2007,05,01,              4.78
35.75,-108.75,2007,05,01,              4.86
35.75,-108.25,2007,05,01,              4.86
36.25,-112.25,2007,05,01,              4.36
36.25,-111.75,2007,05,01,              4.84
36.25,-111.25,2007,05,01,              4.84
36.25,-110.75,2007,05,01,              5.57
36.25,-110.25,2007,05,01,              5.57
36.25,-109.75,2007,05,01,              5.84
36.25,-109.25,2007,05,01,              5.84
36.25,-108.75,2007,05,01,              5.69
36.25,-108.25,2007,05,01,              5.69
36.75,-112.25,2007,05,01,              4.36
36.75,-111.75,2007,05,01,              4.84
36.75,-111.25,2007,05,01,              4.84
36.75,-110.75,2007,05,01,              5.57
36.75,-110.25,2007,05,01,              5.57
36.75,-109.75,2007,05,01,              5.84
36.75,-109.25,2007,05,01,              5.84
36.75,-108.75,2007,05,01,              5.69
36.75,-108.25,2007,05,01,              5.69
37.25,-112.25,2007,05,01,              5.02
37.25,-111.75,2007,05,01,              4.59
37.25,-111.25,2007,05,01,              4.59
37.25,-110.75,2007,05,01,              5.75
37.25,-110.25,2007,05,01,              5.75
37.25,-109.75,2007,05,01,              5.42
37.25,-109.25,2007,05,01,              5.42
37.25,-108.75,2007,05,01,              4.83
37.25,-108.25,2007,05,01,              4.83
37.75,-112.25,2007,05,01,              5.02
37.75,-111.75,2007,05,01,              4.59
37.75,-111.25,2007,05,01,              4.59
37.75,-110.75,2007,05,01,              5.75
37.75,-110.25,2007,05,01,              5.75
37.75,-109.75,2007,05,01,              5.42
37.75,-109.25,2007,05,01,              5.42
37.75,-108.75,2007,05,01,              4.83
37.75,-108.25,2007,05,01,              4.83
38.25,-112.25,2007,05,01,              5.97
38.25,-111.75,2007,05,01,              5.14
38.25,-111.25,2007,05,01,              5.14
38.25,-110.75,2007,05,01,              4.58
38.25,-110.25,2007,05,01,              4.58
38.25,-109.75,2007,05,01,              5.56
38.25,-109.25,2007,05,01,              5.56
38.25,-108.75,2007,05,01,              5.06
38.25,-108.25,2007,05,01,              5.06
34.25,-112.25,2007,05,02,              7.82
34.25,-111.75,2007,05,02,              7.06
34.25,-111.25,2007,05,02,              7.06
34.25,-110.75,2007,05,02,              5.88
34.25,-110.25,2007,05,02,              5.88
34.25,-109.75,2007,05,02,              4.65
34.25,-109.25,2007,05,02,              4.65
34.25,-108.75,2007,05,02,              3.91
34.25,-108.25,2007,05,02,              3.91
34.75,-112.25,2007,05,02,              7.82
34.75,-111.75,2007,05,02,              7.06
34.75,-111.25,2007,05,02,              7.06
34.75,-110.75,2007,05,02,              5.88
34.75,-110.25,2007,05,02,              5.88
34.75,-109.75,2007,05,02,              4.65
34.75,-109.25,2007,05,02,              4.65
34.75,-108.75,2007,05,02,              3.91
34.75,-108.25,2007,05,02,              3.91
35.25,-112.25,2007,05,02,              7.45
35.25,-111.75,2007,05,02,              7.38
35.25,-111.25,2007,05,02,              7.38
35.25,-110.75,2007,05,02,              6.78
35.25,-110.25,2007,05,02,              6.78
35.25,-109.75,2007,05,02,              4.72
35.25,-109.25,2007,05,02,              4.72
35.25,-108.75,2007,05,02,              3.48
35.25,-108.25,2007,05,02,              3.48
35.75,-112.25,2007,05,02,              7.45
35.75,-111.75,2007,05,02,              7.38
35.75,-111.25,2007,05,02,              7.38
35.75,-110.75,2007,05,02,              6.78
35.75,-110.25,2007,05,02,              6.78
35.75,-109.75,2007,05,02,              4.72
35.75,-109.25,2007,05,02,              4.72
35.75,-108.75,2007,05,02,              3.48
35.75,-108.25,2007,05,02,              3.48
36.25,-112.25,2007,05,02,              7.67
36.25,-111.75,2007,05,02,              7.10
36.25,-111.25,2007,05,02,              7.10
36.25,-110.75,2007,05,02,              6.63
36.25,-110.25,2007,05,02,              6.63
36.25,-109.75,2007,05,02,              4.85
36.25,-109.25,2007,05,02,              4.85
36.25,-108.75,2007,05,02,              3.11
36.25,-108.25,2007,05,02,              3.11
36.75,-112.25,2007,05,02,              7.67
36.75,-111.75,2007,05,02,              7.10
36.75,-111.25,2007,05,02,              7.10
36.75,-110.75,2007,05,02,              6.63
36.75,-110.25,2007,05,02,              6.63
36.75,-109.75,2007,05,02,              4.85
36.75,-109.25,2007,05,02,              4.85
36.75,-108.75,2007,05,02,              3.11
36.75,-108.25,2007,05,02,              3.11
37.25,-112.25,2007,05,02,              7.56
37.25,-111.75,2007,05,02,              7.47
37.25,-111.25,2007,05,02,              7.47
37.25,-110.75,2007,05,02,              6.85
37.25,-110.25,2007,05,02,              6.85
37.25,-109.75,2007,05,02,              5.32
37.25,-109.25,2007,05,02,              5.32
37.25,-108.75,2007,05,02,              3.05
37.25,-108.25,2007,05,02,              3.05
37.75,-112.25,2007,05,02,              7.56
37.75,-111.75,2007,05,02,              7.47
37.75,-111.25,2007,05,02,              7.47
37.75,-110.75,2007,05,02,              6.85
37.75,-110.25,2007,05,02,              6.85
37.75,-109.75,2007,05,02,              5.32
37.75,-109.25,2007,05,02,              5.32
37.75,-108.75,2007,05,02,              3.05
37.75,-108.25,2007,05,02,              3.05
38.25,-112.25,2007,05,02,              7.54
38.25,-111.75,2007,05,02,              7.58
38.25,-111.25,2007,05,02,              7.58
38.25,-110.75,2007,05,02,              5.16
38.25,-110.25,2007,05,02,              5.16
38.25,-109.75,2007,05,02,              3.85
38.25,-109.25,2007,05,02,              3.85
38.25,-108.75,2007,05,02,              3.69
38.25,-108.25,2007,05,02,              3.69
34.25,-112.25,2007,05,03,              7.88
34.25,-111.75,2007,05,03,              7.74
34.25,-111.25,2007,05,03,              7.74
34.25,-110.75,2007,05,03,              7.58
34.25,-110.25,2007,05,03,              7.58
34.25,-109.75,2007,05,03,              7.03
34.25,-109.25,2007,05,03,              7.03
34.25,-108.75,2007,05,03,              8.53
34.25,-108.25,2007,05,03,              8.53
34.75,-112.25,2007,05,03,              7.88
34.75,-111.75,2007,05,03,              7.74
34.75,-111.25,2007,05,03,              7.74
34.75,-110.75,2007,05,03,              7.58
34.75,-110.25,2007,05,03,              7.58
34.75,-109.75,2007,05,03,              7.03
34.75,-109.25,2007,05,03,              7.03
34.75,-108.75,2007,05,03,              8.53
34.75,-108.25,2007,05,03,              8.53
35.25,-112.25,2007,05,03,              7.34
35.25,-111.75,2007,05,03,              7.32
35.25,-111.25,2007,05,03,              7.32
35.25,-110.75,2007,05,03,              7.67
35.25,-110.25,2007,05,03,              7.67
35.25,-109.75,2007,05,03,              7.69
35.25,-109.25,2007,05,03,              7.69
35.25,-108.75,2007,05,03,              7.72
35.25,-108.25,2007,05,03,              7.72
35.75,-112.25,2007,05,03,              7.34
35.75,-111.75,2007,05,03,              7.32
35.75,-111.25,2007,05,03,              7.32
35.75,-110.75,2007,05,03,              7.67
35.75,-110.25,2007,05,03,              7.67
35.75,-109.75,2007,05,03,              7.69
35.75,-109.25,2007,05,03,              7.69
35.75,-108.75,2007,05,03,              7.72
35.75,-108.25,2007,05,03,              7.72
36.25,-112.25,2007,05,03,              6.28
36.25,-111.75,2007,05,03,              5.14
36.25,-111.25,2007,05,03,              5.14
36.25,-110.75,2007,05,03,              6.70
36.25,-110.25,2007,05,03,              6.70
36.25,-109.75,2007,05,03,              7.05
36.25,-109.25,2007,05,03,              7.05
36.25,-108.75,2007,05,03,              7.01
36.25,-108.25,2007,05,03,              7.01
36.75,-112.25,2007,05,03,              6.28
36.75,-111.75,2007,05,03,              5.14
36.75,-111.25,2007,05,03,              5.14
36.75,-110.75,2007,05,03,              6.70
36.75,-110.25,2007,05,03,              6.70
36.75,-109.75,2007,05,03,              7.05
36.75,-109.25,2007,05,03,              7.05
36.75,-108.75,2007,05,03,              7.01
36.75,-108.25,2007,05,03,              7.01
37.25,-112.25,2007,05,03,              5.94
37.25,-111.75,2007,05,03,              4.51
37.25,-111.25,2007,05,03,              4.51
37.25,-110.75,2007,05,03,              5.70
37.25,-110.25,2007,05,03,              5.70
37.25,-109.75,2007,05,03,              5.79
37.25,-109.25,2007,05,03,              5.79
37.25,-108.75,2007,05,03,              6.10
37.25,-108.25,2007,05,03,              6.10
37.75,-112.25,2007,05,03,              5.94
37.75,-111.75,2007,05,03,              4.51
37.75,-111.25,2007,05,03,              4.51
37.75,-110.75,2007,05,03,              5.70
37.75,-110.25,2007,05,03,              5.70
37.75,-109.75,2007,05,03,              5.79
37.75,-109.25,2007,05,03,              5.79
37.75,-108.75,2007,05,03,              6.10
37.75,-108.25,2007,05,03,              6.10
38.25,-112.25,2007,05,03,              5.31
38.25,-111.75,2007,05,03,              4.39
38.25,-111.25,2007,05,03,              4.39
38.25,-110.75,2007,05,03,              4.72
38.25,-110.25,2007,05,03,              4.72
38.25,-109.75,2007,05,03,              4.25
38.25,-109.25,2007,05,03,              4.25
38.25,-108.75,2007,05,03,              4.62
38.25,-108.25,2007,05,03,              4.62
34.25,-112.25,2007,05,04,              6.83
34.25,-111.75,2007,05,04,              6.81
34.25,-111.25,2007,05,04,              6.81
34.25,-110.75,2007,05,04,              6.67
34.25,-110.25,2007,05,04,              6.67
34.25,-109.75,2007,05,04,              7.02
34.25,-109.25,2007,05,04,              7.02
34.25,-108.75,2007,05,04,              7.47
34.25,-108.25,2007,05,04,              7.47
34.75,-112.25,2007,05,04,              6.83
34.75,-111.75,2007,05,04,              6.81
34.75,-111.25,2007,05,04,              6.81
34.75,-110.75,2007,05,04,              6.67
34.75,-110.25,2007,05,04,              6.67
34.75,-109.75,2007,05,04,              7.02
34.75,-109.25,2007,05,04,              7.02
34.75,-108.75,2007,05,04,              7.47
34.75,-108.25,2007,05,04,              7.47
35.25,-112.25,2007,05,04,              5.92
35.25,-111.75,2007,05,04,              5.18
35.25,-111.25,2007,05,04,              5.18
35.25,-110.75,2007,05,04,              5.58
35.25,-110.25,2007,05,04,              5.58
35.25,-109.75,2007,05,04,              5.90
35.25,-109.25,2007,05,04,              5.90
35.25,-108.75,2007,05,04,              5.58
35.25,-108.25,2007,05,04,              5.58
35.75,-112.25,2007,05,04,              5.92
35.75,-111.75,2007,05,04,              5.18
35.75,-111.25,2007,05,04,              5.18
35.75,-110.75,2007,05,04,              5.58
35.75,-110.25,2007,05,04,              5.58
35.75,-109.75,2007,05,04,              5.90
35.75,-109.25,2007,05,04,              5.90
35.75,-108.75,2007,05,04,              5.58
35.75,-108.25,2007,05,04,              5.58
36.25,-112.25,2007,05,04,              4.88
36.25,-111.75,2007,05,04,              6.05
36.25,-111.25,2007,05,04,              6.05
36.25,-110.75,2007,05,04,              3.97
36.25,-110.25,2007,05,04,              3.97
36.25,-109.75,2007,05,04,              4.60
36.25,-109.25,2007,05,04,              4.60
36.25,-108.75,2007,05,04,              3.55
36.25,-108.25,2007,05,04,              3.55
