-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-100.25,2007,05,01,              6.39
34.25,-99.75,2007,05,01,              5.34
34.25,-99.25,2007,05,01,              5.34
34.25,-98.75,2007,05,01,              5.32
34.25,-98.25,2007,05,01,              5.32
34.25,-97.75,2007,05,01,              4.32
34.25,-97.25,2007,05,01,              4.32
34.25,-96.75,2007,05,01,              3.55
34.25,-96.25,2007,05,01,              3.55
34.75,-100.25,2007,05,01,              6.39
34.75,-99.75,2007,05,01,              5.34
34.75,-99.25,2007,05,01,              5.34
34.75,-98.75,2007,05,01,              5.32
34.75,-98.25,2007,05,01,              5.32
34.75,-97.75,2007,05,01,              4.32
34.75,-97.25,2007,05,01,              4.32
34.75,-96.75,2007,05,01,              3.55
34.75,-96.25,2007,05,01,              3.55
35.25,-100.25,2007,05,01,              5.78
35.25,-99.75,2007,05,01,              4.75
35.25,-99.25,2007,05,01,              4.75
35.25,-98.75,2007,05,01,              4.11
35.25,-98.25,2007,05,01,              4.11
35.25,-97.75,2007,05,01,              3.81
35.25,-97.25,2007,05,01,              3.81
35.25,-96.75,2007,05,01,              2.82
35.25,-96.25,2007,05,01,              2.82
35.75,-100.25,2007,05,01,              5.78
35.75,-99.75,2007,05,01,              4.75
35.75,-99.25,2007,05,01,              4.75
35.75,-98.75,2007,05,01,              4.11
35.75,-98.25,2007,05,01,              4.11
35.75,-97.75,2007,05,01,              3.81
35.75,-97.25,2007,05,01,              3.81
35.75,-96.75,2007,05,01,              2.82
35.75,-96.25,2007,05,01,              2.82
36.25,-100.25,2007,05,01,              3.93
36.25,-99.75,2007,05,01,              4.04
36.25,-99.25,2007,05,01,              4.04
36.25,-98.75,2007,05,01,              2.72
36.25,-98.25,2007,05,01,              2.72
36.25,-97.75,2007,05,01,              1.81
36.25,-97.25,2007,05,01,              1.81
36.25,-96.75,2007,05,01,              1.20
36.25,-96.25,2007,05,01,              1.20
36.75,-100.25,2007,05,01,              3.93
36.75,-99.75,2007,05,01,              4.04
36.75,-99.25,2007,05,01,              4.04
36.75,-98.75,2007,05,01,              2.72
36.75,-98.25,2007,05,01,              2.72
36.75,-97.75,2007,05,01,              1.81
36.75,-97.25,2007,05,01,              1.81
36.75,-96.75,2007,05,01,              1.20
36.75,-96.25,2007,05,01,              1.20
37.25,-100.25,2007,05,01,              4.23
37.25,-99.75,2007,05,01,              3.18
37.25,-99.25,2007,05,01,              3.18
37.25,-98.75,2007,05,01,              2.27
37.25,-98.25,2007,05,01,              2.27
37.25,-97.75,2007,05,01,              1.64
37.25,-97.25,2007,05,01,              1.64
37.25,-96.75,2007,05,01,              1.18
37.25,-96.25,2007,05,01,              1.18
37.75,-100.25,2007,05,01,              4.23
37.75,-99.75,2007,05,01,              3.18
37.75,-99.25,2007,05,01,              3.18
37.75,-98.75,2007,05,01,              2.27
37.75,-98.25,2007,05,01,              2.27
37.75,-97.75,2007,05,01,              1.64
37.75,-97.25,2007,05,01,              1.64
37.75,-96.75,2007,05,01,              1.18
37.75,-96.25,2007,05,01,              1.18
38.25,-100.25,2007,05,01,              5.53
38.25,-99.75,2007,05,01,              4.74
38.25,-99.25,2007,05,01,              4.74
38.25,-98.75,2007,05,01,              3.32
38.25,-98.25,2007,05,01,              3.32
38.25,-97.75,2007,05,01,              1.98
38.25,-97.25,2007,05,01,              1.98
38.25,-96.75,2007,05,01,              2.29
38.25,-96.25,2007,05,01,              2.29
34.25,-100.25,2007,05,02,              2.43
34.25,-99.75,2007,05,02,              3.38
34.25,-99.25,2007,05,02,              3.38
34.25,-98.75,2007,05,02,              4.70
34.25,-98.25,2007,05,02,              4.70
34.25,-97.75,2007,05,02,              5.21
34.25,-97.25,2007,05,02,              5.21
34.25,-96.75,2007,05,02,              5.08
34.25,-96.25,2007,05,02,              5.08
34.75,-100.25,2007,05,02,              2.43
34.75,-99.75,2007,05,02,              3.38
34.75,-99.25,2007,05,02,              3.38
34.75,-98.75,2007,05,02,              4.70
34.75,-98.25,2007,05,02,              4.70
34.75,-97.75,2007,05,02,              5.21
34.75,-97.25,2007,05,02,              5.21
34.75,-96.75,2007,05,02,              5.08
34.75,-96.25,2007,05,02,              5.08
35.25,-100.25,2007,05,02,              2.76
35.25,-99.75,2007,05,02,              3.37
35.25,-99.25,2007,05,02,              3.37
35.25,-98.75,2007,05,02,              3.53
35.25,-98.25,2007,05,02,              3.53
35.25,-97.75,2007,05,02,              3.29
35.25,-97.25,2007,05,02,              3.29
35.25,-96.75,2007,05,02,              3.42
35.25,-96.25,2007,05,02,              3.42
35.75,-100.25,2007,05,02,              2.76
35.75,-99.75,2007,05,02,              3.37
35.75,-99.25,2007,05,02,              3.37
35.75,-98.75,2007,05,02,              3.53
35.75,-98.25,2007,05,02,              3.53
35.75,-97.75,2007,05,02,              3.29
35.75,-97.25,2007,05,02,              3.29
35.75,-96.75,2007,05,02,              3.42
35.75,-96.25,2007,05,02,              3.42
36.25,-100.25,2007,05,02,              2.47
36.25,-99.75,2007,05,02,              2.76
36.25,-99.25,2007,05,02,              2.76
36.25,-98.75,2007,05,02,              3.34
36.25,-98.25,2007,05,02,              3.34
36.25,-97.75,2007,05,02,              2.84
36.25,-97.25,2007,05,02,              2.84
36.25,-96.75,2007,05,02,              2.92
36.25,-96.25,2007,05,02,              2.92
36.75,-100.25,2007,05,02,              2.47
36.75,-99.75,2007,05,02,              2.76
36.75,-99.25,2007,05,02,              2.76
36.75,-98.75,2007,05,02,              3.34
36.75,-98.25,2007,05,02,              3.34
36.75,-97.75,2007,05,02,              2.84
36.75,-97.25,2007,05,02,              2.84
36.75,-96.75,2007,05,02,              2.92
36.75,-96.25,2007,05,02,              2.92
37.25,-100.25,2007,05,02,              4.91
37.25,-99.75,2007,05,02,              5.48
37.25,-99.25,2007,05,02,              5.48
37.25,-98.75,2007,05,02,              4.56
37.25,-98.25,2007,05,02,              4.56
37.25,-97.75,2007,05,02,              2.76
37.25,-97.25,2007,05,02,              2.76
37.25,-96.75,2007,05,02,              1.72
37.25,-96.25,2007,05,02,              1.72
37.75,-100.25,2007,05,02,              4.91
37.75,-99.75,2007,05,02,              5.48
37.75,-99.25,2007,05,02,              5.48
37.75,-98.75,2007,05,02,              4.56
37.75,-98.25,2007,05,02,              4.56
37.75,-97.75,2007,05,02,              2.76
37.75,-97.25,2007,05,02,              2.76
37.75,-96.75,2007,05,02,              1.72
37.75,-96.25,2007,05,02,              1.72
38.25,-100.25,2007,05,02,              7.12
38.25,-99.75,2007,05,02,              6.48
38.25,-99.25,2007,05,02,              6.48
38.25,-98.75,2007,05,02,              5.98
38.25,-98.25,2007,05,02,              5.98
38.25,-97.75,2007,05,02,              4.07
38.25,-97.25,2007,05,02,              4.07
38.25,-96.75,2007,05,02,              1.76
38.25,-96.25,2007,05,02,              1.76
34.25,-100.25,2007,05,03,              5.89
34.25,-99.75,2007,05,03,              5.14
34.25,-99.25,2007,05,03,              5.14
34.25,-98.75,2007,05,03,              5.15
34.25,-98.25,2007,05,03,              5.15
34.25,-97.75,2007,05,03,              5.82
34.25,-97.25,2007,05,03,              5.82
34.25,-96.75,2007,05,03,              5.50
34.25,-96.25,2007,05,03,              5.50
34.75,-100.25,2007,05,03,              5.89
34.75,-99.75,2007,05,03,              5.14
34.75,-99.25,2007,05,03,              5.14
34.75,-98.75,2007,05,03,              5.15
34.75,-98.25,2007,05,03,              5.15
34.75,-97.75,2007,05,03,              5.82
34.75,-97.25,2007,05,03,              5.82
34.75,-96.75,2007,05,03,              5.50
34.75,-96.25,2007,05,03,              5.50
35.25,-100.25,2007,05,03,              5.32
35.25,-99.75,2007,05,03,              4.61
35.25,-99.25,2007,05,03,              4.61
35.25,-98.75,2007,05,03,              4.45
35.25,-98.25,2007,05,03,              4.45
35.25,-97.75,2007,05,03,              3.47
