-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-92.25,2007,05,01,              6.62
42.25,-91.75,2007,05,01,              6.64
42.25,-91.25,2007,05,01,              6.64
42.25,-90.75,2007,05,01,              6.71
42.25,-90.25,2007,05,01,              6.71
42.25,-89.75,2007,05,01,              6.65
42.25,-89.25,2007,05,01,              6.65
42.25,-88.75,2007,05,01,              6.25
42.25,-88.25,2007,05,01,              6.25
42.75,-92.25,2007,05,01,              6.62
42.75,-91.75,2007,05,01,              6.64
42.75,-91.25,2007,05,01,              6.64
42.75,-90.75,2007,05,01,              6.71
42.75,-90.25,2007,05,01,              6.71
42.75,-89.75,2007,05,01,              6.65
42.75,-89.25,2007,05,01,              6.65
42.75,-88.75,2007,05,01,              6.25
42.75,-88.25,2007,05,01,              6.25
43.25,-92.25,2007,05,01,              7.05
43.25,-91.75,2007,05,01,              6.99
43.25,-91.25,2007,05,01,              6.99
43.25,-90.75,2007,05,01,              6.86
43.25,-90.25,2007,05,01,              6.86
43.25,-89.75,2007,05,01,              6.93
43.25,-89.25,2007,05,01,              6.93
43.25,-88.75,2007,05,01,              6.02
43.25,-88.25,2007,05,01,              6.02
43.75,-92.25,2007,05,01,              7.05
43.75,-91.75,2007,05,01,              6.99
43.75,-91.25,2007,05,01,              6.99
43.75,-90.75,2007,05,01,              6.86
43.75,-90.25,2007,05,01,              6.86
43.75,-89.75,2007,05,01,              6.93
43.75,-89.25,2007,05,01,              6.93
43.75,-88.75,2007,05,01,              6.02
43.75,-88.25,2007,05,01,              6.02
44.25,-92.25,2007,05,01,              7.60
44.25,-91.75,2007,05,01,              6.77
44.25,-91.25,2007,05,01,              6.77
