-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-104.25,2007,05,01,              6.56
46.25,-103.75,2007,05,01,              6.43
46.25,-103.25,2007,05,01,              6.43
46.25,-102.75,2007,05,01,              6.43
46.25,-102.25,2007,05,01,              6.43
46.25,-101.75,2007,05,01,              7.21
46.25,-101.25,2007,05,01,              7.21
46.25,-100.75,2007,05,01,              7.21
46.25,-100.25,2007,05,01,              7.21
46.75,-104.25,2007,05,01,              6.56
46.75,-103.75,2007,05,01,              6.43
46.75,-103.25,2007,05,01,              6.43
46.75,-102.75,2007,05,01,              6.43
46.75,-102.25,2007,05,01,              6.43
46.75,-101.75,2007,05,01,              7.21
46.75,-101.25,2007,05,01,              7.21
46.75,-100.75,2007,05,01,              7.21
46.75,-100.25,2007,05,01,              7.21
47.25,-104.25,2007,05,01,              6.18
47.25,-103.75,2007,05,01,              6.02
47.25,-103.25,2007,05,01,              6.02
47.25,-102.75,2007,05,01,              6.02
47.25,-102.25,2007,05,01,              6.02
47.25,-101.75,2007,05,01,              6.81
47.25,-101.25,2007,05,01,              6.81
47.25,-100.75,2007,05,01,              6.81
47.25,-100.25,2007,05,01,              6.81
47.75,-104.25,2007,05,01,              6.18
47.75,-103.75,2007,05,01,              6.02
47.75,-103.25,2007,05,01,              6.02
47.75,-102.75,2007,05,01,              6.02
47.75,-102.25,2007,05,01,              6.02
47.75,-101.75,2007,05,01,              6.81
47.75,-101.25,2007,05,01,              6.81
47.75,-100.75,2007,05,01,              6.81
47.75,-100.25,2007,05,01,              6.81
48.25,-104.25,2007,05,01,              6.39
48.25,-103.75,2007,05,01,              6.30
48.25,-103.25,2007,05,01,              6.30
48.25,-102.75,2007,05,01,              6.30
48.25,-102.25,2007,05,01,              6.30
48.25,-101.75,2007,05,01,              7.27
48.25,-101.25,2007,05,01,              7.27
48.25,-100.75,2007,05,01,              7.27
48.25,-100.25,2007,05,01,              7.27
48.75,-104.25,2007,05,01,              6.39
48.75,-103.75,2007,05,01,              6.30
48.75,-103.25,2007,05,01,              6.30
48.75,-102.75,2007,05,01,              6.30
48.75,-102.25,2007,05,01,              6.30
48.75,-101.75,2007,05,01,              7.27
48.75,-101.25,2007,05,01,              7.27
48.75,-100.75,2007,05,01,              7.27
48.75,-100.25,2007,05,01,              7.27
49.25,-104.25,2007,05,01,              6.07
49.25,-103.75,2007,05,01,              6.95
49.25,-103.25,2007,05,01,              6.95
49.25,-102.75,2007,05,01,              6.95
49.25,-102.25,2007,05,01,              6.95
49.25,-101.75,2007,05,01,              7.13
49.25,-101.25,2007,05,01,              7.13
49.25,-100.75,2007,05,01,              7.13
49.25,-100.25,2007,05,01,              7.13
49.75,-104.25,2007,05,01,              6.07
49.75,-103.75,2007,05,01,              6.95
49.75,-103.25,2007,05,01,              6.95
49.75,-102.75,2007,05,01,              6.95
49.75,-102.25,2007,05,01,              6.95
49.75,-101.75,2007,05,01,              7.13
49.75,-101.25,2007,05,01,              7.13
49.75,-100.75,2007,05,01,              7.13
