-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-116.25,2007,05,01,              4.32
26.25,-115.75,2007,05,01,              4.18
26.25,-115.25,2007,05,01,              4.18
26.25,-114.75,2007,05,01,              4.39
26.25,-114.25,2007,05,01,              4.39
26.25,-113.75,2007,05,01,              4.94
26.25,-113.25,2007,05,01,              4.94
26.25,-112.75,2007,05,01,              6.13
26.25,-112.25,2007,05,01,              6.13
26.75,-116.25,2007,05,01,              4.32
26.75,-115.75,2007,05,01,              4.18
26.75,-115.25,2007,05,01,              4.18
26.75,-114.75,2007,05,01,              4.39
26.75,-114.25,2007,05,01,              4.39
26.75,-113.75,2007,05,01,              4.94
26.75,-113.25,2007,05,01,              4.94
26.75,-112.75,2007,05,01,              6.13
26.75,-112.25,2007,05,01,              6.13
27.25,-116.25,2007,05,01,              4.66
27.25,-115.75,2007,05,01,              4.27
27.25,-115.25,2007,05,01,              4.27
27.25,-114.75,2007,05,01,              3.78
27.25,-114.25,2007,05,01,              3.78
27.25,-113.75,2007,05,01,              4.66
27.25,-113.25,2007,05,01,              4.66
27.25,-112.75,2007,05,01,              7.38
27.25,-112.25,2007,05,01,              7.38
27.75,-116.25,2007,05,01,              4.66
27.75,-115.75,2007,05,01,              4.27
27.75,-115.25,2007,05,01,              4.27
27.75,-114.75,2007,05,01,              3.78
27.75,-114.25,2007,05,01,              3.78
27.75,-113.75,2007,05,01,              4.66
27.75,-113.25,2007,05,01,              4.66
27.75,-112.75,2007,05,01,              7.38
27.75,-112.25,2007,05,01,              7.38
28.25,-116.25,2007,05,01,              6.31
28.25,-115.75,2007,05,01,              3.96
28.25,-115.25,2007,05,01,              3.96
28.25,-114.75,2007,05,01,              3.67
28.25,-114.25,2007,05,01,              3.67
28.25,-113.75,2007,05,01,              6.04
28.25,-113.25,2007,05,01,              6.04
28.25,-112.75,2007,05,01,              7.82
28.25,-112.25,2007,05,01,              7.82
28.75,-116.25,2007,05,01,              6.31
28.75,-115.75,2007,05,01,              3.96
28.75,-115.25,2007,05,01,              3.96
28.75,-114.75,2007,05,01,              3.67
28.75,-114.25,2007,05,01,              3.67
28.75,-113.75,2007,05,01,              6.04
28.75,-113.25,2007,05,01,              6.04
28.75,-112.75,2007,05,01,              7.82
28.75,-112.25,2007,05,01,              7.82
29.25,-116.25,2007,05,01,              6.48
29.25,-115.75,2007,05,01,              4.20
29.25,-115.25,2007,05,01,              4.20
29.25,-114.75,2007,05,01,              4.29
29.25,-114.25,2007,05,01,              4.29
29.25,-113.75,2007,05,01,              6.80
29.25,-113.25,2007,05,01,              6.80
29.25,-112.75,2007,05,01,              8.19
29.25,-112.25,2007,05,01,              8.19
29.75,-116.25,2007,05,01,              6.48
29.75,-115.75,2007,05,01,              4.20
29.75,-115.25,2007,05,01,              4.20
29.75,-114.75,2007,05,01,              4.29
29.75,-114.25,2007,05,01,              4.29
29.75,-113.75,2007,05,01,              6.80
29.75,-113.25,2007,05,01,              6.80
29.75,-112.75,2007,05,01,              8.19
29.75,-112.25,2007,05,01,              8.19
30.25,-116.25,2007,05,01,              5.83
30.25,-115.75,2007,05,01,              3.47
30.25,-115.25,2007,05,01,              3.47
30.25,-114.75,2007,05,01,              5.06
30.25,-114.25,2007,05,01,              5.06
30.25,-113.75,2007,05,01,              7.12
30.25,-113.25,2007,05,01,              7.12
30.25,-112.75,2007,05,01,              6.27
30.25,-112.25,2007,05,01,              6.27
26.25,-116.25,2007,05,02,              7.06
26.25,-115.75,2007,05,02,              6.04
26.25,-115.25,2007,05,02,              6.04
26.25,-114.75,2007,05,02,              6.72
26.25,-114.25,2007,05,02,              6.72
26.25,-113.75,2007,05,02,              7.09
26.25,-113.25,2007,05,02,              7.09
26.25,-112.75,2007,05,02,              6.87
26.25,-112.25,2007,05,02,              6.87
26.75,-116.25,2007,05,02,              7.06
26.75,-115.75,2007,05,02,              6.04
26.75,-115.25,2007,05,02,              6.04
26.75,-114.75,2007,05,02,              6.72
26.75,-114.25,2007,05,02,              6.72
26.75,-113.75,2007,05,02,              7.09
26.75,-113.25,2007,05,02,              7.09
26.75,-112.75,2007,05,02,              6.87
26.75,-112.25,2007,05,02,              6.87
27.25,-116.25,2007,05,02,              7.04
27.25,-115.75,2007,05,02,              5.69
27.25,-115.25,2007,05,02,              5.69
27.25,-114.75,2007,05,02,              6.14
27.25,-114.25,2007,05,02,              6.14
27.25,-113.75,2007,05,02,              5.00
27.25,-113.25,2007,05,02,              5.00
27.25,-112.75,2007,05,02,              7.31
27.25,-112.25,2007,05,02,              7.31
27.75,-116.25,2007,05,02,              7.04
27.75,-115.75,2007,05,02,              5.69
27.75,-115.25,2007,05,02,              5.69
27.75,-114.75,2007,05,02,              6.14
27.75,-114.25,2007,05,02,              6.14
27.75,-113.75,2007,05,02,              5.00
27.75,-113.25,2007,05,02,              5.00
27.75,-112.75,2007,05,02,              7.31
27.75,-112.25,2007,05,02,              7.31
28.25,-116.25,2007,05,02,              7.56
28.25,-115.75,2007,05,02,              5.52
28.25,-115.25,2007,05,02,              5.52
28.25,-114.75,2007,05,02,              6.87
28.25,-114.25,2007,05,02,              6.87
28.25,-113.75,2007,05,02,              6.36
28.25,-113.25,2007,05,02,              6.36
28.25,-112.75,2007,05,02,              8.01
28.25,-112.25,2007,05,02,              8.01
28.75,-116.25,2007,05,02,              7.56
28.75,-115.75,2007,05,02,              5.52
28.75,-115.25,2007,05,02,              5.52
28.75,-114.75,2007,05,02,              6.87
28.75,-114.25,2007,05,02,              6.87
28.75,-113.75,2007,05,02,              6.36
28.75,-113.25,2007,05,02,              6.36
28.75,-112.75,2007,05,02,              8.01
