-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-76.25,2007,05,01,              2.16
42.25,-75.75,2007,05,01,              3.46
42.25,-75.25,2007,05,01,              3.46
42.25,-74.75,2007,05,01,              4.15
42.25,-74.25,2007,05,01,              4.15
42.25,-73.75,2007,05,01,              4.79
42.25,-73.25,2007,05,01,              4.79
42.25,-72.75,2007,05,01,              5.65
42.25,-72.25,2007,05,01,              5.65
42.75,-76.25,2007,05,01,              2.16
42.75,-75.75,2007,05,01,              3.46
42.75,-75.25,2007,05,01,              3.46
42.75,-74.75,2007,05,01,              4.15
42.75,-74.25,2007,05,01,              4.15
42.75,-73.75,2007,05,01,              4.79
42.75,-73.25,2007,05,01,              4.79
42.75,-72.75,2007,05,01,              5.65
42.75,-72.25,2007,05,01,              5.65
43.25,-76.25,2007,05,01,              2.08
43.25,-75.75,2007,05,01,              3.57
43.25,-75.25,2007,05,01,              3.57
43.25,-74.75,2007,05,01,              4.60
43.25,-74.25,2007,05,01,              4.60
43.25,-73.75,2007,05,01,              5.63
43.25,-73.25,2007,05,01,              5.63
43.25,-72.75,2007,05,01,              6.00
43.25,-72.25,2007,05,01,              6.00
43.75,-76.25,2007,05,01,              2.08
43.75,-75.75,2007,05,01,              3.57
43.75,-75.25,2007,05,01,              3.57
43.75,-74.75,2007,05,01,              4.60
43.75,-74.25,2007,05,01,              4.60
43.75,-73.75,2007,05,01,              5.63
43.75,-73.25,2007,05,01,              5.63
43.75,-72.75,2007,05,01,              6.00
43.75,-72.25,2007,05,01,              6.00
44.25,-76.25,2007,05,01,              4.47
44.25,-75.75,2007,05,01,              5.43
44.25,-75.25,2007,05,01,              5.43
44.25,-74.75,2007,05,01,              6.05
44.25,-74.25,2007,05,01,              6.05
44.25,-73.75,2007,05,01,              6.40
44.25,-73.25,2007,05,01,              6.40
44.25,-72.75,2007,05,01,              6.41
44.25,-72.25,2007,05,01,              6.41
44.75,-76.25,2007,05,01,              4.47
44.75,-75.75,2007,05,01,              5.43
44.75,-75.25,2007,05,01,              5.43
44.75,-74.75,2007,05,01,              6.05
44.75,-74.25,2007,05,01,              6.05
44.75,-73.75,2007,05,01,              6.40
44.75,-73.25,2007,05,01,              6.40
44.75,-72.75,2007,05,01,              6.41
44.75,-72.25,2007,05,01,              6.41
45.25,-76.25,2007,05,01,              5.36
45.25,-75.75,2007,05,01,              6.21
45.25,-75.25,2007,05,01,              6.21
45.25,-74.75,2007,05,01,              6.21
45.25,-74.25,2007,05,01,              6.21
45.25,-73.75,2007,05,01,              6.19
45.25,-73.25,2007,05,01,              6.19
45.25,-72.75,2007,05,01,              6.19
45.25,-72.25,2007,05,01,              6.19
45.75,-76.25,2007,05,01,              5.36
45.75,-75.75,2007,05,01,              6.21
45.75,-75.25,2007,05,01,              6.21
45.75,-74.75,2007,05,01,              6.21
45.75,-74.25,2007,05,01,              6.21
45.75,-73.75,2007,05,01,              6.19
45.75,-73.25,2007,05,01,              6.19
45.75,-72.75,2007,05,01,              6.19
45.75,-72.25,2007,05,01,              6.19
46.25,-76.25,2007,05,01,              6.11
46.25,-75.75,2007,05,01,              6.23
46.25,-75.25,2007,05,01,              6.23
46.25,-74.75,2007,05,01,              6.23
46.25,-74.25,2007,05,01,              6.23
46.25,-73.75,2007,05,01,              6.45
46.25,-73.25,2007,05,01,              6.45
46.25,-72.75,2007,05,01,              6.45
46.25,-72.25,2007,05,01,              6.45
42.25,-76.25,2007,05,02,              6.81
42.25,-75.75,2007,05,02,              7.05
42.25,-75.25,2007,05,02,              7.05
42.25,-74.75,2007,05,02,              6.62
42.25,-74.25,2007,05,02,              6.62
42.25,-73.75,2007,05,02,              6.29
42.25,-73.25,2007,05,02,              6.29
42.25,-72.75,2007,05,02,              5.14
42.25,-72.25,2007,05,02,              5.14
42.75,-76.25,2007,05,02,              6.81
42.75,-75.75,2007,05,02,              7.05
42.75,-75.25,2007,05,02,              7.05
42.75,-74.75,2007,05,02,              6.62
42.75,-74.25,2007,05,02,              6.62
42.75,-73.75,2007,05,02,              6.29
42.75,-73.25,2007,05,02,              6.29
42.75,-72.75,2007,05,02,              5.14
42.75,-72.25,2007,05,02,              5.14
43.25,-76.25,2007,05,02,              7.04
43.25,-75.75,2007,05,02,              7.48
43.25,-75.25,2007,05,02,              7.48
43.25,-74.75,2007,05,02,              7.59
43.25,-74.25,2007,05,02,              7.59
43.25,-73.75,2007,05,02,              7.30
43.25,-73.25,2007,05,02,              7.30
43.25,-72.75,2007,05,02,              7.29
43.25,-72.25,2007,05,02,              7.29
43.75,-76.25,2007,05,02,              7.04
43.75,-75.75,2007,05,02,              7.48
43.75,-75.25,2007,05,02,              7.48
43.75,-74.75,2007,05,02,              7.59
43.75,-74.25,2007,05,02,              7.59
43.75,-73.75,2007,05,02,              7.30
43.75,-73.25,2007,05,02,              7.30
43.75,-72.75,2007,05,02,              7.29
43.75,-72.25,2007,05,02,              7.29
44.25,-76.25,2007,05,02,              7.39
44.25,-75.75,2007,05,02,              7.62
44.25,-75.25,2007,05,02,              7.62
44.25,-74.75,2007,05,02,              7.59
44.25,-74.25,2007,05,02,              7.59
44.25,-73.75,2007,05,02,              7.41
44.25,-73.25,2007,05,02,              7.41
44.25,-72.75,2007,05,02,              7.04
44.25,-72.25,2007,05,02,              7.04
44.75,-76.25,2007,05,02,              7.39
44.75,-75.75,2007,05,02,              7.62
44.75,-75.25,2007,05,02,              7.62
44.75,-74.75,2007,05,02,              7.59
44.75,-74.25,2007,05,02,              7.59
44.75,-73.75,2007,05,02,              7.41
44.75,-73.25,2007,05,02,              7.41
44.75,-72.75,2007,05,02,              7.04
44.75,-72.25,2007,05,02,              7.04
45.25,-76.25,2007,05,02,              7.58
45.25,-75.75,2007,05,02,              7.63
45.25,-75.25,2007,05,02,              7.63
45.25,-74.75,2007,05,02,              7.63
45.25,-74.25,2007,05,02,              7.63
45.25,-73.75,2007,05,02,              6.94
45.25,-73.25,2007,05,02,              6.94
45.25,-72.75,2007,05,02,              6.94
45.25,-72.25,2007,05,02,              6.94
45.75,-76.25,2007,05,02,              7.58
45.75,-75.75,2007,05,02,              7.63
45.75,-75.25,2007,05,02,              7.63
45.75,-74.75,2007,05,02,              7.63
45.75,-74.25,2007,05,02,              7.63
45.75,-73.75,2007,05,02,              6.94
45.75,-73.25,2007,05,02,              6.94
45.75,-72.75,2007,05,02,              6.94
45.75,-72.25,2007,05,02,              6.94
46.25,-76.25,2007,05,02,              7.84
46.25,-75.75,2007,05,02,              7.45
46.25,-75.25,2007,05,02,              7.45
46.25,-74.75,2007,05,02,              7.45
46.25,-74.25,2007,05,02,              7.45
46.25,-73.75,2007,05,02,              6.75
46.25,-73.25,2007,05,02,              6.75
46.25,-72.75,2007,05,02,              6.75
46.25,-72.25,2007,05,02,              6.75
42.25,-76.25,2007,05,03,              7.99
42.25,-75.75,2007,05,03,              8.19
42.25,-75.25,2007,05,03,              8.19
42.25,-74.75,2007,05,03,              8.25
42.25,-74.25,2007,05,03,              8.25
42.25,-73.75,2007,05,03,              8.13
42.25,-73.25,2007,05,03,              8.13
42.25,-72.75,2007,05,03,              8.24
42.25,-72.25,2007,05,03,              8.24
42.75,-76.25,2007,05,03,              7.99
42.75,-75.75,2007,05,03,              8.19
42.75,-75.25,2007,05,03,              8.19
42.75,-74.75,2007,05,03,              8.25
42.75,-74.25,2007,05,03,              8.25
42.75,-73.75,2007,05,03,              8.13
42.75,-73.25,2007,05,03,              8.13
42.75,-72.75,2007,05,03,              8.24
42.75,-72.25,2007,05,03,              8.24
43.25,-76.25,2007,05,03,              8.26
43.25,-75.75,2007,05,03,              7.90
43.25,-75.25,2007,05,03,              7.90
43.25,-74.75,2007,05,03,              8.14
43.25,-74.25,2007,05,03,              8.14
43.25,-73.75,2007,05,03,              8.13
43.25,-73.25,2007,05,03,              8.13
43.25,-72.75,2007,05,03,              8.18
43.25,-72.25,2007,05,03,              8.18
43.75,-76.25,2007,05,03,              8.26
43.75,-75.75,2007,05,03,              7.90
43.75,-75.25,2007,05,03,              7.90
43.75,-74.75,2007,05,03,              8.14
43.75,-74.25,2007,05,03,              8.14
43.75,-73.75,2007,05,03,              8.13
43.75,-73.25,2007,05,03,              8.13
43.75,-72.75,2007,05,03,              8.18
43.75,-72.25,2007,05,03,              8.18
44.25,-76.25,2007,05,03,              7.91
44.25,-75.75,2007,05,03,              7.97
44.25,-75.25,2007,05,03,              7.97
44.25,-74.75,2007,05,03,              7.94
44.25,-74.25,2007,05,03,              7.94
44.25,-73.75,2007,05,03,              7.86
44.25,-73.25,2007,05,03,              7.86
44.25,-72.75,2007,05,03,              7.82
44.25,-72.25,2007,05,03,              7.82
44.75,-76.25,2007,05,03,              7.91
44.75,-75.75,2007,05,03,              7.97
44.75,-75.25,2007,05,03,              7.97
44.75,-74.75,2007,05,03,              7.94
44.75,-74.25,2007,05,03,              7.94
44.75,-73.75,2007,05,03,              7.86
44.75,-73.25,2007,05,03,              7.86
44.75,-72.75,2007,05,03,              7.82
44.75,-72.25,2007,05,03,              7.82
45.25,-76.25,2007,05,03,              7.74
45.25,-75.75,2007,05,03,              7.77
45.25,-75.25,2007,05,03,              7.77
45.25,-74.75,2007,05,03,              7.77
45.25,-74.25,2007,05,03,              7.77
45.25,-73.75,2007,05,03,              7.49
45.25,-73.25,2007,05,03,              7.49
45.25,-72.75,2007,05,03,              7.49
45.25,-72.25,2007,05,03,              7.49
45.75,-76.25,2007,05,03,              7.74
45.75,-75.75,2007,05,03,              7.77
45.75,-75.25,2007,05,03,              7.77
45.75,-74.75,2007,05,03,              7.77
45.75,-74.25,2007,05,03,              7.77
45.75,-73.75,2007,05,03,              7.49
45.75,-73.25,2007,05,03,              7.49
45.75,-72.75,2007,05,03,              7.49
45.75,-72.25,2007,05,03,              7.49
46.25,-76.25,2007,05,03,              7.74
46.25,-75.75,2007,05,03,              7.39
46.25,-75.25,2007,05,03,              7.39
46.25,-74.75,2007,05,03,              7.39
46.25,-74.25,2007,05,03,              7.39
46.25,-73.75,2007,05,03,              7.30
46.25,-73.25,2007,05,03,              7.30
46.25,-72.75,2007,05,03,              7.30
46.25,-72.25,2007,05,03,              7.30
42.25,-76.25,2007,05,04,              7.63
42.25,-75.75,2007,05,04,              7.82
42.25,-75.25,2007,05,04,              7.82
42.25,-74.75,2007,05,04,              7.59
42.25,-74.25,2007,05,04,              7.59
42.25,-73.75,2007,05,04,              7.66
42.25,-73.25,2007,05,04,              7.66
42.25,-72.75,2007,05,04,              7.98
42.25,-72.25,2007,05,04,              7.98
42.75,-76.25,2007,05,04,              7.63
42.75,-75.75,2007,05,04,              7.82
42.75,-75.25,2007,05,04,              7.82
42.75,-74.75,2007,05,04,              7.59
42.75,-74.25,2007,05,04,              7.59
42.75,-73.75,2007,05,04,              7.66
42.75,-73.25,2007,05,04,              7.66
42.75,-72.75,2007,05,04,              7.98
42.75,-72.25,2007,05,04,              7.98
43.25,-76.25,2007,05,04,              7.83
43.25,-75.75,2007,05,04,              7.64
43.25,-75.25,2007,05,04,              7.64
43.25,-74.75,2007,05,04,              7.85
43.25,-74.25,2007,05,04,              7.85
43.25,-73.75,2007,05,04,              7.88
43.25,-73.25,2007,05,04,              7.88
43.25,-72.75,2007,05,04,              8.15
43.25,-72.25,2007,05,04,              8.15
43.75,-76.25,2007,05,04,              7.83
43.75,-75.75,2007,05,04,              7.64
43.75,-75.25,2007,05,04,              7.64
43.75,-74.75,2007,05,04,              7.85
43.75,-74.25,2007,05,04,              7.85
43.75,-73.75,2007,05,04,              7.88
43.75,-73.25,2007,05,04,              7.88
43.75,-72.75,2007,05,04,              8.15
43.75,-72.25,2007,05,04,              8.15
44.25,-76.25,2007,05,04,              7.73
44.25,-75.75,2007,05,04,              7.88
44.25,-75.25,2007,05,04,              7.88
44.25,-74.75,2007,05,04,              7.97
44.25,-74.25,2007,05,04,              7.97
44.25,-73.75,2007,05,04,              7.90
44.25,-73.25,2007,05,04,              7.90
44.25,-72.75,2007,05,04,              8.12
44.25,-72.25,2007,05,04,              8.12
44.75,-76.25,2007,05,04,              7.73
44.75,-75.75,2007,05,04,              7.88
44.75,-75.25,2007,05,04,              7.88
44.75,-74.75,2007,05,04,              7.97
44.75,-74.25,2007,05,04,              7.97
44.75,-73.75,2007,05,04,              7.90
44.75,-73.25,2007,05,04,              7.90
44.75,-72.75,2007,05,04,              8.12
44.75,-72.25,2007,05,04,              8.12
45.25,-76.25,2007,05,04,              7.66
45.25,-75.75,2007,05,04,              7.85
45.25,-75.25,2007,05,04,              7.85
45.25,-74.75,2007,05,04,              7.85
45.25,-74.25,2007,05,04,              7.85
45.25,-73.75,2007,05,04,              7.78
45.25,-73.25,2007,05,04,              7.78
45.25,-72.75,2007,05,04,              7.78
45.25,-72.25,2007,05,04,              7.78
45.75,-76.25,2007,05,04,              7.66
