-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-100.25,2007,05,01,              5.53
38.25,-99.75,2007,05,01,              4.74
38.25,-99.25,2007,05,01,              4.74
38.25,-98.75,2007,05,01,              3.32
38.25,-98.25,2007,05,01,              3.32
38.25,-97.75,2007,05,01,              1.98
38.25,-97.25,2007,05,01,              1.98
38.25,-96.75,2007,05,01,              2.29
38.25,-96.25,2007,05,01,              2.29
38.75,-100.25,2007,05,01,              5.53
38.75,-99.75,2007,05,01,              4.74
38.75,-99.25,2007,05,01,              4.74
38.75,-98.75,2007,05,01,              3.32
38.75,-98.25,2007,05,01,              3.32
38.75,-97.75,2007,05,01,              1.98
38.75,-97.25,2007,05,01,              1.98
38.75,-96.75,2007,05,01,              2.29
38.75,-96.25,2007,05,01,              2.29
39.25,-100.25,2007,05,01,              3.91
39.25,-99.75,2007,05,01,              4.93
39.25,-99.25,2007,05,01,              4.93
39.25,-98.75,2007,05,01,              4.60
39.25,-98.25,2007,05,01,              4.60
39.25,-97.75,2007,05,01,              3.15
39.25,-97.25,2007,05,01,              3.15
39.25,-96.75,2007,05,01,              2.44
39.25,-96.25,2007,05,01,              2.44
39.75,-100.25,2007,05,01,              3.91
39.75,-99.75,2007,05,01,              4.93
39.75,-99.25,2007,05,01,              4.93
39.75,-98.75,2007,05,01,              4.60
39.75,-98.25,2007,05,01,              4.60
39.75,-97.75,2007,05,01,              3.15
39.75,-97.25,2007,05,01,              3.15
39.75,-96.75,2007,05,01,              2.44
39.75,-96.25,2007,05,01,              2.44
40.25,-100.25,2007,05,01,              5.54
40.25,-99.75,2007,05,01,              5.51
40.25,-99.25,2007,05,01,              5.51
40.25,-98.75,2007,05,01,              5.75
40.25,-98.25,2007,05,01,              5.75
40.25,-97.75,2007,05,01,              5.36
40.25,-97.25,2007,05,01,              5.36
40.25,-96.75,2007,05,01,              5.12
40.25,-96.25,2007,05,01,              5.12
40.75,-100.25,2007,05,01,              5.54
40.75,-99.75,2007,05,01,              5.51
40.75,-99.25,2007,05,01,              5.51
40.75,-98.75,2007,05,01,              5.75
40.75,-98.25,2007,05,01,              5.75
40.75,-97.75,2007,05,01,              5.36
40.75,-97.25,2007,05,01,              5.36
40.75,-96.75,2007,05,01,              5.12
40.75,-96.25,2007,05,01,              5.12
41.25,-100.25,2007,05,01,              7.02
41.25,-99.75,2007,05,01,              6.62
41.25,-99.25,2007,05,01,              6.62
41.25,-98.75,2007,05,01,              6.38
41.25,-98.25,2007,05,01,              6.38
41.25,-97.75,2007,05,01,              6.41
41.25,-97.25,2007,05,01,              6.41
41.25,-96.75,2007,05,01,              6.37
41.25,-96.25,2007,05,01,              6.37
41.75,-100.25,2007,05,01,              7.02
41.75,-99.75,2007,05,01,              6.62
41.75,-99.25,2007,05,01,              6.62
41.75,-98.75,2007,05,01,              6.38
41.75,-98.25,2007,05,01,              6.38
41.75,-97.75,2007,05,01,              6.41
41.75,-97.25,2007,05,01,              6.41
41.75,-96.75,2007,05,01,              6.37
41.75,-96.25,2007,05,01,              6.37
42.25,-100.25,2007,05,01,              7.05
42.25,-99.75,2007,05,01,              7.44
42.25,-99.25,2007,05,01,              7.44
42.25,-98.75,2007,05,01,              7.45
42.25,-98.25,2007,05,01,              7.45
42.25,-97.75,2007,05,01,              7.14
42.25,-97.25,2007,05,01,              7.14
42.25,-96.75,2007,05,01,              6.82
42.25,-96.25,2007,05,01,              6.82
38.25,-100.25,2007,05,02,              7.12
38.25,-99.75,2007,05,02,              6.48
38.25,-99.25,2007,05,02,              6.48
38.25,-98.75,2007,05,02,              5.98
38.25,-98.25,2007,05,02,              5.98
38.25,-97.75,2007,05,02,              4.07
38.25,-97.25,2007,05,02,              4.07
38.25,-96.75,2007,05,02,              1.76
38.25,-96.25,2007,05,02,              1.76
38.75,-100.25,2007,05,02,              7.12
38.75,-99.75,2007,05,02,              6.48
38.75,-99.25,2007,05,02,              6.48
38.75,-98.75,2007,05,02,              5.98
38.75,-98.25,2007,05,02,              5.98
38.75,-97.75,2007,05,02,              4.07
38.75,-97.25,2007,05,02,              4.07
38.75,-96.75,2007,05,02,              1.76
38.75,-96.25,2007,05,02,              1.76
39.25,-100.25,2007,05,02,              7.75
39.25,-99.75,2007,05,02,              7.52
39.25,-99.25,2007,05,02,              7.52
39.25,-98.75,2007,05,02,              7.41
39.25,-98.25,2007,05,02,              7.41
39.25,-97.75,2007,05,02,              6.49
39.25,-97.25,2007,05,02,              6.49
39.25,-96.75,2007,05,02,              3.83
39.25,-96.25,2007,05,02,              3.83
39.75,-100.25,2007,05,02,              7.75
39.75,-99.75,2007,05,02,              7.52
39.75,-99.25,2007,05,02,              7.52
39.75,-98.75,2007,05,02,              7.41
39.75,-98.25,2007,05,02,              7.41
39.75,-97.75,2007,05,02,              6.49
39.75,-97.25,2007,05,02,              6.49
39.75,-96.75,2007,05,02,              3.83
39.75,-96.25,2007,05,02,              3.83
40.25,-100.25,2007,05,02,              7.58
40.25,-99.75,2007,05,02,              7.67
40.25,-99.25,2007,05,02,              7.67
40.25,-98.75,2007,05,02,              7.25
40.25,-98.25,2007,05,02,              7.25
40.25,-97.75,2007,05,02,              7.29
40.25,-97.25,2007,05,02,              7.29
40.25,-96.75,2007,05,02,              6.24
40.25,-96.25,2007,05,02,              6.24
40.75,-100.25,2007,05,02,              7.58
40.75,-99.75,2007,05,02,              7.67
40.75,-99.25,2007,05,02,              7.67
40.75,-98.75,2007,05,02,              7.25
40.75,-98.25,2007,05,02,              7.25
40.75,-97.75,2007,05,02,              7.29
40.75,-97.25,2007,05,02,              7.29
40.75,-96.75,2007,05,02,              6.24
40.75,-96.25,2007,05,02,              6.24
41.25,-100.25,2007,05,02,              7.40
41.25,-99.75,2007,05,02,              7.48
41.25,-99.25,2007,05,02,              7.48
41.25,-98.75,2007,05,02,              7.44
41.25,-98.25,2007,05,02,              7.44
41.25,-97.75,2007,05,02,              7.27
41.25,-97.25,2007,05,02,              7.27
41.25,-96.75,2007,05,02,              6.80
41.25,-96.25,2007,05,02,              6.80
41.75,-100.25,2007,05,02,              7.40
41.75,-99.75,2007,05,02,              7.48
41.75,-99.25,2007,05,02,              7.48
41.75,-98.75,2007,05,02,              7.44
41.75,-98.25,2007,05,02,              7.44
41.75,-97.75,2007,05,02,              7.27
41.75,-97.25,2007,05,02,              7.27
41.75,-96.75,2007,05,02,              6.80
41.75,-96.25,2007,05,02,              6.80
42.25,-100.25,2007,05,02,              7.07
42.25,-99.75,2007,05,02,              7.53
42.25,-99.25,2007,05,02,              7.53
42.25,-98.75,2007,05,02,              7.51
42.25,-98.25,2007,05,02,              7.51
42.25,-97.75,2007,05,02,              7.20
42.25,-97.25,2007,05,02,              7.20
42.25,-96.75,2007,05,02,              7.03
42.25,-96.25,2007,05,02,              7.03
38.25,-100.25,2007,05,03,              3.01
38.25,-99.75,2007,05,03,              1.98
38.25,-99.25,2007,05,03,              1.98
38.25,-98.75,2007,05,03,              2.35
38.25,-98.25,2007,05,03,              2.35
38.25,-97.75,2007,05,03,              2.28
38.25,-97.25,2007,05,03,              2.28
38.25,-96.75,2007,05,03,              1.57
38.25,-96.25,2007,05,03,              1.57
38.75,-100.25,2007,05,03,              3.01
38.75,-99.75,2007,05,03,              1.98
38.75,-99.25,2007,05,03,              1.98
38.75,-98.75,2007,05,03,              2.35
38.75,-98.25,2007,05,03,              2.35
38.75,-97.75,2007,05,03,              2.28
38.75,-97.25,2007,05,03,              2.28
38.75,-96.75,2007,05,03,              1.57
38.75,-96.25,2007,05,03,              1.57
39.25,-100.25,2007,05,03,              2.84
39.25,-99.75,2007,05,03,              1.94
39.25,-99.25,2007,05,03,              1.94
39.25,-98.75,2007,05,03,              1.89
39.25,-98.25,2007,05,03,              1.89
39.25,-97.75,2007,05,03,              1.50
39.25,-97.25,2007,05,03,              1.50
39.25,-96.75,2007,05,03,              1.02
39.25,-96.25,2007,05,03,              1.02
39.75,-100.25,2007,05,03,              2.84
39.75,-99.75,2007,05,03,              1.94
39.75,-99.25,2007,05,03,              1.94
39.75,-98.75,2007,05,03,              1.89
39.75,-98.25,2007,05,03,              1.89
39.75,-97.75,2007,05,03,              1.50
39.75,-97.25,2007,05,03,              1.50
39.75,-96.75,2007,05,03,              1.02
39.75,-96.25,2007,05,03,              1.02
40.25,-100.25,2007,05,03,              2.40
40.25,-99.75,2007,05,03,              1.86
40.25,-99.25,2007,05,03,              1.86
40.25,-98.75,2007,05,03,              1.23
40.25,-98.25,2007,05,03,              1.23
40.25,-97.75,2007,05,03,              1.32
40.25,-97.25,2007,05,03,              1.32
40.25,-96.75,2007,05,03,              1.41
40.25,-96.25,2007,05,03,              1.41
40.75,-100.25,2007,05,03,              2.40
40.75,-99.75,2007,05,03,              1.86
40.75,-99.25,2007,05,03,              1.86
40.75,-98.75,2007,05,03,              1.23
40.75,-98.25,2007,05,03,              1.23
40.75,-97.75,2007,05,03,              1.32
40.75,-97.25,2007,05,03,              1.32
