-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-92.25,2007,05,01,              6.77
46.25,-91.75,2007,05,01,              6.78
46.25,-91.25,2007,05,01,              6.78
46.25,-90.75,2007,05,01,              6.78
46.25,-90.25,2007,05,01,              6.78
46.25,-89.75,2007,05,01,              4.75
46.25,-89.25,2007,05,01,              4.75
46.25,-88.75,2007,05,01,              4.75
46.25,-88.25,2007,05,01,              4.75
46.75,-92.25,2007,05,01,              6.77
46.75,-91.75,2007,05,01,              6.78
46.75,-91.25,2007,05,01,              6.78
46.75,-90.75,2007,05,01,              6.78
46.75,-90.25,2007,05,01,              6.78
46.75,-89.75,2007,05,01,              4.75
46.75,-89.25,2007,05,01,              4.75
46.75,-88.75,2007,05,01,              4.75
46.75,-88.25,2007,05,01,              4.75
47.25,-92.25,2007,05,01,              4.19
47.25,-91.75,2007,05,01,              3.77
47.25,-91.25,2007,05,01,              3.77
47.25,-90.75,2007,05,01,              3.77
47.25,-90.25,2007,05,01,              3.77
47.25,-89.75,2007,05,01,              3.88
47.25,-89.25,2007,05,01,              3.88
47.25,-88.75,2007,05,01,              3.88
47.25,-88.25,2007,05,01,              3.88
47.75,-92.25,2007,05,01,              4.19
47.75,-91.75,2007,05,01,              3.77
47.75,-91.25,2007,05,01,              3.77
47.75,-90.75,2007,05,01,              3.77
47.75,-90.25,2007,05,01,              3.77
47.75,-89.75,2007,05,01,              3.88
47.75,-89.25,2007,05,01,              3.88
47.75,-88.75,2007,05,01,              3.88
47.75,-88.25,2007,05,01,              3.88
48.25,-92.25,2007,05,01,              2.59
48.25,-91.75,2007,05,01,              1.61
48.25,-91.25,2007,05,01,              1.61
48.25,-90.75,2007,05,01,              1.61
48.25,-90.25,2007,05,01,              1.61
48.25,-89.75,2007,05,01,              1.85
48.25,-89.25,2007,05,01,              1.85
48.25,-88.75,2007,05,01,              1.85
48.25,-88.25,2007,05,01,              1.85
48.75,-92.25,2007,05,01,              2.59
48.75,-91.75,2007,05,01,              1.61
48.75,-91.25,2007,05,01,              1.61
48.75,-90.75,2007,05,01,              1.61
48.75,-90.25,2007,05,01,              1.61
48.75,-89.75,2007,05,01,              1.85
48.75,-89.25,2007,05,01,              1.85
48.75,-88.75,2007,05,01,              1.85
48.75,-88.25,2007,05,01,              1.85
49.25,-92.25,2007,05,01,              1.91
49.25,-91.75,2007,05,01,              1.59
49.25,-91.25,2007,05,01,              1.59
49.25,-90.75,2007,05,01,              1.59
49.25,-90.25,2007,05,01,              1.59
49.25,-89.75,2007,05,01,              1.87
49.25,-89.25,2007,05,01,              1.87
49.25,-88.75,2007,05,01,              1.87
49.25,-88.25,2007,05,01,              1.87
49.75,-92.25,2007,05,01,              1.91
49.75,-91.75,2007,05,01,              1.59
49.75,-91.25,2007,05,01,              1.59
