-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-108.25,2007,05,01,              7.96
42.25,-107.75,2007,05,01,              7.29
42.25,-107.25,2007,05,01,              7.29
42.25,-106.75,2007,05,01,              8.30
42.25,-106.25,2007,05,01,              8.30
42.25,-105.75,2007,05,01,              7.23
42.25,-105.25,2007,05,01,              7.23
42.25,-104.75,2007,05,01,              6.93
42.25,-104.25,2007,05,01,              6.93
42.75,-108.25,2007,05,01,              7.96
42.75,-107.75,2007,05,01,              7.29
42.75,-107.25,2007,05,01,              7.29
42.75,-106.75,2007,05,01,              8.30
42.75,-106.25,2007,05,01,              8.30
42.75,-105.75,2007,05,01,              7.23
42.75,-105.25,2007,05,01,              7.23
42.75,-104.75,2007,05,01,              6.93
42.75,-104.25,2007,05,01,              6.93
43.25,-108.25,2007,05,01,              7.32
43.25,-107.75,2007,05,01,              7.69
43.25,-107.25,2007,05,01,              7.69
43.25,-106.75,2007,05,01,              7.76
43.25,-106.25,2007,05,01,              7.76
43.25,-105.75,2007,05,01,              7.98
43.25,-105.25,2007,05,01,              7.98
43.25,-104.75,2007,05,01,              7.34
43.25,-104.25,2007,05,01,              7.34
43.75,-108.25,2007,05,01,              7.32
43.75,-107.75,2007,05,01,              7.69
43.75,-107.25,2007,05,01,              7.69
43.75,-106.75,2007,05,01,              7.76
43.75,-106.25,2007,05,01,              7.76
43.75,-105.75,2007,05,01,              7.98
43.75,-105.25,2007,05,01,              7.98
43.75,-104.75,2007,05,01,              7.34
43.75,-104.25,2007,05,01,              7.34
44.25,-108.25,2007,05,01,              7.88
44.25,-107.75,2007,05,01,              8.16
44.25,-107.25,2007,05,01,              8.16
44.25,-106.75,2007,05,01,              8.07
44.25,-106.25,2007,05,01,              8.07
44.25,-105.75,2007,05,01,              7.75
44.25,-105.25,2007,05,01,              7.75
44.25,-104.75,2007,05,01,              7.37
44.25,-104.25,2007,05,01,              7.37
44.75,-108.25,2007,05,01,              7.88
44.75,-107.75,2007,05,01,              8.16
44.75,-107.25,2007,05,01,              8.16
44.75,-106.75,2007,05,01,              8.07
44.75,-106.25,2007,05,01,              8.07
44.75,-105.75,2007,05,01,              7.75
44.75,-105.25,2007,05,01,              7.75
44.75,-104.75,2007,05,01,              7.37
44.75,-104.25,2007,05,01,              7.37
45.25,-108.25,2007,05,01,              7.76
45.25,-107.75,2007,05,01,              7.76
45.25,-107.25,2007,05,01,              7.76
45.25,-106.75,2007,05,01,              7.76
45.25,-106.25,2007,05,01,              7.76
45.25,-105.75,2007,05,01,              6.48
45.25,-105.25,2007,05,01,              6.48
45.25,-104.75,2007,05,01,              6.48
45.25,-104.25,2007,05,01,              6.48
45.75,-108.25,2007,05,01,              7.76
45.75,-107.75,2007,05,01,              7.76
45.75,-107.25,2007,05,01,              7.76
45.75,-106.75,2007,05,01,              7.76
45.75,-106.25,2007,05,01,              7.76
45.75,-105.75,2007,05,01,              6.48
45.75,-105.25,2007,05,01,              6.48
45.75,-104.75,2007,05,01,              6.48
45.75,-104.25,2007,05,01,              6.48
46.25,-108.25,2007,05,01,              7.01
46.25,-107.75,2007,05,01,              7.13
46.25,-107.25,2007,05,01,              7.13
46.25,-106.75,2007,05,01,              7.13
46.25,-106.25,2007,05,01,              7.13
46.25,-105.75,2007,05,01,              6.56
46.25,-105.25,2007,05,01,              6.56
46.25,-104.75,2007,05,01,              6.56
46.25,-104.25,2007,05,01,              6.56
42.25,-108.25,2007,05,02,              4.38
42.25,-107.75,2007,05,02,              5.99
42.25,-107.25,2007,05,02,              5.99
42.25,-106.75,2007,05,02,              4.45
42.25,-106.25,2007,05,02,              4.45
42.25,-105.75,2007,05,02,              5.63
42.25,-105.25,2007,05,02,              5.63
42.25,-104.75,2007,05,02,              6.47
42.25,-104.25,2007,05,02,              6.47
42.75,-108.25,2007,05,02,              4.38
42.75,-107.75,2007,05,02,              5.99
42.75,-107.25,2007,05,02,              5.99
42.75,-106.75,2007,05,02,              4.45
42.75,-106.25,2007,05,02,              4.45
42.75,-105.75,2007,05,02,              5.63
42.75,-105.25,2007,05,02,              5.63
42.75,-104.75,2007,05,02,              6.47
42.75,-104.25,2007,05,02,              6.47
43.25,-108.25,2007,05,02,              3.81
43.25,-107.75,2007,05,02,              5.16
43.25,-107.25,2007,05,02,              5.16
43.25,-106.75,2007,05,02,              5.32
43.25,-106.25,2007,05,02,              5.32
43.25,-105.75,2007,05,02,              6.07
43.25,-105.25,2007,05,02,              6.07
43.25,-104.75,2007,05,02,              6.89
43.25,-104.25,2007,05,02,              6.89
