-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-100.25,2007,05,01,              7.21
46.25,-99.75,2007,05,01,              7.52
46.25,-99.25,2007,05,01,              7.52
46.25,-98.75,2007,05,01,              7.52
46.25,-98.25,2007,05,01,              7.52
46.25,-97.75,2007,05,01,              7.27
46.25,-97.25,2007,05,01,              7.27
46.25,-96.75,2007,05,01,              7.27
46.25,-96.25,2007,05,01,              7.27
46.75,-100.25,2007,05,01,              7.21
46.75,-99.75,2007,05,01,              7.52
46.75,-99.25,2007,05,01,              7.52
46.75,-98.75,2007,05,01,              7.52
46.75,-98.25,2007,05,01,              7.52
46.75,-97.75,2007,05,01,              7.27
46.75,-97.25,2007,05,01,              7.27
46.75,-96.75,2007,05,01,              7.27
46.75,-96.25,2007,05,01,              7.27
47.25,-100.25,2007,05,01,              6.81
47.25,-99.75,2007,05,01,              7.38
47.25,-99.25,2007,05,01,              7.38
47.25,-98.75,2007,05,01,              7.38
47.25,-98.25,2007,05,01,              7.38
47.25,-97.75,2007,05,01,              7.03
47.25,-97.25,2007,05,01,              7.03
47.25,-96.75,2007,05,01,              7.03
47.25,-96.25,2007,05,01,              7.03
47.75,-100.25,2007,05,01,              6.81
47.75,-99.75,2007,05,01,              7.38
47.75,-99.25,2007,05,01,              7.38
47.75,-98.75,2007,05,01,              7.38
47.75,-98.25,2007,05,01,              7.38
47.75,-97.75,2007,05,01,              7.03
47.75,-97.25,2007,05,01,              7.03
47.75,-96.75,2007,05,01,              7.03
47.75,-96.25,2007,05,01,              7.03
48.25,-100.25,2007,05,01,              7.27
48.25,-99.75,2007,05,01,              7.22
48.25,-99.25,2007,05,01,              7.22
48.25,-98.75,2007,05,01,              7.22
48.25,-98.25,2007,05,01,              7.22
48.25,-97.75,2007,05,01,              6.64
48.25,-97.25,2007,05,01,              6.64
48.25,-96.75,2007,05,01,              6.64
48.25,-96.25,2007,05,01,              6.64
48.75,-100.25,2007,05,01,              7.27
48.75,-99.75,2007,05,01,              7.22
48.75,-99.25,2007,05,01,              7.22
48.75,-98.75,2007,05,01,              7.22
48.75,-98.25,2007,05,01,              7.22
48.75,-97.75,2007,05,01,              6.64
48.75,-97.25,2007,05,01,              6.64
48.75,-96.75,2007,05,01,              6.64
48.75,-96.25,2007,05,01,              6.64
49.25,-100.25,2007,05,01,              7.13
49.25,-99.75,2007,05,01,              7.10
49.25,-99.25,2007,05,01,              7.10
49.25,-98.75,2007,05,01,              7.10
49.25,-98.25,2007,05,01,              7.10
49.25,-97.75,2007,05,01,              6.28
49.25,-97.25,2007,05,01,              6.28
49.25,-96.75,2007,05,01,              6.28
49.25,-96.25,2007,05,01,              6.28
49.75,-100.25,2007,05,01,              7.13
49.75,-99.75,2007,05,01,              7.10
49.75,-99.25,2007,05,01,              7.10
49.75,-98.75,2007,05,01,              7.10
49.75,-98.25,2007,05,01,              7.10
49.75,-97.75,2007,05,01,              6.28
49.75,-97.25,2007,05,01,              6.28
49.75,-96.75,2007,05,01,              6.28
49.75,-96.25,2007,05,01,              6.28
50.25,-100.25,2007,05,01,              6.76
50.25,-99.75,2007,05,01,              6.20
50.25,-99.25,2007,05,01,              6.20
50.25,-98.75,2007,05,01,              6.20
50.25,-98.25,2007,05,01,              6.20
50.25,-97.75,2007,05,01,              6.70
50.25,-97.25,2007,05,01,              6.70
50.25,-96.75,2007,05,01,              6.70
50.25,-96.25,2007,05,01,              6.70
46.25,-100.25,2007,05,02,              6.45
46.25,-99.75,2007,05,02,              6.72
46.25,-99.25,2007,05,02,              6.72
46.25,-98.75,2007,05,02,              6.72
46.25,-98.25,2007,05,02,              6.72
46.25,-97.75,2007,05,02,              6.98
46.25,-97.25,2007,05,02,              6.98
46.25,-96.75,2007,05,02,              6.98
46.25,-96.25,2007,05,02,              6.98
46.75,-100.25,2007,05,02,              6.45
46.75,-99.75,2007,05,02,              6.72
46.75,-99.25,2007,05,02,              6.72
46.75,-98.75,2007,05,02,              6.72
