-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-96.25,2007,05,01,              1.22
30.25,-95.75,2007,05,01,              1.55
30.25,-95.25,2007,05,01,              1.55
30.25,-94.75,2007,05,01,              3.39
30.25,-94.25,2007,05,01,              3.39
30.25,-93.75,2007,05,01,              5.96
30.25,-93.25,2007,05,01,              5.96
30.25,-92.75,2007,05,01,              5.94
30.25,-92.25,2007,05,01,              5.94
30.75,-96.25,2007,05,01,              1.22
30.75,-95.75,2007,05,01,              1.55
30.75,-95.25,2007,05,01,              1.55
30.75,-94.75,2007,05,01,              3.39
30.75,-94.25,2007,05,01,              3.39
30.75,-93.75,2007,05,01,              5.96
30.75,-93.25,2007,05,01,              5.96
30.75,-92.75,2007,05,01,              5.94
30.75,-92.25,2007,05,01,              5.94
31.25,-96.25,2007,05,01,              0.86
31.25,-95.75,2007,05,01,              0.49
31.25,-95.25,2007,05,01,              0.49
31.25,-94.75,2007,05,01,              1.37
31.25,-94.25,2007,05,01,              1.37
31.25,-93.75,2007,05,01,              4.12
31.25,-93.25,2007,05,01,              4.12
31.25,-92.75,2007,05,01,              4.45
31.25,-92.25,2007,05,01,              4.45
31.75,-96.25,2007,05,01,              0.86
31.75,-95.75,2007,05,01,              0.49
31.75,-95.25,2007,05,01,              0.49
31.75,-94.75,2007,05,01,              1.37
31.75,-94.25,2007,05,01,              1.37
31.75,-93.75,2007,05,01,              4.12
31.75,-93.25,2007,05,01,              4.12
31.75,-92.75,2007,05,01,              4.45
31.75,-92.25,2007,05,01,              4.45
32.25,-96.25,2007,05,01,              1.33
32.25,-95.75,2007,05,01,              0.68
32.25,-95.25,2007,05,01,              0.68
32.25,-94.75,2007,05,01,              1.14
32.25,-94.25,2007,05,01,              1.14
32.25,-93.75,2007,05,01,              4.52
32.25,-93.25,2007,05,01,              4.52
32.25,-92.75,2007,05,01,              4.14
32.25,-92.25,2007,05,01,              4.14
32.75,-96.25,2007,05,01,              1.33
32.75,-95.75,2007,05,01,              0.68
32.75,-95.25,2007,05,01,              0.68
32.75,-94.75,2007,05,01,              1.14
32.75,-94.25,2007,05,01,              1.14
32.75,-93.75,2007,05,01,              4.52
32.75,-93.25,2007,05,01,              4.52
32.75,-92.75,2007,05,01,              4.14
32.75,-92.25,2007,05,01,              4.14
33.25,-96.25,2007,05,01,              3.12
33.25,-95.75,2007,05,01,              1.71
33.25,-95.25,2007,05,01,              1.71
33.25,-94.75,2007,05,01,              0.91
33.25,-94.25,2007,05,01,              0.91
33.25,-93.75,2007,05,01,              2.54
33.25,-93.25,2007,05,01,              2.54
33.25,-92.75,2007,05,01,              3.21
33.25,-92.25,2007,05,01,              3.21
33.75,-96.25,2007,05,01,              3.12
33.75,-95.75,2007,05,01,              1.71
33.75,-95.25,2007,05,01,              1.71
33.75,-94.75,2007,05,01,              0.91
33.75,-94.25,2007,05,01,              0.91
33.75,-93.75,2007,05,01,              2.54
33.75,-93.25,2007,05,01,              2.54
33.75,-92.75,2007,05,01,              3.21
33.75,-92.25,2007,05,01,              3.21
34.25,-96.25,2007,05,01,              3.55
34.25,-95.75,2007,05,01,              1.50
34.25,-95.25,2007,05,01,              1.50
34.25,-94.75,2007,05,01,              0.67
34.25,-94.25,2007,05,01,              0.67
34.25,-93.75,2007,05,01,              1.14
34.25,-93.25,2007,05,01,              1.14
34.25,-92.75,2007,05,01,              3.69
34.25,-92.25,2007,05,01,              3.69
30.25,-96.25,2007,05,02,              3.22
30.25,-95.75,2007,05,02,              4.20
30.25,-95.25,2007,05,02,              4.20
30.25,-94.75,2007,05,02,              5.32
30.25,-94.25,2007,05,02,              5.32
30.25,-93.75,2007,05,02,              5.61
30.25,-93.25,2007,05,02,              5.61
30.25,-92.75,2007,05,02,              5.32
30.25,-92.25,2007,05,02,              5.32
