-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-108.25,2007,05,01,              7.45
30.25,-107.75,2007,05,01,              6.75
30.25,-107.25,2007,05,01,              6.75
30.25,-106.75,2007,05,01,              6.96
30.25,-106.25,2007,05,01,              6.96
30.25,-105.75,2007,05,01,              6.54
30.25,-105.25,2007,05,01,              6.54
30.25,-104.75,2007,05,01,              5.47
30.25,-104.25,2007,05,01,              5.47
30.75,-108.25,2007,05,01,              7.45
30.75,-107.75,2007,05,01,              6.75
30.75,-107.25,2007,05,01,              6.75
30.75,-106.75,2007,05,01,              6.96
30.75,-106.25,2007,05,01,              6.96
30.75,-105.75,2007,05,01,              6.54
30.75,-105.25,2007,05,01,              6.54
30.75,-104.75,2007,05,01,              5.47
30.75,-104.25,2007,05,01,              5.47
31.25,-108.25,2007,05,01,              6.36
31.25,-107.75,2007,05,01,              6.14
31.25,-107.25,2007,05,01,              6.14
31.25,-106.75,2007,05,01,              6.41
31.25,-106.25,2007,05,01,              6.41
31.25,-105.75,2007,05,01,              6.41
31.25,-105.25,2007,05,01,              6.41
31.25,-104.75,2007,05,01,              6.38
31.25,-104.25,2007,05,01,              6.38
31.75,-108.25,2007,05,01,              6.36
31.75,-107.75,2007,05,01,              6.14
31.75,-107.25,2007,05,01,              6.14
31.75,-106.75,2007,05,01,              6.41
31.75,-106.25,2007,05,01,              6.41
31.75,-105.75,2007,05,01,              6.41
31.75,-105.25,2007,05,01,              6.41
31.75,-104.75,2007,05,01,              6.38
31.75,-104.25,2007,05,01,              6.38
32.25,-108.25,2007,05,01,              6.11
32.25,-107.75,2007,05,01,              5.36
32.25,-107.25,2007,05,01,              5.36
32.25,-106.75,2007,05,01,              6.46
32.25,-106.25,2007,05,01,              6.46
32.25,-105.75,2007,05,01,              5.62
32.25,-105.25,2007,05,01,              5.62
32.25,-104.75,2007,05,01,              6.80
32.25,-104.25,2007,05,01,              6.80
32.75,-108.25,2007,05,01,              6.11
32.75,-107.75,2007,05,01,              5.36
32.75,-107.25,2007,05,01,              5.36
32.75,-106.75,2007,05,01,              6.46
32.75,-106.25,2007,05,01,              6.46
32.75,-105.75,2007,05,01,              5.62
32.75,-105.25,2007,05,01,              5.62
32.75,-104.75,2007,05,01,              6.80
32.75,-104.25,2007,05,01,              6.80
33.25,-108.25,2007,05,01,              4.98
33.25,-107.75,2007,05,01,              4.99
