-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-112.25,2007,05,01,              5.97
38.25,-111.75,2007,05,01,              5.14
38.25,-111.25,2007,05,01,              5.14
38.25,-110.75,2007,05,01,              4.58
38.25,-110.25,2007,05,01,              4.58
38.25,-109.75,2007,05,01,              5.56
38.25,-109.25,2007,05,01,              5.56
38.25,-108.75,2007,05,01,              5.06
38.25,-108.25,2007,05,01,              5.06
38.75,-112.25,2007,05,01,              5.97
38.75,-111.75,2007,05,01,              5.14
38.75,-111.25,2007,05,01,              5.14
38.75,-110.75,2007,05,01,              4.58
38.75,-110.25,2007,05,01,              4.58
38.75,-109.75,2007,05,01,              5.56
38.75,-109.25,2007,05,01,              5.56
38.75,-108.75,2007,05,01,              5.06
38.75,-108.25,2007,05,01,              5.06
39.25,-112.25,2007,05,01,              6.17
39.25,-111.75,2007,05,01,              6.43
39.25,-111.25,2007,05,01,              6.43
39.25,-110.75,2007,05,01,              5.05
39.25,-110.25,2007,05,01,              5.05
39.25,-109.75,2007,05,01,              4.86
39.25,-109.25,2007,05,01,              4.86
39.25,-108.75,2007,05,01,              5.64
39.25,-108.25,2007,05,01,              5.64
39.75,-112.25,2007,05,01,              6.17
39.75,-111.75,2007,05,01,              6.43
39.75,-111.25,2007,05,01,              6.43
39.75,-110.75,2007,05,01,              5.05
39.75,-110.25,2007,05,01,              5.05
39.75,-109.75,2007,05,01,              4.86
39.75,-109.25,2007,05,01,              4.86
39.75,-108.75,2007,05,01,              5.64
39.75,-108.25,2007,05,01,              5.64
40.25,-112.25,2007,05,01,              6.66
40.25,-111.75,2007,05,01,              7.38
40.25,-111.25,2007,05,01,              7.38
40.25,-110.75,2007,05,01,              6.90
40.25,-110.25,2007,05,01,              6.90
40.25,-109.75,2007,05,01,              5.03
40.25,-109.25,2007,05,01,              5.03
40.25,-108.75,2007,05,01,              5.84
40.25,-108.25,2007,05,01,              5.84
40.75,-112.25,2007,05,01,              6.66
40.75,-111.75,2007,05,01,              7.38
40.75,-111.25,2007,05,01,              7.38
40.75,-110.75,2007,05,01,              6.90
40.75,-110.25,2007,05,01,              6.90
40.75,-109.75,2007,05,01,              5.03
40.75,-109.25,2007,05,01,              5.03
40.75,-108.75,2007,05,01,              5.84
40.75,-108.25,2007,05,01,              5.84
41.25,-112.25,2007,05,01,              6.38
41.25,-111.75,2007,05,01,              7.39
41.25,-111.25,2007,05,01,              7.39
41.25,-110.75,2007,05,01,              6.83
41.25,-110.25,2007,05,01,              6.83
41.25,-109.75,2007,05,01,              6.54
41.25,-109.25,2007,05,01,              6.54
41.25,-108.75,2007,05,01,              6.44
41.25,-108.25,2007,05,01,              6.44
41.75,-112.25,2007,05,01,              6.38
41.75,-111.75,2007,05,01,              7.39
41.75,-111.25,2007,05,01,              7.39
41.75,-110.75,2007,05,01,              6.83
41.75,-110.25,2007,05,01,              6.83
41.75,-109.75,2007,05,01,              6.54
41.75,-109.25,2007,05,01,              6.54
41.75,-108.75,2007,05,01,              6.44
41.75,-108.25,2007,05,01,              6.44
42.25,-112.25,2007,05,01,              6.65
42.25,-111.75,2007,05,01,              6.55
42.25,-111.25,2007,05,01,              6.55
42.25,-110.75,2007,05,01,              6.01
42.25,-110.25,2007,05,01,              6.01
42.25,-109.75,2007,05,01,              6.59
42.25,-109.25,2007,05,01,              6.59
42.25,-108.75,2007,05,01,              7.96
42.25,-108.25,2007,05,01,              7.96
38.25,-112.25,2007,05,02,              7.54
38.25,-111.75,2007,05,02,              7.58
38.25,-111.25,2007,05,02,              7.58
38.25,-110.75,2007,05,02,              5.16
38.25,-110.25,2007,05,02,              5.16
38.25,-109.75,2007,05,02,              3.85
38.25,-109.25,2007,05,02,              3.85
38.25,-108.75,2007,05,02,              3.69
38.25,-108.25,2007,05,02,              3.69
38.75,-112.25,2007,05,02,              7.54
38.75,-111.75,2007,05,02,              7.58
38.75,-111.25,2007,05,02,              7.58
38.75,-110.75,2007,05,02,              5.16
38.75,-110.25,2007,05,02,              5.16
38.75,-109.75,2007,05,02,              3.85
38.75,-109.25,2007,05,02,              3.85
38.75,-108.75,2007,05,02,              3.69
38.75,-108.25,2007,05,02,              3.69
39.25,-112.25,2007,05,02,              6.60
39.25,-111.75,2007,05,02,              7.72
39.25,-111.25,2007,05,02,              7.72
39.25,-110.75,2007,05,02,              4.24
39.25,-110.25,2007,05,02,              4.24
39.25,-109.75,2007,05,02,              3.41
39.25,-109.25,2007,05,02,              3.41
39.25,-108.75,2007,05,02,              3.82
39.25,-108.25,2007,05,02,              3.82
39.75,-112.25,2007,05,02,              6.60
39.75,-111.75,2007,05,02,              7.72
39.75,-111.25,2007,05,02,              7.72
39.75,-110.75,2007,05,02,              4.24
39.75,-110.25,2007,05,02,              4.24
39.75,-109.75,2007,05,02,              3.41
39.75,-109.25,2007,05,02,              3.41
39.75,-108.75,2007,05,02,              3.82
39.75,-108.25,2007,05,02,              3.82
40.25,-112.25,2007,05,02,              6.35
40.25,-111.75,2007,05,02,              7.36
40.25,-111.25,2007,05,02,              7.36
40.25,-110.75,2007,05,02,              6.08
40.25,-110.25,2007,05,02,              6.08
40.25,-109.75,2007,05,02,              5.16
40.25,-109.25,2007,05,02,              5.16
40.25,-108.75,2007,05,02,              3.75
40.25,-108.25,2007,05,02,              3.75
40.75,-112.25,2007,05,02,              6.35
40.75,-111.75,2007,05,02,              7.36
40.75,-111.25,2007,05,02,              7.36
40.75,-110.75,2007,05,02,              6.08
40.75,-110.25,2007,05,02,              6.08
40.75,-109.75,2007,05,02,              5.16
40.75,-109.25,2007,05,02,              5.16
40.75,-108.75,2007,05,02,              3.75
40.75,-108.25,2007,05,02,              3.75
41.25,-112.25,2007,05,02,              5.65
41.25,-111.75,2007,05,02,              7.15
41.25,-111.25,2007,05,02,              7.15
41.25,-110.75,2007,05,02,              5.81
41.25,-110.25,2007,05,02,              5.81
41.25,-109.75,2007,05,02,              4.47
41.25,-109.25,2007,05,02,              4.47
41.25,-108.75,2007,05,02,              4.44
41.25,-108.25,2007,05,02,              4.44
41.75,-112.25,2007,05,02,              5.65
41.75,-111.75,2007,05,02,              7.15
41.75,-111.25,2007,05,02,              7.15
41.75,-110.75,2007,05,02,              5.81
41.75,-110.25,2007,05,02,              5.81
41.75,-109.75,2007,05,02,              4.47
41.75,-109.25,2007,05,02,              4.47
41.75,-108.75,2007,05,02,              4.44
41.75,-108.25,2007,05,02,              4.44
42.25,-112.25,2007,05,02,              7.07
42.25,-111.75,2007,05,02,              6.95
42.25,-111.25,2007,05,02,              6.95
42.25,-110.75,2007,05,02,              5.35
42.25,-110.25,2007,05,02,              5.35
42.25,-109.75,2007,05,02,              4.45
42.25,-109.25,2007,05,02,              4.45
