-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-120.25,2007,05,01,              3.20
46.25,-119.75,2007,05,01,              2.61
46.25,-119.25,2007,05,01,              2.61
46.25,-118.75,2007,05,01,              2.61
46.25,-118.25,2007,05,01,              2.61
46.25,-117.75,2007,05,01,              5.20
46.25,-117.25,2007,05,01,              5.20
46.25,-116.75,2007,05,01,              5.20
46.25,-116.25,2007,05,01,              5.20
46.75,-120.25,2007,05,01,              3.20
46.75,-119.75,2007,05,01,              2.61
46.75,-119.25,2007,05,01,              2.61
46.75,-118.75,2007,05,01,              2.61
46.75,-118.25,2007,05,01,              2.61
46.75,-117.75,2007,05,01,              5.20
46.75,-117.25,2007,05,01,              5.20
46.75,-116.75,2007,05,01,              5.20
46.75,-116.25,2007,05,01,              5.20
47.25,-120.25,2007,05,01,              3.09
47.25,-119.75,2007,05,01,              2.19
47.25,-119.25,2007,05,01,              2.19
47.25,-118.75,2007,05,01,              2.19
47.25,-118.25,2007,05,01,              2.19
47.25,-117.75,2007,05,01,              4.21
47.25,-117.25,2007,05,01,              4.21
47.25,-116.75,2007,05,01,              4.21
47.25,-116.25,2007,05,01,              4.21
47.75,-120.25,2007,05,01,              3.09
47.75,-119.75,2007,05,01,              2.19
47.75,-119.25,2007,05,01,              2.19
47.75,-118.75,2007,05,01,              2.19
47.75,-118.25,2007,05,01,              2.19
47.75,-117.75,2007,05,01,              4.21
47.75,-117.25,2007,05,01,              4.21
47.75,-116.75,2007,05,01,              4.21
47.75,-116.25,2007,05,01,              4.21
48.25,-120.25,2007,05,01,              2.84
48.25,-119.75,2007,05,01,              2.37
48.25,-119.25,2007,05,01,              2.37
48.25,-118.75,2007,05,01,              2.37
48.25,-118.25,2007,05,01,              2.37
48.25,-117.75,2007,05,01,              2.29
48.25,-117.25,2007,05,01,              2.29
48.25,-116.75,2007,05,01,              2.29
48.25,-116.25,2007,05,01,              2.29
48.75,-120.25,2007,05,01,              2.84
48.75,-119.75,2007,05,01,              2.37
48.75,-119.25,2007,05,01,              2.37
48.75,-118.75,2007,05,01,              2.37
48.75,-118.25,2007,05,01,              2.37
48.75,-117.75,2007,05,01,              2.29
48.75,-117.25,2007,05,01,              2.29
48.75,-116.75,2007,05,01,              2.29
48.75,-116.25,2007,05,01,              2.29
49.25,-120.25,2007,05,01,              3.15
49.25,-119.75,2007,05,01,              2.77
49.25,-119.25,2007,05,01,              2.77
49.25,-118.75,2007,05,01,              2.77
49.25,-118.25,2007,05,01,              2.77
49.25,-117.75,2007,05,01,              2.08
49.25,-117.25,2007,05,01,              2.08
49.25,-116.75,2007,05,01,              2.08
49.25,-116.25,2007,05,01,              2.08
49.75,-120.25,2007,05,01,              3.15
49.75,-119.75,2007,05,01,              2.77
49.75,-119.25,2007,05,01,              2.77
49.75,-118.75,2007,05,01,              2.77
49.75,-118.25,2007,05,01,              2.77
49.75,-117.75,2007,05,01,              2.08
49.75,-117.25,2007,05,01,              2.08
49.75,-116.75,2007,05,01,              2.08
49.75,-116.25,2007,05,01,              2.08
50.25,-120.25,2007,05,01,              3.72
50.25,-119.75,2007,05,01,              2.82
50.25,-119.25,2007,05,01,              2.82
50.25,-118.75,2007,05,01,              2.82
50.25,-118.25,2007,05,01,              2.82
50.25,-117.75,2007,05,01,              3.42
50.25,-117.25,2007,05,01,              3.42
50.25,-116.75,2007,05,01,              3.42
50.25,-116.25,2007,05,01,              3.42
46.25,-120.25,2007,05,02,              3.91
46.25,-119.75,2007,05,02,              3.92
46.25,-119.25,2007,05,02,              3.92
46.25,-118.75,2007,05,02,              3.92
46.25,-118.25,2007,05,02,              3.92
46.25,-117.75,2007,05,02,              2.82
46.25,-117.25,2007,05,02,              2.82
46.25,-116.75,2007,05,02,              2.82
46.25,-116.25,2007,05,02,              2.82
46.75,-120.25,2007,05,02,              3.91
46.75,-119.75,2007,05,02,              3.92
46.75,-119.25,2007,05,02,              3.92
46.75,-118.75,2007,05,02,              3.92
46.75,-118.25,2007,05,02,              3.92
46.75,-117.75,2007,05,02,              2.82
46.75,-117.25,2007,05,02,              2.82
46.75,-116.75,2007,05,02,              2.82
46.75,-116.25,2007,05,02,              2.82
47.25,-120.25,2007,05,02,              3.15
47.25,-119.75,2007,05,02,              2.52
47.25,-119.25,2007,05,02,              2.52
47.25,-118.75,2007,05,02,              2.52
47.25,-118.25,2007,05,02,              2.52
47.25,-117.75,2007,05,02,              2.03
47.25,-117.25,2007,05,02,              2.03
47.25,-116.75,2007,05,02,              2.03
47.25,-116.25,2007,05,02,              2.03
47.75,-120.25,2007,05,02,              3.15
47.75,-119.75,2007,05,02,              2.52
47.75,-119.25,2007,05,02,              2.52
47.75,-118.75,2007,05,02,              2.52
47.75,-118.25,2007,05,02,              2.52
47.75,-117.75,2007,05,02,              2.03
47.75,-117.25,2007,05,02,              2.03
47.75,-116.75,2007,05,02,              2.03
47.75,-116.25,2007,05,02,              2.03
48.25,-120.25,2007,05,02,              2.65
48.25,-119.75,2007,05,02,              2.26
48.25,-119.25,2007,05,02,              2.26
48.25,-118.75,2007,05,02,              2.26
48.25,-118.25,2007,05,02,              2.26
48.25,-117.75,2007,05,02,              2.23
48.25,-117.25,2007,05,02,              2.23
48.25,-116.75,2007,05,02,              2.23
48.25,-116.25,2007,05,02,              2.23
48.75,-120.25,2007,05,02,              2.65
48.75,-119.75,2007,05,02,              2.26
48.75,-119.25,2007,05,02,              2.26
48.75,-118.75,2007,05,02,              2.26
48.75,-118.25,2007,05,02,              2.26
48.75,-117.75,2007,05,02,              2.23
48.75,-117.25,2007,05,02,              2.23
48.75,-116.75,2007,05,02,              2.23
48.75,-116.25,2007,05,02,              2.23
49.25,-120.25,2007,05,02,              3.15
49.25,-119.75,2007,05,02,              2.92
49.25,-119.25,2007,05,02,              2.92
49.25,-118.75,2007,05,02,              2.92
49.25,-118.25,2007,05,02,              2.92
49.25,-117.75,2007,05,02,              2.33
49.25,-117.25,2007,05,02,              2.33
49.25,-116.75,2007,05,02,              2.33
49.25,-116.25,2007,05,02,              2.33
49.75,-120.25,2007,05,02,              3.15
49.75,-119.75,2007,05,02,              2.92
49.75,-119.25,2007,05,02,              2.92
49.75,-118.75,2007,05,02,              2.92
49.75,-118.25,2007,05,02,              2.92
49.75,-117.75,2007,05,02,              2.33
49.75,-117.25,2007,05,02,              2.33
49.75,-116.75,2007,05,02,              2.33
49.75,-116.25,2007,05,02,              2.33
50.25,-120.25,2007,05,02,              2.83
50.25,-119.75,2007,05,02,              2.68
50.25,-119.25,2007,05,02,              2.68
50.25,-118.75,2007,05,02,              2.68
50.25,-118.25,2007,05,02,              2.68
50.25,-117.75,2007,05,02,              3.85
50.25,-117.25,2007,05,02,              3.85
50.25,-116.75,2007,05,02,              3.85
50.25,-116.25,2007,05,02,              3.85
46.25,-120.25,2007,05,03,              4.74
46.25,-119.75,2007,05,03,              6.20
46.25,-119.25,2007,05,03,              6.20
46.25,-118.75,2007,05,03,              6.20
46.25,-118.25,2007,05,03,              6.20
46.25,-117.75,2007,05,03,              5.15
46.25,-117.25,2007,05,03,              5.15
46.25,-116.75,2007,05,03,              5.15
46.25,-116.25,2007,05,03,              5.15
46.75,-120.25,2007,05,03,              4.74
46.75,-119.75,2007,05,03,              6.20
46.75,-119.25,2007,05,03,              6.20
46.75,-118.75,2007,05,03,              6.20
46.75,-118.25,2007,05,03,              6.20
46.75,-117.75,2007,05,03,              5.15
46.75,-117.25,2007,05,03,              5.15
46.75,-116.75,2007,05,03,              5.15
46.75,-116.25,2007,05,03,              5.15
47.25,-120.25,2007,05,03,              4.15
47.25,-119.75,2007,05,03,              5.09
47.25,-119.25,2007,05,03,              5.09
47.25,-118.75,2007,05,03,              5.09
47.25,-118.25,2007,05,03,              5.09
47.25,-117.75,2007,05,03,              3.55
47.25,-117.25,2007,05,03,              3.55
47.25,-116.75,2007,05,03,              3.55
47.25,-116.25,2007,05,03,              3.55
47.75,-120.25,2007,05,03,              4.15
47.75,-119.75,2007,05,03,              5.09
47.75,-119.25,2007,05,03,              5.09
47.75,-118.75,2007,05,03,              5.09
47.75,-118.25,2007,05,03,              5.09
47.75,-117.75,2007,05,03,              3.55
47.75,-117.25,2007,05,03,              3.55
47.75,-116.75,2007,05,03,              3.55
47.75,-116.25,2007,05,03,              3.55
48.25,-120.25,2007,05,03,              4.85
48.25,-119.75,2007,05,03,              4.06
48.25,-119.25,2007,05,03,              4.06
48.25,-118.75,2007,05,03,              4.06
48.25,-118.25,2007,05,03,              4.06
48.25,-117.75,2007,05,03,              2.39
48.25,-117.25,2007,05,03,              2.39
48.25,-116.75,2007,05,03,              2.39
48.25,-116.25,2007,05,03,              2.39
48.75,-120.25,2007,05,03,              4.85
48.75,-119.75,2007,05,03,              4.06
48.75,-119.25,2007,05,03,              4.06
48.75,-118.75,2007,05,03,              4.06
48.75,-118.25,2007,05,03,              4.06
48.75,-117.75,2007,05,03,              2.39
48.75,-117.25,2007,05,03,              2.39
48.75,-116.75,2007,05,03,              2.39
48.75,-116.25,2007,05,03,              2.39
49.25,-120.25,2007,05,03,              5.52
49.25,-119.75,2007,05,03,              3.88
49.25,-119.25,2007,05,03,              3.88
49.25,-118.75,2007,05,03,              3.88
49.25,-118.25,2007,05,03,              3.88
49.25,-117.75,2007,05,03,              2.15
49.25,-117.25,2007,05,03,              2.15
49.25,-116.75,2007,05,03,              2.15
49.25,-116.25,2007,05,03,              2.15
49.75,-120.25,2007,05,03,              5.52
49.75,-119.75,2007,05,03,              3.88
49.75,-119.25,2007,05,03,              3.88
49.75,-118.75,2007,05,03,              3.88
49.75,-118.25,2007,05,03,              3.88
49.75,-117.75,2007,05,03,              2.15
49.75,-117.25,2007,05,03,              2.15
49.75,-116.75,2007,05,03,              2.15
49.75,-116.25,2007,05,03,              2.15
50.25,-120.25,2007,05,03,              4.96
50.25,-119.75,2007,05,03,              3.51
50.25,-119.25,2007,05,03,              3.51
50.25,-118.75,2007,05,03,              3.51
50.25,-118.25,2007,05,03,              3.51
50.25,-117.75,2007,05,03,              3.55
50.25,-117.25,2007,05,03,              3.55
50.25,-116.75,2007,05,03,              3.55
50.25,-116.25,2007,05,03,              3.55
46.25,-120.25,2007,05,04,              4.53
46.25,-119.75,2007,05,04,              6.36
46.25,-119.25,2007,05,04,              6.36
46.25,-118.75,2007,05,04,              6.36
46.25,-118.25,2007,05,04,              6.36
46.25,-117.75,2007,05,04,              4.61
46.25,-117.25,2007,05,04,              4.61
46.25,-116.75,2007,05,04,              4.61
46.25,-116.25,2007,05,04,              4.61
46.75,-120.25,2007,05,04,              4.53
46.75,-119.75,2007,05,04,              6.36
46.75,-119.25,2007,05,04,              6.36
46.75,-118.75,2007,05,04,              6.36
46.75,-118.25,2007,05,04,              6.36
46.75,-117.75,2007,05,04,              4.61
46.75,-117.25,2007,05,04,              4.61
46.75,-116.75,2007,05,04,              4.61
46.75,-116.25,2007,05,04,              4.61
47.25,-120.25,2007,05,04,              3.85
47.25,-119.75,2007,05,04,              5.30
47.25,-119.25,2007,05,04,              5.30
47.25,-118.75,2007,05,04,              5.30
47.25,-118.25,2007,05,04,              5.30
47.25,-117.75,2007,05,04,              3.80
47.25,-117.25,2007,05,04,              3.80
47.25,-116.75,2007,05,04,              3.80
47.25,-116.25,2007,05,04,              3.80
47.75,-120.25,2007,05,04,              3.85
47.75,-119.75,2007,05,04,              5.30
47.75,-119.25,2007,05,04,              5.30
47.75,-118.75,2007,05,04,              5.30
47.75,-118.25,2007,05,04,              5.30
47.75,-117.75,2007,05,04,              3.80
47.75,-117.25,2007,05,04,              3.80
47.75,-116.75,2007,05,04,              3.80
47.75,-116.25,2007,05,04,              3.80
48.25,-120.25,2007,05,04,              4.48
48.25,-119.75,2007,05,04,              4.32
48.25,-119.25,2007,05,04,              4.32
48.25,-118.75,2007,05,04,              4.32
48.25,-118.25,2007,05,04,              4.32
48.25,-117.75,2007,05,04,              3.05
48.25,-117.25,2007,05,04,              3.05
48.25,-116.75,2007,05,04,              3.05
48.25,-116.25,2007,05,04,              3.05
48.75,-120.25,2007,05,04,              4.48
48.75,-119.75,2007,05,04,              4.32
48.75,-119.25,2007,05,04,              4.32
48.75,-118.75,2007,05,04,              4.32
48.75,-118.25,2007,05,04,              4.32
48.75,-117.75,2007,05,04,              3.05
48.75,-117.25,2007,05,04,              3.05
48.75,-116.75,2007,05,04,              3.05
48.75,-116.25,2007,05,04,              3.05
49.25,-120.25,2007,05,04,              5.59
49.25,-119.75,2007,05,04,              3.75
49.25,-119.25,2007,05,04,              3.75
49.25,-118.75,2007,05,04,              3.75
49.25,-118.25,2007,05,04,              3.75
49.25,-117.75,2007,05,04,              2.34
49.25,-117.25,2007,05,04,              2.34
49.25,-116.75,2007,05,04,              2.34
49.25,-116.25,2007,05,04,              2.34
49.75,-120.25,2007,05,04,              5.59
49.75,-119.75,2007,05,04,              3.75
49.75,-119.25,2007,05,04,              3.75
49.75,-118.75,2007,05,04,              3.75
49.75,-118.25,2007,05,04,              3.75
49.75,-117.75,2007,05,04,              2.34
49.75,-117.25,2007,05,04,              2.34
49.75,-116.75,2007,05,04,              2.34
49.75,-116.25,2007,05,04,              2.34
50.25,-120.25,2007,05,04,              4.60
50.25,-119.75,2007,05,04,              3.48
50.25,-119.25,2007,05,04,              3.48
50.25,-118.75,2007,05,04,              3.48
50.25,-118.25,2007,05,04,              3.48
50.25,-117.75,2007,05,04,              3.55
50.25,-117.25,2007,05,04,              3.55
50.25,-116.75,2007,05,04,              3.55
50.25,-116.25,2007,05,04,              3.55
46.25,-120.25,2007,05,05,              5.50
46.25,-119.75,2007,05,05,              7.21
46.25,-119.25,2007,05,05,              7.21
46.25,-118.75,2007,05,05,              7.21
46.25,-118.25,2007,05,05,              7.21
46.25,-117.75,2007,05,05,              6.61
46.25,-117.25,2007,05,05,              6.61
46.25,-116.75,2007,05,05,              6.61
46.25,-116.25,2007,05,05,              6.61
46.75,-120.25,2007,05,05,              5.50
46.75,-119.75,2007,05,05,              7.21
