-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-76.25,2007,05,01,              7.80
34.25,-75.75,2007,05,01,              7.78
34.25,-75.25,2007,05,01,              7.78
34.25,-74.75,2007,05,01,              7.86
34.25,-74.25,2007,05,01,              7.86
34.25,-73.75,2007,05,01,              7.83
34.25,-73.25,2007,05,01,              7.83
34.25,-72.75,2007,05,01,              7.78
34.25,-72.25,2007,05,01,              7.78
34.75,-76.25,2007,05,01,              7.80
34.75,-75.75,2007,05,01,              7.78
34.75,-75.25,2007,05,01,              7.78
34.75,-74.75,2007,05,01,              7.86
34.75,-74.25,2007,05,01,              7.86
34.75,-73.75,2007,05,01,              7.83
34.75,-73.25,2007,05,01,              7.83
34.75,-72.75,2007,05,01,              7.78
34.75,-72.25,2007,05,01,              7.78
35.25,-76.25,2007,05,01,              7.39
35.25,-75.75,2007,05,01,              7.44
35.25,-75.25,2007,05,01,              7.44
35.25,-74.75,2007,05,01,              7.83
35.25,-74.25,2007,05,01,              7.83
35.25,-73.75,2007,05,01,              7.90
35.25,-73.25,2007,05,01,              7.90
35.25,-72.75,2007,05,01,              7.82
35.25,-72.25,2007,05,01,              7.82
35.75,-76.25,2007,05,01,              7.39
35.75,-75.75,2007,05,01,              7.44
35.75,-75.25,2007,05,01,              7.44
35.75,-74.75,2007,05,01,              7.83
35.75,-74.25,2007,05,01,              7.83
