-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
42.25,-104.25,2007,05,01,              6.93
42.25,-103.75,2007,05,01,              6.84
42.25,-103.25,2007,05,01,              6.84
42.25,-102.75,2007,05,01,              7.20
42.25,-102.25,2007,05,01,              7.20
42.25,-101.75,2007,05,01,              7.40
42.25,-101.25,2007,05,01,              7.40
42.25,-100.75,2007,05,01,              7.05
42.25,-100.25,2007,05,01,              7.05
42.75,-104.25,2007,05,01,              6.93
42.75,-103.75,2007,05,01,              6.84
42.75,-103.25,2007,05,01,              6.84
42.75,-102.75,2007,05,01,              7.20
42.75,-102.25,2007,05,01,              7.20
42.75,-101.75,2007,05,01,              7.40
42.75,-101.25,2007,05,01,              7.40
42.75,-100.75,2007,05,01,              7.05
42.75,-100.25,2007,05,01,              7.05
43.25,-104.25,2007,05,01,              7.34
43.25,-103.75,2007,05,01,              6.96
43.25,-103.25,2007,05,01,              6.96
43.25,-102.75,2007,05,01,              7.45
43.25,-102.25,2007,05,01,              7.45
43.25,-101.75,2007,05,01,              7.53
43.25,-101.25,2007,05,01,              7.53
43.25,-100.75,2007,05,01,              7.51
43.25,-100.25,2007,05,01,              7.51
43.75,-104.25,2007,05,01,              7.34
43.75,-103.75,2007,05,01,              6.96
43.75,-103.25,2007,05,01,              6.96
43.75,-102.75,2007,05,01,              7.45
43.75,-102.25,2007,05,01,              7.45
43.75,-101.75,2007,05,01,              7.53
43.75,-101.25,2007,05,01,              7.53
43.75,-100.75,2007,05,01,              7.51
43.75,-100.25,2007,05,01,              7.51
44.25,-104.25,2007,05,01,              7.37
44.25,-103.75,2007,05,01,              7.29
44.25,-103.25,2007,05,01,              7.29
44.25,-102.75,2007,05,01,              7.59
44.25,-102.25,2007,05,01,              7.59
44.25,-101.75,2007,05,01,              7.49
44.25,-101.25,2007,05,01,              7.49
44.25,-100.75,2007,05,01,              7.66
44.25,-100.25,2007,05,01,              7.66
44.75,-104.25,2007,05,01,              7.37
44.75,-103.75,2007,05,01,              7.29
44.75,-103.25,2007,05,01,              7.29
44.75,-102.75,2007,05,01,              7.59
44.75,-102.25,2007,05,01,              7.59
44.75,-101.75,2007,05,01,              7.49
44.75,-101.25,2007,05,01,              7.49
44.75,-100.75,2007,05,01,              7.66
44.75,-100.25,2007,05,01,              7.66
45.25,-104.25,2007,05,01,              6.48
