-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-92.25,2007,05,01,              5.94
30.25,-91.75,2007,05,01,              6.24
30.25,-91.25,2007,05,01,              6.24
30.25,-90.75,2007,05,01,              6.69
30.25,-90.25,2007,05,01,              6.69
30.25,-89.75,2007,05,01,              6.87
30.25,-89.25,2007,05,01,              6.87
30.25,-88.75,2007,05,01,              7.30
30.25,-88.25,2007,05,01,              7.30
30.75,-92.25,2007,05,01,              5.94
30.75,-91.75,2007,05,01,              6.24
30.75,-91.25,2007,05,01,              6.24
30.75,-90.75,2007,05,01,              6.69
30.75,-90.25,2007,05,01,              6.69
30.75,-89.75,2007,05,01,              6.87
30.75,-89.25,2007,05,01,              6.87
30.75,-88.75,2007,05,01,              7.30
30.75,-88.25,2007,05,01,              7.30
31.25,-92.25,2007,05,01,              4.45
31.25,-91.75,2007,05,01,              5.37
31.25,-91.25,2007,05,01,              5.37
31.25,-90.75,2007,05,01,              6.66
31.25,-90.25,2007,05,01,              6.66
31.25,-89.75,2007,05,01,              6.55
31.25,-89.25,2007,05,01,              6.55
31.25,-88.75,2007,05,01,              6.66
31.25,-88.25,2007,05,01,              6.66
31.75,-92.25,2007,05,01,              4.45
31.75,-91.75,2007,05,01,              5.37
31.75,-91.25,2007,05,01,              5.37
31.75,-90.75,2007,05,01,              6.66
31.75,-90.25,2007,05,01,              6.66
31.75,-89.75,2007,05,01,              6.55
31.75,-89.25,2007,05,01,              6.55
31.75,-88.75,2007,05,01,              6.66
31.75,-88.25,2007,05,01,              6.66
32.25,-92.25,2007,05,01,              4.14
32.25,-91.75,2007,05,01,              5.22
32.25,-91.25,2007,05,01,              5.22
32.25,-90.75,2007,05,01,              6.99
32.25,-90.25,2007,05,01,              6.99
32.25,-89.75,2007,05,01,              6.37
32.25,-89.25,2007,05,01,              6.37
32.25,-88.75,2007,05,01,              6.82
32.25,-88.25,2007,05,01,              6.82
32.75,-92.25,2007,05,01,              4.14
32.75,-91.75,2007,05,01,              5.22
32.75,-91.25,2007,05,01,              5.22
32.75,-90.75,2007,05,01,              6.99
32.75,-90.25,2007,05,01,              6.99
32.75,-89.75,2007,05,01,              6.37
32.75,-89.25,2007,05,01,              6.37
32.75,-88.75,2007,05,01,              6.82
32.75,-88.25,2007,05,01,              6.82
33.25,-92.25,2007,05,01,              3.21
33.25,-91.75,2007,05,01,              5.22
33.25,-91.25,2007,05,01,              5.22
33.25,-90.75,2007,05,01,              5.97
33.25,-90.25,2007,05,01,              5.97
33.25,-89.75,2007,05,01,              6.39
33.25,-89.25,2007,05,01,              6.39
33.25,-88.75,2007,05,01,              6.79
33.25,-88.25,2007,05,01,              6.79
33.75,-92.25,2007,05,01,              3.21
33.75,-91.75,2007,05,01,              5.22
33.75,-91.25,2007,05,01,              5.22
33.75,-90.75,2007,05,01,              5.97
33.75,-90.25,2007,05,01,              5.97
33.75,-89.75,2007,05,01,              6.39
33.75,-89.25,2007,05,01,              6.39
33.75,-88.75,2007,05,01,              6.79
33.75,-88.25,2007,05,01,              6.79
34.25,-92.25,2007,05,01,              3.69
34.25,-91.75,2007,05,01,              4.64
34.25,-91.25,2007,05,01,              4.64
34.25,-90.75,2007,05,01,              5.52
34.25,-90.25,2007,05,01,              5.52
34.25,-89.75,2007,05,01,              6.57
34.25,-89.25,2007,05,01,              6.57
34.25,-88.75,2007,05,01,              6.40
34.25,-88.25,2007,05,01,              6.40
30.25,-92.25,2007,05,02,              5.32
30.25,-91.75,2007,05,02,              5.59
30.25,-91.25,2007,05,02,              5.59
30.25,-90.75,2007,05,02,              4.73
30.25,-90.25,2007,05,02,              4.73
30.25,-89.75,2007,05,02,              5.84
30.25,-89.25,2007,05,02,              5.84
30.25,-88.75,2007,05,02,              5.92
30.25,-88.25,2007,05,02,              5.92
30.75,-92.25,2007,05,02,              5.32
30.75,-91.75,2007,05,02,              5.59
30.75,-91.25,2007,05,02,              5.59
30.75,-90.75,2007,05,02,              4.73
30.75,-90.25,2007,05,02,              4.73
30.75,-89.75,2007,05,02,              5.84
30.75,-89.25,2007,05,02,              5.84
30.75,-88.75,2007,05,02,              5.92
30.75,-88.25,2007,05,02,              5.92
31.25,-92.25,2007,05,02,              5.28
31.25,-91.75,2007,05,02,              4.53
31.25,-91.25,2007,05,02,              4.53
31.25,-90.75,2007,05,02,              4.22
31.25,-90.25,2007,05,02,              4.22
31.25,-89.75,2007,05,02,              4.87
31.25,-89.25,2007,05,02,              4.87
31.25,-88.75,2007,05,02,              5.41
31.25,-88.25,2007,05,02,              5.41
31.75,-92.25,2007,05,02,              5.28
31.75,-91.75,2007,05,02,              4.53
31.75,-91.25,2007,05,02,              4.53
31.75,-90.75,2007,05,02,              4.22
31.75,-90.25,2007,05,02,              4.22
31.75,-89.75,2007,05,02,              4.87
31.75,-89.25,2007,05,02,              4.87
31.75,-88.75,2007,05,02,              5.41
31.75,-88.25,2007,05,02,              5.41
32.25,-92.25,2007,05,02,              4.87
32.25,-91.75,2007,05,02,              4.38
32.25,-91.25,2007,05,02,              4.38
32.25,-90.75,2007,05,02,              3.31
32.25,-90.25,2007,05,02,              3.31
32.25,-89.75,2007,05,02,              3.07
32.25,-89.25,2007,05,02,              3.07
32.25,-88.75,2007,05,02,              4.66
32.25,-88.25,2007,05,02,              4.66
32.75,-92.25,2007,05,02,              4.87
32.75,-91.75,2007,05,02,              4.38
32.75,-91.25,2007,05,02,              4.38
32.75,-90.75,2007,05,02,              3.31
32.75,-90.25,2007,05,02,              3.31
32.75,-89.75,2007,05,02,              3.07
32.75,-89.25,2007,05,02,              3.07
32.75,-88.75,2007,05,02,              4.66
32.75,-88.25,2007,05,02,              4.66
33.25,-92.25,2007,05,02,              2.25
33.25,-91.75,2007,05,02,              3.08
33.25,-91.25,2007,05,02,              3.08
33.25,-90.75,2007,05,02,              3.54
33.25,-90.25,2007,05,02,              3.54
33.25,-89.75,2007,05,02,              2.47
33.25,-89.25,2007,05,02,              2.47
33.25,-88.75,2007,05,02,              3.53
33.25,-88.25,2007,05,02,              3.53
33.75,-92.25,2007,05,02,              2.25
33.75,-91.75,2007,05,02,              3.08
33.75,-91.25,2007,05,02,              3.08
33.75,-90.75,2007,05,02,              3.54
33.75,-90.25,2007,05,02,              3.54
33.75,-89.75,2007,05,02,              2.47
33.75,-89.25,2007,05,02,              2.47
33.75,-88.75,2007,05,02,              3.53
33.75,-88.25,2007,05,02,              3.53
34.25,-92.25,2007,05,02,              1.72
34.25,-91.75,2007,05,02,              2.18
34.25,-91.25,2007,05,02,              2.18
34.25,-90.75,2007,05,02,              1.45
34.25,-90.25,2007,05,02,              1.45
34.25,-89.75,2007,05,02,              1.98
34.25,-89.25,2007,05,02,              1.98
34.25,-88.75,2007,05,02,              2.27
34.25,-88.25,2007,05,02,              2.27
30.25,-92.25,2007,05,03,              5.42
