-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-88.25,2007,05,01,              4.57
38.25,-87.75,2007,05,01,              5.18
38.25,-87.25,2007,05,01,              5.18
38.25,-86.75,2007,05,01,              5.46
38.25,-86.25,2007,05,01,              5.46
38.25,-85.75,2007,05,01,              5.27
38.25,-85.25,2007,05,01,              5.27
38.25,-84.75,2007,05,01,              5.92
38.25,-84.25,2007,05,01,              5.92
38.75,-88.25,2007,05,01,              4.57
38.75,-87.75,2007,05,01,              5.18
38.75,-87.25,2007,05,01,              5.18
38.75,-86.75,2007,05,01,              5.46
38.75,-86.25,2007,05,01,              5.46
38.75,-85.75,2007,05,01,              5.27
38.75,-85.25,2007,05,01,              5.27
38.75,-84.75,2007,05,01,              5.92
38.75,-84.25,2007,05,01,              5.92
39.25,-88.25,2007,05,01,              3.40
39.25,-87.75,2007,05,01,              4.61
39.25,-87.25,2007,05,01,              4.61
39.25,-86.75,2007,05,01,              5.18
39.25,-86.25,2007,05,01,              5.18
39.25,-85.75,2007,05,01,              5.29
39.25,-85.25,2007,05,01,              5.29
39.25,-84.75,2007,05,01,              5.91
39.25,-84.25,2007,05,01,              5.91
39.75,-88.25,2007,05,01,              3.40
39.75,-87.75,2007,05,01,              4.61
39.75,-87.25,2007,05,01,              4.61
39.75,-86.75,2007,05,01,              5.18
39.75,-86.25,2007,05,01,              5.18
39.75,-85.75,2007,05,01,              5.29
39.75,-85.25,2007,05,01,              5.29
39.75,-84.75,2007,05,01,              5.91
39.75,-84.25,2007,05,01,              5.91
40.25,-88.25,2007,05,01,              4.74
40.25,-87.75,2007,05,01,              4.48
40.25,-87.25,2007,05,01,              4.48
40.25,-86.75,2007,05,01,              5.91
40.25,-86.25,2007,05,01,              5.91
40.25,-85.75,2007,05,01,              5.00
40.25,-85.25,2007,05,01,              5.00
40.25,-84.75,2007,05,01,              5.31
40.25,-84.25,2007,05,01,              5.31
40.75,-88.25,2007,05,01,              4.74
40.75,-87.75,2007,05,01,              4.48
40.75,-87.25,2007,05,01,              4.48
40.75,-86.75,2007,05,01,              5.91
40.75,-86.25,2007,05,01,              5.91
40.75,-85.75,2007,05,01,              5.00
40.75,-85.25,2007,05,01,              5.00
40.75,-84.75,2007,05,01,              5.31
40.75,-84.25,2007,05,01,              5.31
41.25,-88.25,2007,05,01,              5.67
41.25,-87.75,2007,05,01,              5.67
41.25,-87.25,2007,05,01,              5.67
41.25,-86.75,2007,05,01,              5.56
41.25,-86.25,2007,05,01,              5.56
41.25,-85.75,2007,05,01,              5.11
41.25,-85.25,2007,05,01,              5.11
41.25,-84.75,2007,05,01,              5.02
41.25,-84.25,2007,05,01,              5.02
41.75,-88.25,2007,05,01,              5.67
41.75,-87.75,2007,05,01,              5.67
41.75,-87.25,2007,05,01,              5.67
41.75,-86.75,2007,05,01,              5.56
41.75,-86.25,2007,05,01,              5.56
41.75,-85.75,2007,05,01,              5.11
41.75,-85.25,2007,05,01,              5.11
41.75,-84.75,2007,05,01,              5.02
41.75,-84.25,2007,05,01,              5.02
42.25,-88.25,2007,05,01,              6.25
42.25,-87.75,2007,05,01,              5.76
42.25,-87.25,2007,05,01,              5.76
42.25,-86.75,2007,05,01,              5.36
42.25,-86.25,2007,05,01,              5.36
42.25,-85.75,2007,05,01,              3.82
42.25,-85.25,2007,05,01,              3.82
42.25,-84.75,2007,05,01,              3.03
42.25,-84.25,2007,05,01,              3.03
38.25,-88.25,2007,05,02,              1.27
38.25,-87.75,2007,05,02,              1.55
38.25,-87.25,2007,05,02,              1.55
38.25,-86.75,2007,05,02,              2.56
38.25,-86.25,2007,05,02,              2.56
38.25,-85.75,2007,05,02,              2.33
38.25,-85.25,2007,05,02,              2.33
38.25,-84.75,2007,05,02,              2.16
38.25,-84.25,2007,05,02,              2.16
38.75,-88.25,2007,05,02,              1.27
38.75,-87.75,2007,05,02,              1.55
38.75,-87.25,2007,05,02,              1.55
38.75,-86.75,2007,05,02,              2.56
38.75,-86.25,2007,05,02,              2.56
38.75,-85.75,2007,05,02,              2.33
38.75,-85.25,2007,05,02,              2.33
38.75,-84.75,2007,05,02,              2.16
38.75,-84.25,2007,05,02,              2.16
39.25,-88.25,2007,05,02,              1.33
39.25,-87.75,2007,05,02,              1.80
39.25,-87.25,2007,05,02,              1.80
39.25,-86.75,2007,05,02,              1.15
39.25,-86.25,2007,05,02,              1.15
39.25,-85.75,2007,05,02,              2.18
39.25,-85.25,2007,05,02,              2.18
39.25,-84.75,2007,05,02,              1.87
39.25,-84.25,2007,05,02,              1.87
39.75,-88.25,2007,05,02,              1.33
39.75,-87.75,2007,05,02,              1.80
39.75,-87.25,2007,05,02,              1.80
39.75,-86.75,2007,05,02,              1.15
39.75,-86.25,2007,05,02,              1.15
39.75,-85.75,2007,05,02,              2.18
39.75,-85.25,2007,05,02,              2.18
39.75,-84.75,2007,05,02,              1.87
39.75,-84.25,2007,05,02,              1.87
40.25,-88.25,2007,05,02,              2.48
40.25,-87.75,2007,05,02,              2.64
40.25,-87.25,2007,05,02,              2.64
40.25,-86.75,2007,05,02,              3.00
40.25,-86.25,2007,05,02,              3.00
40.25,-85.75,2007,05,02,              4.28
40.25,-85.25,2007,05,02,              4.28
40.25,-84.75,2007,05,02,              4.75
40.25,-84.25,2007,05,02,              4.75
40.75,-88.25,2007,05,02,              2.48
40.75,-87.75,2007,05,02,              2.64
40.75,-87.25,2007,05,02,              2.64
40.75,-86.75,2007,05,02,              3.00
40.75,-86.25,2007,05,02,              3.00
40.75,-85.75,2007,05,02,              4.28
40.75,-85.25,2007,05,02,              4.28
40.75,-84.75,2007,05,02,              4.75
40.75,-84.25,2007,05,02,              4.75
41.25,-88.25,2007,05,02,              5.80
41.25,-87.75,2007,05,02,              5.86
41.25,-87.25,2007,05,02,              5.86
41.25,-86.75,2007,05,02,              5.47
41.25,-86.25,2007,05,02,              5.47
41.25,-85.75,2007,05,02,              5.34
41.25,-85.25,2007,05,02,              5.34
41.25,-84.75,2007,05,02,              4.65
41.25,-84.25,2007,05,02,              4.65
41.75,-88.25,2007,05,02,              5.80
41.75,-87.75,2007,05,02,              5.86
41.75,-87.25,2007,05,02,              5.86
41.75,-86.75,2007,05,02,              5.47
41.75,-86.25,2007,05,02,              5.47
41.75,-85.75,2007,05,02,              5.34
41.75,-85.25,2007,05,02,              5.34
41.75,-84.75,2007,05,02,              4.65
41.75,-84.25,2007,05,02,              4.65
42.25,-88.25,2007,05,02,              6.58
42.25,-87.75,2007,05,02,              6.62
42.25,-87.25,2007,05,02,              6.62
42.25,-86.75,2007,05,02,              7.19
42.25,-86.25,2007,05,02,              7.19
42.25,-85.75,2007,05,02,              6.52
42.25,-85.25,2007,05,02,              6.52
42.25,-84.75,2007,05,02,              5.39
42.25,-84.25,2007,05,02,              5.39
38.25,-88.25,2007,05,03,              0.93
38.25,-87.75,2007,05,03,              1.33
38.25,-87.25,2007,05,03,              1.33
38.25,-86.75,2007,05,03,              2.21
38.25,-86.25,2007,05,03,              2.21
38.25,-85.75,2007,05,03,              1.91
38.25,-85.25,2007,05,03,              1.91
38.25,-84.75,2007,05,03,              1.23
