-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-108.25,2007,05,01,              5.30
34.25,-107.75,2007,05,01,              4.93
34.25,-107.25,2007,05,01,              4.93
34.25,-106.75,2007,05,01,              5.72
34.25,-106.25,2007,05,01,              5.72
34.25,-105.75,2007,05,01,              5.30
34.25,-105.25,2007,05,01,              5.30
34.25,-104.75,2007,05,01,              7.25
34.25,-104.25,2007,05,01,              7.25
34.75,-108.25,2007,05,01,              5.30
34.75,-107.75,2007,05,01,              4.93
34.75,-107.25,2007,05,01,              4.93
34.75,-106.75,2007,05,01,              5.72
34.75,-106.25,2007,05,01,              5.72
34.75,-105.75,2007,05,01,              5.30
34.75,-105.25,2007,05,01,              5.30
34.75,-104.75,2007,05,01,              7.25
34.75,-104.25,2007,05,01,              7.25
35.25,-108.25,2007,05,01,              4.86
35.25,-107.75,2007,05,01,              5.42
35.25,-107.25,2007,05,01,              5.42
35.25,-106.75,2007,05,01,              6.09
35.25,-106.25,2007,05,01,              6.09
35.25,-105.75,2007,05,01,              6.28
35.25,-105.25,2007,05,01,              6.28
35.25,-104.75,2007,05,01,              5.79
35.25,-104.25,2007,05,01,              5.79
35.75,-108.25,2007,05,01,              4.86
35.75,-107.75,2007,05,01,              5.42
35.75,-107.25,2007,05,01,              5.42
35.75,-106.75,2007,05,01,              6.09
35.75,-106.25,2007,05,01,              6.09
35.75,-105.75,2007,05,01,              6.28
35.75,-105.25,2007,05,01,              6.28
35.75,-104.75,2007,05,01,              5.79
35.75,-104.25,2007,05,01,              5.79
36.25,-108.25,2007,05,01,              5.69
36.25,-107.75,2007,05,01,              5.46
36.25,-107.25,2007,05,01,              5.46
36.25,-106.75,2007,05,01,              5.07
36.25,-106.25,2007,05,01,              5.07
36.25,-105.75,2007,05,01,              5.16
36.25,-105.25,2007,05,01,              5.16
36.25,-104.75,2007,05,01,              4.63
36.25,-104.25,2007,05,01,              4.63
36.75,-108.25,2007,05,01,              5.69
36.75,-107.75,2007,05,01,              5.46
36.75,-107.25,2007,05,01,              5.46
36.75,-106.75,2007,05,01,              5.07
36.75,-106.25,2007,05,01,              5.07
36.75,-105.75,2007,05,01,              5.16
36.75,-105.25,2007,05,01,              5.16
36.75,-104.75,2007,05,01,              4.63
36.75,-104.25,2007,05,01,              4.63
37.25,-108.25,2007,05,01,              4.83
37.25,-107.75,2007,05,01,              5.13
37.25,-107.25,2007,05,01,              5.13
37.25,-106.75,2007,05,01,              5.30
37.25,-106.25,2007,05,01,              5.30
37.25,-105.75,2007,05,01,              6.13
37.25,-105.25,2007,05,01,              6.13
37.25,-104.75,2007,05,01,              5.33
37.25,-104.25,2007,05,01,              5.33
37.75,-108.25,2007,05,01,              4.83
37.75,-107.75,2007,05,01,              5.13
37.75,-107.25,2007,05,01,              5.13
37.75,-106.75,2007,05,01,              5.30
37.75,-106.25,2007,05,01,              5.30
37.75,-105.75,2007,05,01,              6.13
37.75,-105.25,2007,05,01,              6.13
37.75,-104.75,2007,05,01,              5.33
37.75,-104.25,2007,05,01,              5.33
38.25,-108.25,2007,05,01,              5.06
38.25,-107.75,2007,05,01,              4.89
38.25,-107.25,2007,05,01,              4.89
38.25,-106.75,2007,05,01,              4.34
