-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-84.25,2007,05,01,              8.09
26.25,-83.75,2007,05,01,              8.09
26.25,-83.25,2007,05,01,              8.09
26.25,-82.75,2007,05,01,              7.79
26.25,-82.25,2007,05,01,              7.79
26.25,-81.75,2007,05,01,              7.08
26.25,-81.25,2007,05,01,              7.08
26.25,-80.75,2007,05,01,              6.60
26.25,-80.25,2007,05,01,              6.60
26.75,-84.25,2007,05,01,              8.09
26.75,-83.75,2007,05,01,              8.09
26.75,-83.25,2007,05,01,              8.09
26.75,-82.75,2007,05,01,              7.79
26.75,-82.25,2007,05,01,              7.79
26.75,-81.75,2007,05,01,              7.08
26.75,-81.25,2007,05,01,              7.08
26.75,-80.75,2007,05,01,              6.60
26.75,-80.25,2007,05,01,              6.60
27.25,-84.25,2007,05,01,              7.81
27.25,-83.75,2007,05,01,              7.94
27.25,-83.25,2007,05,01,              7.94
27.25,-82.75,2007,05,01,              7.55
27.25,-82.25,2007,05,01,              7.55
27.25,-81.75,2007,05,01,              6.90
27.25,-81.25,2007,05,01,              6.90
27.25,-80.75,2007,05,01,              6.74
27.25,-80.25,2007,05,01,              6.74
27.75,-84.25,2007,05,01,              7.81
27.75,-83.75,2007,05,01,              7.94
27.75,-83.25,2007,05,01,              7.94
27.75,-82.75,2007,05,01,              7.55
27.75,-82.25,2007,05,01,              7.55
27.75,-81.75,2007,05,01,              6.90
27.75,-81.25,2007,05,01,              6.90
27.75,-80.75,2007,05,01,              6.74
27.75,-80.25,2007,05,01,              6.74
28.25,-84.25,2007,05,01,              7.95
28.25,-83.75,2007,05,01,              7.70
28.25,-83.25,2007,05,01,              7.70
28.25,-82.75,2007,05,01,              7.14
28.25,-82.25,2007,05,01,              7.14
28.25,-81.75,2007,05,01,              6.96
28.25,-81.25,2007,05,01,              6.96
28.25,-80.75,2007,05,01,              7.09
28.25,-80.25,2007,05,01,              7.09
28.75,-84.25,2007,05,01,              7.95
28.75,-83.75,2007,05,01,              7.70
28.75,-83.25,2007,05,01,              7.70
28.75,-82.75,2007,05,01,              7.14
28.75,-82.25,2007,05,01,              7.14
28.75,-81.75,2007,05,01,              6.96
28.75,-81.25,2007,05,01,              6.96
28.75,-80.75,2007,05,01,              7.09
28.75,-80.25,2007,05,01,              7.09
29.25,-84.25,2007,05,01,              7.82
29.25,-83.75,2007,05,01,              7.90
29.25,-83.25,2007,05,01,              7.90
