-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-104.25,2007,05,01,              7.25
34.25,-103.75,2007,05,01,              7.41
34.25,-103.25,2007,05,01,              7.41
34.25,-102.75,2007,05,01,              7.43
34.25,-102.25,2007,05,01,              7.43
34.25,-101.75,2007,05,01,              7.04
34.25,-101.25,2007,05,01,              7.04
34.25,-100.75,2007,05,01,              6.39
34.25,-100.25,2007,05,01,              6.39
34.75,-104.25,2007,05,01,              7.25
34.75,-103.75,2007,05,01,              7.41
34.75,-103.25,2007,05,01,              7.41
34.75,-102.75,2007,05,01,              7.43
34.75,-102.25,2007,05,01,              7.43
34.75,-101.75,2007,05,01,              7.04
34.75,-101.25,2007,05,01,              7.04
34.75,-100.75,2007,05,01,              6.39
34.75,-100.25,2007,05,01,              6.39
35.25,-104.25,2007,05,01,              5.79
35.25,-103.75,2007,05,01,              7.21
35.25,-103.25,2007,05,01,              7.21
35.25,-102.75,2007,05,01,              6.90
35.25,-102.25,2007,05,01,              6.90
35.25,-101.75,2007,05,01,              6.36
35.25,-101.25,2007,05,01,              6.36
35.25,-100.75,2007,05,01,              5.78
35.25,-100.25,2007,05,01,              5.78
35.75,-104.25,2007,05,01,              5.79
35.75,-103.75,2007,05,01,              7.21
35.75,-103.25,2007,05,01,              7.21
35.75,-102.75,2007,05,01,              6.90
35.75,-102.25,2007,05,01,              6.90
35.75,-101.75,2007,05,01,              6.36
35.75,-101.25,2007,05,01,              6.36
35.75,-100.75,2007,05,01,              5.78
35.75,-100.25,2007,05,01,              5.78
36.25,-104.25,2007,05,01,              4.63
36.25,-103.75,2007,05,01,              5.71
36.25,-103.25,2007,05,01,              5.71
36.25,-102.75,2007,05,01,              6.52
36.25,-102.25,2007,05,01,              6.52
36.25,-101.75,2007,05,01,              5.97
36.25,-101.25,2007,05,01,              5.97
36.25,-100.75,2007,05,01,              3.93
36.25,-100.25,2007,05,01,              3.93
36.75,-104.25,2007,05,01,              4.63
36.75,-103.75,2007,05,01,              5.71
36.75,-103.25,2007,05,01,              5.71
36.75,-102.75,2007,05,01,              6.52
36.75,-102.25,2007,05,01,              6.52
36.75,-101.75,2007,05,01,              5.97
36.75,-101.25,2007,05,01,              5.97
36.75,-100.75,2007,05,01,              3.93
36.75,-100.25,2007,05,01,              3.93
37.25,-104.25,2007,05,01,              5.33
