-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-120.25,2007,05,01,              6.56
38.25,-119.75,2007,05,01,              6.86
38.25,-119.25,2007,05,01,              6.86
38.25,-118.75,2007,05,01,              6.75
38.25,-118.25,2007,05,01,              6.75
38.25,-117.75,2007,05,01,              6.76
38.25,-117.25,2007,05,01,              6.76
38.25,-116.75,2007,05,01,              6.88
38.25,-116.25,2007,05,01,              6.88
38.75,-120.25,2007,05,01,              6.56
38.75,-119.75,2007,05,01,              6.86
38.75,-119.25,2007,05,01,              6.86
38.75,-118.75,2007,05,01,              6.75
38.75,-118.25,2007,05,01,              6.75
38.75,-117.75,2007,05,01,              6.76
38.75,-117.25,2007,05,01,              6.76
38.75,-116.75,2007,05,01,              6.88
38.75,-116.25,2007,05,01,              6.88
39.25,-120.25,2007,05,01,              5.56
39.25,-119.75,2007,05,01,              6.26
39.25,-119.25,2007,05,01,              6.26
39.25,-118.75,2007,05,01,              7.00
39.25,-118.25,2007,05,01,              7.00
39.25,-117.75,2007,05,01,              7.91
39.25,-117.25,2007,05,01,              7.91
39.25,-116.75,2007,05,01,              7.83
39.25,-116.25,2007,05,01,              7.83
39.75,-120.25,2007,05,01,              5.56
39.75,-119.75,2007,05,01,              6.26
39.75,-119.25,2007,05,01,              6.26
39.75,-118.75,2007,05,01,              7.00
39.75,-118.25,2007,05,01,              7.00
39.75,-117.75,2007,05,01,              7.91
39.75,-117.25,2007,05,01,              7.91
39.75,-116.75,2007,05,01,              7.83
39.75,-116.25,2007,05,01,              7.83
40.25,-120.25,2007,05,01,              4.71
40.25,-119.75,2007,05,01,              6.16
40.25,-119.25,2007,05,01,              6.16
40.25,-118.75,2007,05,01,              6.46
40.25,-118.25,2007,05,01,              6.46
40.25,-117.75,2007,05,01,              7.86
40.25,-117.25,2007,05,01,              7.86
40.25,-116.75,2007,05,01,              8.22
40.25,-116.25,2007,05,01,              8.22
40.75,-120.25,2007,05,01,              4.71
40.75,-119.75,2007,05,01,              6.16
40.75,-119.25,2007,05,01,              6.16
40.75,-118.75,2007,05,01,              6.46
40.75,-118.25,2007,05,01,              6.46
40.75,-117.75,2007,05,01,              7.86
40.75,-117.25,2007,05,01,              7.86
40.75,-116.75,2007,05,01,              8.22
40.75,-116.25,2007,05,01,              8.22
41.25,-120.25,2007,05,01,              3.76
41.25,-119.75,2007,05,01,              6.42
41.25,-119.25,2007,05,01,              6.42
41.25,-118.75,2007,05,01,              6.72
41.25,-118.25,2007,05,01,              6.72
41.25,-117.75,2007,05,01,              7.88
41.25,-117.25,2007,05,01,              7.88
41.25,-116.75,2007,05,01,              7.90
41.25,-116.25,2007,05,01,              7.90
41.75,-120.25,2007,05,01,              3.76
41.75,-119.75,2007,05,01,              6.42
41.75,-119.25,2007,05,01,              6.42
41.75,-118.75,2007,05,01,              6.72
41.75,-118.25,2007,05,01,              6.72
41.75,-117.75,2007,05,01,              7.88
41.75,-117.25,2007,05,01,              7.88
41.75,-116.75,2007,05,01,              7.90
41.75,-116.25,2007,05,01,              7.90
42.25,-120.25,2007,05,01,              2.73
42.25,-119.75,2007,05,01,              4.12
42.25,-119.25,2007,05,01,              4.12
42.25,-118.75,2007,05,01,              6.29
42.25,-118.25,2007,05,01,              6.29
42.25,-117.75,2007,05,01,              6.67
42.25,-117.25,2007,05,01,              6.67
42.25,-116.75,2007,05,01,              6.91
42.25,-116.25,2007,05,01,              6.91
38.25,-120.25,2007,05,02,              3.46
38.25,-119.75,2007,05,02,              3.68
38.25,-119.25,2007,05,02,              3.68
38.25,-118.75,2007,05,02,              4.90
38.25,-118.25,2007,05,02,              4.90
38.25,-117.75,2007,05,02,              5.08
38.25,-117.25,2007,05,02,              5.08
38.25,-116.75,2007,05,02,              4.69
38.25,-116.25,2007,05,02,              4.69
38.75,-120.25,2007,05,02,              3.46
38.75,-119.75,2007,05,02,              3.68
38.75,-119.25,2007,05,02,              3.68
38.75,-118.75,2007,05,02,              4.90
38.75,-118.25,2007,05,02,              4.90
38.75,-117.75,2007,05,02,              5.08
38.75,-117.25,2007,05,02,              5.08
38.75,-116.75,2007,05,02,              4.69
38.75,-116.25,2007,05,02,              4.69
39.25,-120.25,2007,05,02,              3.99
39.25,-119.75,2007,05,02,              4.27
39.25,-119.25,2007,05,02,              4.27
39.25,-118.75,2007,05,02,              3.85
39.25,-118.25,2007,05,02,              3.85
39.25,-117.75,2007,05,02,              3.33
39.25,-117.25,2007,05,02,              3.33
39.25,-116.75,2007,05,02,              5.03
39.25,-116.25,2007,05,02,              5.03
39.75,-120.25,2007,05,02,              3.99
39.75,-119.75,2007,05,02,              4.27
39.75,-119.25,2007,05,02,              4.27
39.75,-118.75,2007,05,02,              3.85
39.75,-118.25,2007,05,02,              3.85
39.75,-117.75,2007,05,02,              3.33
39.75,-117.25,2007,05,02,              3.33
39.75,-116.75,2007,05,02,              5.03
39.75,-116.25,2007,05,02,              5.03
40.25,-120.25,2007,05,02,              4.15
40.25,-119.75,2007,05,02,              3.96
40.25,-119.25,2007,05,02,              3.96
40.25,-118.75,2007,05,02,              3.90
40.25,-118.25,2007,05,02,              3.90
40.25,-117.75,2007,05,02,              2.80
40.25,-117.25,2007,05,02,              2.80
40.25,-116.75,2007,05,02,              3.81
40.25,-116.25,2007,05,02,              3.81
40.75,-120.25,2007,05,02,              4.15
40.75,-119.75,2007,05,02,              3.96
40.75,-119.25,2007,05,02,              3.96
40.75,-118.75,2007,05,02,              3.90
40.75,-118.25,2007,05,02,              3.90
40.75,-117.75,2007,05,02,              2.80
40.75,-117.25,2007,05,02,              2.80
40.75,-116.75,2007,05,02,              3.81
40.75,-116.25,2007,05,02,              3.81
41.25,-120.25,2007,05,02,              4.95
41.25,-119.75,2007,05,02,              4.98
41.25,-119.25,2007,05,02,              4.98
41.25,-118.75,2007,05,02,              4.32
41.25,-118.25,2007,05,02,              4.32
41.25,-117.75,2007,05,02,              3.18
41.25,-117.25,2007,05,02,              3.18
41.25,-116.75,2007,05,02,              2.04
41.25,-116.25,2007,05,02,              2.04
41.75,-120.25,2007,05,02,              4.95
41.75,-119.75,2007,05,02,              4.98
41.75,-119.25,2007,05,02,              4.98
41.75,-118.75,2007,05,02,              4.32
41.75,-118.25,2007,05,02,              4.32
41.75,-117.75,2007,05,02,              3.18
41.75,-117.25,2007,05,02,              3.18
41.75,-116.75,2007,05,02,              2.04
41.75,-116.25,2007,05,02,              2.04
42.25,-120.25,2007,05,02,              4.39
42.25,-119.75,2007,05,02,              4.70
42.25,-119.25,2007,05,02,              4.70
42.25,-118.75,2007,05,02,              4.84
42.25,-118.25,2007,05,02,              4.84
42.25,-117.75,2007,05,02,              3.04
42.25,-117.25,2007,05,02,              3.04
42.25,-116.75,2007,05,02,              2.47
42.25,-116.25,2007,05,02,              2.47
38.25,-120.25,2007,05,03,              5.34
38.25,-119.75,2007,05,03,              5.25
38.25,-119.25,2007,05,03,              5.25
38.25,-118.75,2007,05,03,              6.71
38.25,-118.25,2007,05,03,              6.71
38.25,-117.75,2007,05,03,              7.21
38.25,-117.25,2007,05,03,              7.21
38.25,-116.75,2007,05,03,              7.05
38.25,-116.25,2007,05,03,              7.05
38.75,-120.25,2007,05,03,              5.34
38.75,-119.75,2007,05,03,              5.25
38.75,-119.25,2007,05,03,              5.25
38.75,-118.75,2007,05,03,              6.71
38.75,-118.25,2007,05,03,              6.71
38.75,-117.75,2007,05,03,              7.21
38.75,-117.25,2007,05,03,              7.21
38.75,-116.75,2007,05,03,              7.05
38.75,-116.25,2007,05,03,              7.05
39.25,-120.25,2007,05,03,              5.39
39.25,-119.75,2007,05,03,              5.76
39.25,-119.25,2007,05,03,              5.76
39.25,-118.75,2007,05,03,              6.80
39.25,-118.25,2007,05,03,              6.80
39.25,-117.75,2007,05,03,              6.26
39.25,-117.25,2007,05,03,              6.26
39.25,-116.75,2007,05,03,              5.83
39.25,-116.25,2007,05,03,              5.83
39.75,-120.25,2007,05,03,              5.39
39.75,-119.75,2007,05,03,              5.76
39.75,-119.25,2007,05,03,              5.76
39.75,-118.75,2007,05,03,              6.80
39.75,-118.25,2007,05,03,              6.80
39.75,-117.75,2007,05,03,              6.26
39.75,-117.25,2007,05,03,              6.26
39.75,-116.75,2007,05,03,              5.83
39.75,-116.25,2007,05,03,              5.83
40.25,-120.25,2007,05,03,              5.68
40.25,-119.75,2007,05,03,              5.59
40.25,-119.25,2007,05,03,              5.59
40.25,-118.75,2007,05,03,              5.78
40.25,-118.25,2007,05,03,              5.78
40.25,-117.75,2007,05,03,              5.66
40.25,-117.25,2007,05,03,              5.66
40.25,-116.75,2007,05,03,              4.96
40.25,-116.25,2007,05,03,              4.96
40.75,-120.25,2007,05,03,              5.68
40.75,-119.75,2007,05,03,              5.59
40.75,-119.25,2007,05,03,              5.59
40.75,-118.75,2007,05,03,              5.78
40.75,-118.25,2007,05,03,              5.78
40.75,-117.75,2007,05,03,              5.66
40.75,-117.25,2007,05,03,              5.66
40.75,-116.75,2007,05,03,              4.96
40.75,-116.25,2007,05,03,              4.96
41.25,-120.25,2007,05,03,              6.09
41.25,-119.75,2007,05,03,              5.82
41.25,-119.25,2007,05,03,              5.82
41.25,-118.75,2007,05,03,              5.86
41.25,-118.25,2007,05,03,              5.86
41.25,-117.75,2007,05,03,              5.32
41.25,-117.25,2007,05,03,              5.32
41.25,-116.75,2007,05,03,              5.99
41.25,-116.25,2007,05,03,              5.99
41.75,-120.25,2007,05,03,              6.09
41.75,-119.75,2007,05,03,              5.82
41.75,-119.25,2007,05,03,              5.82
41.75,-118.75,2007,05,03,              5.86
41.75,-118.25,2007,05,03,              5.86
41.75,-117.75,2007,05,03,              5.32
41.75,-117.25,2007,05,03,              5.32
41.75,-116.75,2007,05,03,              5.99
41.75,-116.25,2007,05,03,              5.99
42.25,-120.25,2007,05,03,              5.70
42.25,-119.75,2007,05,03,              5.56
42.25,-119.25,2007,05,03,              5.56
42.25,-118.75,2007,05,03,              5.37
42.25,-118.25,2007,05,03,              5.37
42.25,-117.75,2007,05,03,              6.42
42.25,-117.25,2007,05,03,              6.42
42.25,-116.75,2007,05,03,              6.25
42.25,-116.25,2007,05,03,              6.25
38.25,-120.25,2007,05,04,              4.95
38.25,-119.75,2007,05,04,              5.16
38.25,-119.25,2007,05,04,              5.16
38.25,-118.75,2007,05,04,              5.40
38.25,-118.25,2007,05,04,              5.40
38.25,-117.75,2007,05,04,              5.26
38.25,-117.25,2007,05,04,              5.26
38.25,-116.75,2007,05,04,              3.93
38.25,-116.25,2007,05,04,              3.93
38.75,-120.25,2007,05,04,              4.95
38.75,-119.75,2007,05,04,              5.16
38.75,-119.25,2007,05,04,              5.16
38.75,-118.75,2007,05,04,              5.40
38.75,-118.25,2007,05,04,              5.40
38.75,-117.75,2007,05,04,              5.26
38.75,-117.25,2007,05,04,              5.26
38.75,-116.75,2007,05,04,              3.93
38.75,-116.25,2007,05,04,              3.93
39.25,-120.25,2007,05,04,              5.05
39.25,-119.75,2007,05,04,              5.90
39.25,-119.25,2007,05,04,              5.90
39.25,-118.75,2007,05,04,              4.97
39.25,-118.25,2007,05,04,              4.97
39.25,-117.75,2007,05,04,              4.95
39.25,-117.25,2007,05,04,              4.95
39.25,-116.75,2007,05,04,              3.63
39.25,-116.25,2007,05,04,              3.63
39.75,-120.25,2007,05,04,              5.05
39.75,-119.75,2007,05,04,              5.90
39.75,-119.25,2007,05,04,              5.90
39.75,-118.75,2007,05,04,              4.97
39.75,-118.25,2007,05,04,              4.97
39.75,-117.75,2007,05,04,              4.95
39.75,-117.25,2007,05,04,              4.95
39.75,-116.75,2007,05,04,              3.63
39.75,-116.25,2007,05,04,              3.63
40.25,-120.25,2007,05,04,              5.01
40.25,-119.75,2007,05,04,              4.91
40.25,-119.25,2007,05,04,              4.91
40.25,-118.75,2007,05,04,              4.45
40.25,-118.25,2007,05,04,              4.45
40.25,-117.75,2007,05,04,              4.00
40.25,-117.25,2007,05,04,              4.00
40.25,-116.75,2007,05,04,              3.98
40.25,-116.25,2007,05,04,              3.98
40.75,-120.25,2007,05,04,              5.01
40.75,-119.75,2007,05,04,              4.91
40.75,-119.25,2007,05,04,              4.91
40.75,-118.75,2007,05,04,              4.45
40.75,-118.25,2007,05,04,              4.45
40.75,-117.75,2007,05,04,              4.00
40.75,-117.25,2007,05,04,              4.00
40.75,-116.75,2007,05,04,              3.98
40.75,-116.25,2007,05,04,              3.98
41.25,-120.25,2007,05,04,              5.30
41.25,-119.75,2007,05,04,              4.64
41.25,-119.25,2007,05,04,              4.64
41.25,-118.75,2007,05,04,              5.61
41.25,-118.25,2007,05,04,              5.61
41.25,-117.75,2007,05,04,              5.77
41.25,-117.25,2007,05,04,              5.77
41.25,-116.75,2007,05,04,              5.70
41.25,-116.25,2007,05,04,              5.70
41.75,-120.25,2007,05,04,              5.30
41.75,-119.75,2007,05,04,              4.64
41.75,-119.25,2007,05,04,              4.64
41.75,-118.75,2007,05,04,              5.61
41.75,-118.25,2007,05,04,              5.61
41.75,-117.75,2007,05,04,              5.77
41.75,-117.25,2007,05,04,              5.77
41.75,-116.75,2007,05,04,              5.70
41.75,-116.25,2007,05,04,              5.70
42.25,-120.25,2007,05,04,              5.07
42.25,-119.75,2007,05,04,              5.11
42.25,-119.25,2007,05,04,              5.11
42.25,-118.75,2007,05,04,              5.13
42.25,-118.25,2007,05,04,              5.13
42.25,-117.75,2007,05,04,              6.27
42.25,-117.25,2007,05,04,              6.27
42.25,-116.75,2007,05,04,              7.34
42.25,-116.25,2007,05,04,              7.34
38.25,-120.25,2007,05,05,              8.54
38.25,-119.75,2007,05,05,              7.07
38.25,-119.25,2007,05,05,              7.07
38.25,-118.75,2007,05,05,              7.22
38.25,-118.25,2007,05,05,              7.22
38.25,-117.75,2007,05,05,              6.62
38.25,-117.25,2007,05,05,              6.62
38.25,-116.75,2007,05,05,              6.04
38.25,-116.25,2007,05,05,              6.04
38.75,-120.25,2007,05,05,              8.54
38.75,-119.75,2007,05,05,              7.07
38.75,-119.25,2007,05,05,              7.07
38.75,-118.75,2007,05,05,              7.22
38.75,-118.25,2007,05,05,              7.22
38.75,-117.75,2007,05,05,              6.62
38.75,-117.25,2007,05,05,              6.62
38.75,-116.75,2007,05,05,              6.04
38.75,-116.25,2007,05,05,              6.04
39.25,-120.25,2007,05,05,              7.92
39.25,-119.75,2007,05,05,              7.50
39.25,-119.25,2007,05,05,              7.50
