-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-100.25,2007,05,01,              5.96
30.25,-99.75,2007,05,01,              5.34
30.25,-99.25,2007,05,01,              5.34
30.25,-98.75,2007,05,01,              3.39
30.25,-98.25,2007,05,01,              3.39
30.25,-97.75,2007,05,01,              2.13
30.25,-97.25,2007,05,01,              2.13
30.25,-96.75,2007,05,01,              1.22
30.25,-96.25,2007,05,01,              1.22
30.75,-100.25,2007,05,01,              5.96
30.75,-99.75,2007,05,01,              5.34
30.75,-99.25,2007,05,01,              5.34
30.75,-98.75,2007,05,01,              3.39
30.75,-98.25,2007,05,01,              3.39
30.75,-97.75,2007,05,01,              2.13
30.75,-97.25,2007,05,01,              2.13
30.75,-96.75,2007,05,01,              1.22
30.75,-96.25,2007,05,01,              1.22
31.25,-100.25,2007,05,01,              6.32
31.25,-99.75,2007,05,01,              5.95
31.25,-99.25,2007,05,01,              5.95
31.25,-98.75,2007,05,01,              3.72
31.25,-98.25,2007,05,01,              3.72
31.25,-97.75,2007,05,01,              1.77
31.25,-97.25,2007,05,01,              1.77
31.25,-96.75,2007,05,01,              0.86
31.25,-96.25,2007,05,01,              0.86
31.75,-100.25,2007,05,01,              6.32
31.75,-99.75,2007,05,01,              5.95
31.75,-99.25,2007,05,01,              5.95
31.75,-98.75,2007,05,01,              3.72
31.75,-98.25,2007,05,01,              3.72
31.75,-97.75,2007,05,01,              1.77
31.75,-97.25,2007,05,01,              1.77
31.75,-96.75,2007,05,01,              0.86
31.75,-96.25,2007,05,01,              0.86
32.25,-100.25,2007,05,01,              6.66
32.25,-99.75,2007,05,01,              5.18
32.25,-99.25,2007,05,01,              5.18
32.25,-98.75,2007,05,01,              4.02
32.25,-98.25,2007,05,01,              4.02
32.25,-97.75,2007,05,01,              2.40
32.25,-97.25,2007,05,01,              2.40
32.25,-96.75,2007,05,01,              1.33
32.25,-96.25,2007,05,01,              1.33
32.75,-100.25,2007,05,01,              6.66
32.75,-99.75,2007,05,01,              5.18
32.75,-99.25,2007,05,01,              5.18
32.75,-98.75,2007,05,01,              4.02
32.75,-98.25,2007,05,01,              4.02
32.75,-97.75,2007,05,01,              2.40
32.75,-97.25,2007,05,01,              2.40
32.75,-96.75,2007,05,01,              1.33
32.75,-96.25,2007,05,01,              1.33
33.25,-100.25,2007,05,01,              6.38
33.25,-99.75,2007,05,01,              4.94
33.25,-99.25,2007,05,01,              4.94
33.25,-98.75,2007,05,01,              4.70
33.25,-98.25,2007,05,01,              4.70
33.25,-97.75,2007,05,01,              4.72
33.25,-97.25,2007,05,01,              4.72
33.25,-96.75,2007,05,01,              3.12
33.25,-96.25,2007,05,01,              3.12
33.75,-100.25,2007,05,01,              6.38
33.75,-99.75,2007,05,01,              4.94
33.75,-99.25,2007,05,01,              4.94
33.75,-98.75,2007,05,01,              4.70
33.75,-98.25,2007,05,01,              4.70
33.75,-97.75,2007,05,01,              4.72
33.75,-97.25,2007,05,01,              4.72
33.75,-96.75,2007,05,01,              3.12
33.75,-96.25,2007,05,01,              3.12
34.25,-100.25,2007,05,01,              6.39
34.25,-99.75,2007,05,01,              5.34
34.25,-99.25,2007,05,01,              5.34
34.25,-98.75,2007,05,01,              5.32
34.25,-98.25,2007,05,01,              5.32
34.25,-97.75,2007,05,01,              4.32
34.25,-97.25,2007,05,01,              4.32
34.25,-96.75,2007,05,01,              3.55
34.25,-96.25,2007,05,01,              3.55
30.25,-100.25,2007,05,02,              2.23
30.25,-99.75,2007,05,02,              1.45
30.25,-99.25,2007,05,02,              1.45
30.25,-98.75,2007,05,02,              1.54
30.25,-98.25,2007,05,02,              1.54
30.25,-97.75,2007,05,02,              2.40
30.25,-97.25,2007,05,02,              2.40
30.25,-96.75,2007,05,02,              3.22
30.25,-96.25,2007,05,02,              3.22
30.75,-100.25,2007,05,02,              2.23
30.75,-99.75,2007,05,02,              1.45
30.75,-99.25,2007,05,02,              1.45
30.75,-98.75,2007,05,02,              1.54
30.75,-98.25,2007,05,02,              1.54
30.75,-97.75,2007,05,02,              2.40
30.75,-97.25,2007,05,02,              2.40
30.75,-96.75,2007,05,02,              3.22
30.75,-96.25,2007,05,02,              3.22
31.25,-100.25,2007,05,02,              2.69
31.25,-99.75,2007,05,02,              1.94
31.25,-99.25,2007,05,02,              1.94
31.25,-98.75,2007,05,02,              3.02
31.25,-98.25,2007,05,02,              3.02
31.25,-97.75,2007,05,02,              3.24
31.25,-97.25,2007,05,02,              3.24
31.25,-96.75,2007,05,02,              2.63
31.25,-96.25,2007,05,02,              2.63
31.75,-100.25,2007,05,02,              2.69
31.75,-99.75,2007,05,02,              1.94
31.75,-99.25,2007,05,02,              1.94
31.75,-98.75,2007,05,02,              3.02
31.75,-98.25,2007,05,02,              3.02
31.75,-97.75,2007,05,02,              3.24
31.75,-97.25,2007,05,02,              3.24
31.75,-96.75,2007,05,02,              2.63
31.75,-96.25,2007,05,02,              2.63
32.25,-100.25,2007,05,02,              1.29
32.25,-99.75,2007,05,02,              2.15
32.25,-99.25,2007,05,02,              2.15
