-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
38.25,-104.25,2007,05,01,              4.87
38.25,-103.75,2007,05,01,              6.54
38.25,-103.25,2007,05,01,              6.54
38.25,-102.75,2007,05,01,              7.50
38.25,-102.25,2007,05,01,              7.50
38.25,-101.75,2007,05,01,              5.01
38.25,-101.25,2007,05,01,              5.01
38.25,-100.75,2007,05,01,              5.53
38.25,-100.25,2007,05,01,              5.53
38.75,-104.25,2007,05,01,              4.87
38.75,-103.75,2007,05,01,              6.54
38.75,-103.25,2007,05,01,              6.54
38.75,-102.75,2007,05,01,              7.50
38.75,-102.25,2007,05,01,              7.50
38.75,-101.75,2007,05,01,              5.01
38.75,-101.25,2007,05,01,              5.01
38.75,-100.75,2007,05,01,              5.53
38.75,-100.25,2007,05,01,              5.53
39.25,-104.25,2007,05,01,              5.23
39.25,-103.75,2007,05,01,              6.33
39.25,-103.25,2007,05,01,              6.33
39.25,-102.75,2007,05,01,              6.38
39.25,-102.25,2007,05,01,              6.38
39.25,-101.75,2007,05,01,              4.85
39.25,-101.25,2007,05,01,              4.85
39.25,-100.75,2007,05,01,              3.91
39.25,-100.25,2007,05,01,              3.91
39.75,-104.25,2007,05,01,              5.23
39.75,-103.75,2007,05,01,              6.33
39.75,-103.25,2007,05,01,              6.33
39.75,-102.75,2007,05,01,              6.38
39.75,-102.25,2007,05,01,              6.38
39.75,-101.75,2007,05,01,              4.85
39.75,-101.25,2007,05,01,              4.85
39.75,-100.75,2007,05,01,              3.91
39.75,-100.25,2007,05,01,              3.91
40.25,-104.25,2007,05,01,              5.57
40.25,-103.75,2007,05,01,              6.65
40.25,-103.25,2007,05,01,              6.65
40.25,-102.75,2007,05,01,              6.84
40.25,-102.25,2007,05,01,              6.84
40.25,-101.75,2007,05,01,              6.70
40.25,-101.25,2007,05,01,              6.70
40.25,-100.75,2007,05,01,              5.54
40.25,-100.25,2007,05,01,              5.54
40.75,-104.25,2007,05,01,              5.57
40.75,-103.75,2007,05,01,              6.65
40.75,-103.25,2007,05,01,              6.65
40.75,-102.75,2007,05,01,              6.84
40.75,-102.25,2007,05,01,              6.84
40.75,-101.75,2007,05,01,              6.70
40.75,-101.25,2007,05,01,              6.70
40.75,-100.75,2007,05,01,              5.54
40.75,-100.25,2007,05,01,              5.54
41.25,-104.25,2007,05,01,              6.79
41.25,-103.75,2007,05,01,              6.89
41.25,-103.25,2007,05,01,              6.89
41.25,-102.75,2007,05,01,              6.92
41.25,-102.25,2007,05,01,              6.92
41.25,-101.75,2007,05,01,              7.44
41.25,-101.25,2007,05,01,              7.44
41.25,-100.75,2007,05,01,              7.02
41.25,-100.25,2007,05,01,              7.02
41.75,-104.25,2007,05,01,              6.79
41.75,-103.75,2007,05,01,              6.89
41.75,-103.25,2007,05,01,              6.89
41.75,-102.75,2007,05,01,              6.92
41.75,-102.25,2007,05,01,              6.92
41.75,-101.75,2007,05,01,              7.44
41.75,-101.25,2007,05,01,              7.44
41.75,-100.75,2007,05,01,              7.02
41.75,-100.25,2007,05,01,              7.02
42.25,-104.25,2007,05,01,              6.93
42.25,-103.75,2007,05,01,              6.84
42.25,-103.25,2007,05,01,              6.84
42.25,-102.75,2007,05,01,              7.20
42.25,-102.25,2007,05,01,              7.20
42.25,-101.75,2007,05,01,              7.40
42.25,-101.25,2007,05,01,              7.40
42.25,-100.75,2007,05,01,              7.05
42.25,-100.25,2007,05,01,              7.05
