-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
26.25,-92.25,2007,05,01,              7.85
26.25,-91.75,2007,05,01,              7.79
26.25,-91.25,2007,05,01,              7.79
26.25,-90.75,2007,05,01,              7.86
26.25,-90.25,2007,05,01,              7.86
26.25,-89.75,2007,05,01,              7.95
26.25,-89.25,2007,05,01,              7.95
26.25,-88.75,2007,05,01,              8.09
26.25,-88.25,2007,05,01,              8.09
26.75,-92.25,2007,05,01,              7.85
26.75,-91.75,2007,05,01,              7.79
26.75,-91.25,2007,05,01,              7.79
26.75,-90.75,2007,05,01,              7.86
26.75,-90.25,2007,05,01,              7.86
26.75,-89.75,2007,05,01,              7.95
26.75,-89.25,2007,05,01,              7.95
26.75,-88.75,2007,05,01,              8.09
26.75,-88.25,2007,05,01,              8.09
27.25,-92.25,2007,05,01,              7.93
27.25,-91.75,2007,05,01,              7.76
27.25,-91.25,2007,05,01,              7.76
27.25,-90.75,2007,05,01,              7.94
27.25,-90.25,2007,05,01,              7.94
27.25,-89.75,2007,05,01,              7.76
27.25,-89.25,2007,05,01,              7.76
27.25,-88.75,2007,05,01,              7.92
27.25,-88.25,2007,05,01,              7.92
27.75,-92.25,2007,05,01,              7.93
27.75,-91.75,2007,05,01,              7.76
27.75,-91.25,2007,05,01,              7.76
27.75,-90.75,2007,05,01,              7.94
27.75,-90.25,2007,05,01,              7.94
27.75,-89.75,2007,05,01,              7.76
27.75,-89.25,2007,05,01,              7.76
27.75,-88.75,2007,05,01,              7.92
27.75,-88.25,2007,05,01,              7.92
28.25,-92.25,2007,05,01,              7.79
28.25,-91.75,2007,05,01,              7.90
28.25,-91.25,2007,05,01,              7.90
28.25,-90.75,2007,05,01,              7.49
28.25,-90.25,2007,05,01,              7.49
28.25,-89.75,2007,05,01,              7.86
28.25,-89.25,2007,05,01,              7.86
28.25,-88.75,2007,05,01,              8.00
28.25,-88.25,2007,05,01,              8.00
28.75,-92.25,2007,05,01,              7.79
28.75,-91.75,2007,05,01,              7.90
