-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
34.25,-96.25,2007,05,01,              3.55
34.25,-95.75,2007,05,01,              1.50
34.25,-95.25,2007,05,01,              1.50
34.25,-94.75,2007,05,01,              0.67
34.25,-94.25,2007,05,01,              0.67
34.25,-93.75,2007,05,01,              1.14
34.25,-93.25,2007,05,01,              1.14
34.25,-92.75,2007,05,01,              3.69
34.25,-92.25,2007,05,01,              3.69
34.75,-96.25,2007,05,01,              3.55
34.75,-95.75,2007,05,01,              1.50
34.75,-95.25,2007,05,01,              1.50
34.75,-94.75,2007,05,01,              0.67
34.75,-94.25,2007,05,01,              0.67
34.75,-93.75,2007,05,01,              1.14
34.75,-93.25,2007,05,01,              1.14
34.75,-92.75,2007,05,01,              3.69
34.75,-92.25,2007,05,01,              3.69
35.25,-96.25,2007,05,01,              2.82
35.25,-95.75,2007,05,01,              1.56
35.25,-95.25,2007,05,01,              1.56
35.25,-94.75,2007,05,01,              0.73
35.25,-94.25,2007,05,01,              0.73
35.25,-93.75,2007,05,01,              1.28
35.25,-93.25,2007,05,01,              1.28
35.25,-92.75,2007,05,01,              2.73
35.25,-92.25,2007,05,01,              2.73
35.75,-96.25,2007,05,01,              2.82
35.75,-95.75,2007,05,01,              1.56
35.75,-95.25,2007,05,01,              1.56
35.75,-94.75,2007,05,01,              0.73
35.75,-94.25,2007,05,01,              0.73
35.75,-93.75,2007,05,01,              1.28
35.75,-93.25,2007,05,01,              1.28
35.75,-92.75,2007,05,01,              2.73
35.75,-92.25,2007,05,01,              2.73
