-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
46.25,-108.25,2007,05,01,              7.01
46.25,-107.75,2007,05,01,              7.13
46.25,-107.25,2007,05,01,              7.13
46.25,-106.75,2007,05,01,              7.13
46.25,-106.25,2007,05,01,              7.13
46.25,-105.75,2007,05,01,              6.56
46.25,-105.25,2007,05,01,              6.56
46.25,-104.75,2007,05,01,              6.56
46.25,-104.25,2007,05,01,              6.56
46.75,-108.25,2007,05,01,              7.01
46.75,-107.75,2007,05,01,              7.13
46.75,-107.25,2007,05,01,              7.13
46.75,-106.75,2007,05,01,              7.13
46.75,-106.25,2007,05,01,              7.13
46.75,-105.75,2007,05,01,              6.56
46.75,-105.25,2007,05,01,              6.56
46.75,-104.75,2007,05,01,              6.56
46.75,-104.25,2007,05,01,              6.56
47.25,-108.25,2007,05,01,              6.88
47.25,-107.75,2007,05,01,              6.80
47.25,-107.25,2007,05,01,              6.80
47.25,-106.75,2007,05,01,              6.80
47.25,-106.25,2007,05,01,              6.80
47.25,-105.75,2007,05,01,              6.18
47.25,-105.25,2007,05,01,              6.18
47.25,-104.75,2007,05,01,              6.18
47.25,-104.25,2007,05,01,              6.18
47.75,-108.25,2007,05,01,              6.88
47.75,-107.75,2007,05,01,              6.80
47.75,-107.25,2007,05,01,              6.80
47.75,-106.75,2007,05,01,              6.80
47.75,-106.25,2007,05,01,              6.80
47.75,-105.75,2007,05,01,              6.18
47.75,-105.25,2007,05,01,              6.18
47.75,-104.75,2007,05,01,              6.18
47.75,-104.25,2007,05,01,              6.18
48.25,-108.25,2007,05,01,              6.18
48.25,-107.75,2007,05,01,              6.39
48.25,-107.25,2007,05,01,              6.39
48.25,-106.75,2007,05,01,              6.39
48.25,-106.25,2007,05,01,              6.39
48.25,-105.75,2007,05,01,              6.39
48.25,-105.25,2007,05,01,              6.39
48.25,-104.75,2007,05,01,              6.39
48.25,-104.25,2007,05,01,              6.39
48.75,-108.25,2007,05,01,              6.18
48.75,-107.75,2007,05,01,              6.39
48.75,-107.25,2007,05,01,              6.39
48.75,-106.75,2007,05,01,              6.39
48.75,-106.25,2007,05,01,              6.39
48.75,-105.75,2007,05,01,              6.39
48.75,-105.25,2007,05,01,              6.39
48.75,-104.75,2007,05,01,              6.39
48.75,-104.25,2007,05,01,              6.39
49.25,-108.25,2007,05,01,              5.81
49.25,-107.75,2007,05,01,              5.80
49.25,-107.25,2007,05,01,              5.80
49.25,-106.75,2007,05,01,              5.80
49.25,-106.25,2007,05,01,              5.80
49.25,-105.75,2007,05,01,              6.07
49.25,-105.25,2007,05,01,              6.07
49.25,-104.75,2007,05,01,              6.07
49.25,-104.25,2007,05,01,              6.07
49.75,-108.25,2007,05,01,              5.81
49.75,-107.75,2007,05,01,              5.80
49.75,-107.25,2007,05,01,              5.80
49.75,-106.75,2007,05,01,              5.80
49.75,-106.25,2007,05,01,              5.80
49.75,-105.75,2007,05,01,              6.07
49.75,-105.25,2007,05,01,              6.07
49.75,-104.75,2007,05,01,              6.07
49.75,-104.25,2007,05,01,              6.07
50.25,-108.25,2007,05,01,              3.06
50.25,-107.75,2007,05,01,              3.82
50.25,-107.25,2007,05,01,              3.82
50.25,-106.75,2007,05,01,              3.82
50.25,-106.25,2007,05,01,              3.82
50.25,-105.75,2007,05,01,              5.01
50.25,-105.25,2007,05,01,              5.01
50.25,-104.75,2007,05,01,              5.01
50.25,-104.25,2007,05,01,              5.01
46.25,-108.25,2007,05,02,              4.35
46.25,-107.75,2007,05,02,              4.19
46.25,-107.25,2007,05,02,              4.19
46.25,-106.75,2007,05,02,              4.19
46.25,-106.25,2007,05,02,              4.19
46.25,-105.75,2007,05,02,              5.92
46.25,-105.25,2007,05,02,              5.92
46.25,-104.75,2007,05,02,              5.92
46.25,-104.25,2007,05,02,              5.92
46.75,-108.25,2007,05,02,              4.35
46.75,-107.75,2007,05,02,              4.19
46.75,-107.25,2007,05,02,              4.19
46.75,-106.75,2007,05,02,              4.19
46.75,-106.25,2007,05,02,              4.19
46.75,-105.75,2007,05,02,              5.92
46.75,-105.25,2007,05,02,              5.92
46.75,-104.75,2007,05,02,              5.92
