-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-116.25,2007,05,01,              5.83
30.25,-115.75,2007,05,01,              3.47
30.25,-115.25,2007,05,01,              3.47
30.25,-114.75,2007,05,01,              5.06
30.25,-114.25,2007,05,01,              5.06
30.25,-113.75,2007,05,01,              7.12
30.25,-113.25,2007,05,01,              7.12
30.25,-112.75,2007,05,01,              6.27
30.25,-112.25,2007,05,01,              6.27
30.75,-116.25,2007,05,01,              5.83
30.75,-115.75,2007,05,01,              3.47
30.75,-115.25,2007,05,01,              3.47
30.75,-114.75,2007,05,01,              5.06
30.75,-114.25,2007,05,01,              5.06
30.75,-113.75,2007,05,01,              7.12
30.75,-113.25,2007,05,01,              7.12
30.75,-112.75,2007,05,01,              6.27
30.75,-112.25,2007,05,01,              6.27
31.25,-116.25,2007,05,01,              4.42
31.25,-115.75,2007,05,01,              3.56
31.25,-115.25,2007,05,01,              3.56
31.25,-114.75,2007,05,01,              4.79
31.25,-114.25,2007,05,01,              4.79
31.25,-113.75,2007,05,01,              6.71
31.25,-113.25,2007,05,01,              6.71
31.25,-112.75,2007,05,01,              5.98
31.25,-112.25,2007,05,01,              5.98
31.75,-116.25,2007,05,01,              4.42
31.75,-115.75,2007,05,01,              3.56
31.75,-115.25,2007,05,01,              3.56
31.75,-114.75,2007,05,01,              4.79
31.75,-114.25,2007,05,01,              4.79
31.75,-113.75,2007,05,01,              6.71
31.75,-113.25,2007,05,01,              6.71
31.75,-112.75,2007,05,01,              5.98
31.75,-112.25,2007,05,01,              5.98
32.25,-116.25,2007,05,01,              3.46
32.25,-115.75,2007,05,01,              4.02
32.25,-115.25,2007,05,01,              4.02
32.25,-114.75,2007,05,01,              5.26
32.25,-114.25,2007,05,01,              5.26
32.25,-113.75,2007,05,01,              5.68
32.25,-113.25,2007,05,01,              5.68
32.25,-112.75,2007,05,01,              4.90
32.25,-112.25,2007,05,01,              4.90
32.75,-116.25,2007,05,01,              3.46
32.75,-115.75,2007,05,01,              4.02
32.75,-115.25,2007,05,01,              4.02
32.75,-114.75,2007,05,01,              5.26
32.75,-114.25,2007,05,01,              5.26
32.75,-113.75,2007,05,01,              5.68
32.75,-113.25,2007,05,01,              5.68
32.75,-112.75,2007,05,01,              4.90
32.75,-112.25,2007,05,01,              4.90
33.25,-116.25,2007,05,01,              5.10
33.25,-115.75,2007,05,01,              5.23
33.25,-115.25,2007,05,01,              5.23
33.25,-114.75,2007,05,01,              4.51
33.25,-114.25,2007,05,01,              4.51
33.25,-113.75,2007,05,01,              3.36
33.25,-113.25,2007,05,01,              3.36
33.25,-112.75,2007,05,01,              3.49
33.25,-112.25,2007,05,01,              3.49
33.75,-116.25,2007,05,01,              5.10
33.75,-115.75,2007,05,01,              5.23
33.75,-115.25,2007,05,01,              5.23
33.75,-114.75,2007,05,01,              4.51
33.75,-114.25,2007,05,01,              4.51
33.75,-113.75,2007,05,01,              3.36
33.75,-113.25,2007,05,01,              3.36
33.75,-112.75,2007,05,01,              3.49
33.75,-112.25,2007,05,01,              3.49
34.25,-116.25,2007,05,01,              6.80
34.25,-115.75,2007,05,01,              6.84
34.25,-115.25,2007,05,01,              6.84
34.25,-114.75,2007,05,01,              5.85
34.25,-114.25,2007,05,01,              5.85
34.25,-113.75,2007,05,01,              4.25
34.25,-113.25,2007,05,01,              4.25
34.25,-112.75,2007,05,01,              3.31
34.25,-112.25,2007,05,01,              3.31
30.25,-116.25,2007,05,02,              7.17
30.25,-115.75,2007,05,02,              7.97
30.25,-115.25,2007,05,02,              7.97
30.25,-114.75,2007,05,02,              8.18
30.25,-114.25,2007,05,02,              8.18
30.25,-113.75,2007,05,02,              7.72
30.25,-113.25,2007,05,02,              7.72
