-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-112.25,2007,05,01,              6.27
30.25,-111.75,2007,05,01,              7.39
30.25,-111.25,2007,05,01,              7.39
30.25,-110.75,2007,05,01,              7.44
30.25,-110.25,2007,05,01,              7.44
30.25,-109.75,2007,05,01,              6.71
30.25,-109.25,2007,05,01,              6.71
30.25,-108.75,2007,05,01,              7.45
30.25,-108.25,2007,05,01,              7.45
30.75,-112.25,2007,05,01,              6.27
30.75,-111.75,2007,05,01,              7.39
30.75,-111.25,2007,05,01,              7.39
30.75,-110.75,2007,05,01,              7.44
30.75,-110.25,2007,05,01,              7.44
30.75,-109.75,2007,05,01,              6.71
30.75,-109.25,2007,05,01,              6.71
30.75,-108.75,2007,05,01,              7.45
30.75,-108.25,2007,05,01,              7.45
31.25,-112.25,2007,05,01,              5.98
31.25,-111.75,2007,05,01,              6.35
31.25,-111.25,2007,05,01,              6.35
31.25,-110.75,2007,05,01,              5.23
31.25,-110.25,2007,05,01,              5.23
31.25,-109.75,2007,05,01,              5.90
31.25,-109.25,2007,05,01,              5.90
31.25,-108.75,2007,05,01,              6.36
31.25,-108.25,2007,05,01,              6.36
31.75,-112.25,2007,05,01,              5.98
31.75,-111.75,2007,05,01,              6.35
31.75,-111.25,2007,05,01,              6.35
31.75,-110.75,2007,05,01,              5.23
31.75,-110.25,2007,05,01,              5.23
31.75,-109.75,2007,05,01,              5.90
31.75,-109.25,2007,05,01,              5.90
31.75,-108.75,2007,05,01,              6.36
31.75,-108.25,2007,05,01,              6.36
32.25,-112.25,2007,05,01,              4.90
32.25,-111.75,2007,05,01,              4.97
32.25,-111.25,2007,05,01,              4.97
32.25,-110.75,2007,05,01,              5.84
32.25,-110.25,2007,05,01,              5.84
32.25,-109.75,2007,05,01,              4.99
32.25,-109.25,2007,05,01,              4.99
32.25,-108.75,2007,05,01,              6.11
32.25,-108.25,2007,05,01,              6.11
32.75,-112.25,2007,05,01,              4.90
32.75,-111.75,2007,05,01,              4.97
32.75,-111.25,2007,05,01,              4.97
32.75,-110.75,2007,05,01,              5.84
32.75,-110.25,2007,05,01,              5.84
32.75,-109.75,2007,05,01,              4.99
32.75,-109.25,2007,05,01,              4.99
32.75,-108.75,2007,05,01,              6.11
32.75,-108.25,2007,05,01,              6.11
33.25,-112.25,2007,05,01,              3.49
33.25,-111.75,2007,05,01,              3.83
33.25,-111.25,2007,05,01,              3.83
33.25,-110.75,2007,05,01,              4.05
33.25,-110.25,2007,05,01,              4.05
33.25,-109.75,2007,05,01,              4.69
33.25,-109.25,2007,05,01,              4.69
33.25,-108.75,2007,05,01,              4.98
33.25,-108.25,2007,05,01,              4.98
33.75,-112.25,2007,05,01,              3.49
33.75,-111.75,2007,05,01,              3.83
33.75,-111.25,2007,05,01,              3.83
