-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2007 through 09/30/2007 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.25,-80.25,2007,05,01,              7.81
30.25,-79.75,2007,05,01,              8.12
30.25,-79.25,2007,05,01,              8.12
30.25,-78.75,2007,05,01,              8.16
30.25,-78.25,2007,05,01,              8.16
30.25,-77.75,2007,05,01,              8.15
30.25,-77.25,2007,05,01,              8.15
30.25,-76.75,2007,05,01,              8.22
30.25,-76.25,2007,05,01,              8.22
30.75,-80.25,2007,05,01,              7.81
30.75,-79.75,2007,05,01,              8.12
30.75,-79.25,2007,05,01,              8.12
30.75,-78.75,2007,05,01,              8.16
30.75,-78.25,2007,05,01,              8.16
30.75,-77.75,2007,05,01,              8.15
30.75,-77.25,2007,05,01,              8.15
30.75,-76.75,2007,05,01,              8.22
30.75,-76.25,2007,05,01,              8.22
31.25,-80.25,2007,05,01,              7.76
31.25,-79.75,2007,05,01,              8.04
31.25,-79.25,2007,05,01,              8.04
31.25,-78.75,2007,05,01,              7.95
31.25,-78.25,2007,05,01,              7.95
31.25,-77.75,2007,05,01,              8.00
31.25,-77.25,2007,05,01,              8.00
31.25,-76.75,2007,05,01,              8.15
31.25,-76.25,2007,05,01,              8.15
31.75,-80.25,2007,05,01,              7.76
31.75,-79.75,2007,05,01,              8.04
31.75,-79.25,2007,05,01,              8.04
31.75,-78.75,2007,05,01,              7.95
31.75,-78.25,2007,05,01,              7.95
31.75,-77.75,2007,05,01,              8.00
31.75,-77.25,2007,05,01,              8.00
31.75,-76.75,2007,05,01,              8.15
31.75,-76.25,2007,05,01,              8.15
32.25,-80.25,2007,05,01,              7.33
32.25,-79.75,2007,05,01,              7.89
32.25,-79.25,2007,05,01,              7.89
32.25,-78.75,2007,05,01,              7.99
32.25,-78.25,2007,05,01,              7.99
32.25,-77.75,2007,05,01,              8.00
32.25,-77.25,2007,05,01,              8.00
32.25,-76.75,2007,05,01,              7.84
32.25,-76.25,2007,05,01,              7.84
32.75,-80.25,2007,05,01,              7.33
32.75,-79.75,2007,05,01,              7.89
32.75,-79.25,2007,05,01,              7.89
32.75,-78.75,2007,05,01,              7.99
32.75,-78.25,2007,05,01,              7.99
32.75,-77.75,2007,05,01,              8.00
32.75,-77.25,2007,05,01,              8.00
32.75,-76.75,2007,05,01,              7.84
32.75,-76.25,2007,05,01,              7.84
33.25,-80.25,2007,05,01,              7.11
33.25,-79.75,2007,05,01,              7.42
33.25,-79.25,2007,05,01,              7.42
33.25,-78.75,2007,05,01,              7.89
33.25,-78.25,2007,05,01,              7.89
33.25,-77.75,2007,05,01,              7.91
33.25,-77.25,2007,05,01,              7.91
33.25,-76.75,2007,05,01,              8.07
33.25,-76.25,2007,05,01,              8.07
33.75,-80.25,2007,05,01,              7.11
33.75,-79.75,2007,05,01,              7.42
33.75,-79.25,2007,05,01,              7.42
33.75,-78.75,2007,05,01,              7.89
33.75,-78.25,2007,05,01,              7.89
33.75,-77.75,2007,05,01,              7.91
33.75,-77.25,2007,05,01,              7.91
33.75,-76.75,2007,05,01,              8.07
33.75,-76.25,2007,05,01,              8.07
34.25,-80.25,2007,05,01,              7.67
34.25,-79.75,2007,05,01,              7.36
34.25,-79.25,2007,05,01,              7.36
34.25,-78.75,2007,05,01,              7.38
34.25,-78.25,2007,05,01,              7.38
34.25,-77.75,2007,05,01,              7.37
34.25,-77.25,2007,05,01,              7.37
34.25,-76.75,2007,05,01,              7.80
34.25,-76.25,2007,05,01,              7.80
30.25,-80.25,2007,05,02,              6.90
30.25,-79.75,2007,05,02,              7.54
30.25,-79.25,2007,05,02,              7.54
30.25,-78.75,2007,05,02,              7.61
30.25,-78.25,2007,05,02,              7.61
30.25,-77.75,2007,05,02,              5.90
30.25,-77.25,2007,05,02,              5.90
30.25,-76.75,2007,05,02,              7.21
30.25,-76.25,2007,05,02,              7.21
30.75,-80.25,2007,05,02,              6.90
30.75,-79.75,2007,05,02,              7.54
30.75,-79.25,2007,05,02,              7.54
30.75,-78.75,2007,05,02,              7.61
30.75,-78.25,2007,05,02,              7.61
30.75,-77.75,2007,05,02,              5.90
30.75,-77.25,2007,05,02,              5.90
30.75,-76.75,2007,05,02,              7.21
30.75,-76.25,2007,05,02,              7.21
31.25,-80.25,2007,05,02,              6.47
31.25,-79.75,2007,05,02,              7.35
31.25,-79.25,2007,05,02,              7.35
31.25,-78.75,2007,05,02,              7.77
31.25,-78.25,2007,05,02,              7.77
31.25,-77.75,2007,05,02,              7.28
31.25,-77.25,2007,05,02,              7.28
31.25,-76.75,2007,05,02,              7.01
31.25,-76.25,2007,05,02,              7.01
31.75,-80.25,2007,05,02,              6.47
31.75,-79.75,2007,05,02,              7.35
31.75,-79.25,2007,05,02,              7.35
31.75,-78.75,2007,05,02,              7.77
31.75,-78.25,2007,05,02,              7.77
31.75,-77.75,2007,05,02,              7.28
31.75,-77.25,2007,05,02,              7.28
31.75,-76.75,2007,05,02,              7.01
31.75,-76.25,2007,05,02,              7.01
32.25,-80.25,2007,05,02,              6.05
32.25,-79.75,2007,05,02,              6.90
32.25,-79.25,2007,05,02,              6.90
32.25,-78.75,2007,05,02,              7.64
32.25,-78.25,2007,05,02,              7.64
32.25,-77.75,2007,05,02,              8.04
32.25,-77.25,2007,05,02,              8.04
32.25,-76.75,2007,05,02,              7.65
32.25,-76.25,2007,05,02,              7.65
32.75,-80.25,2007,05,02,              6.05
32.75,-79.75,2007,05,02,              6.90
32.75,-79.25,2007,05,02,              6.90
32.75,-78.75,2007,05,02,              7.64
32.75,-78.25,2007,05,02,              7.64
32.75,-77.75,2007,05,02,              8.04
32.75,-77.25,2007,05,02,              8.04
32.75,-76.75,2007,05,02,              7.65
32.75,-76.25,2007,05,02,              7.65
33.25,-80.25,2007,05,02,              6.21
33.25,-79.75,2007,05,02,              6.34
33.25,-79.25,2007,05,02,              6.34
33.25,-78.75,2007,05,02,              7.30
33.25,-78.25,2007,05,02,              7.30
33.25,-77.75,2007,05,02,              7.78
33.25,-77.25,2007,05,02,              7.78
33.25,-76.75,2007,05,02,              8.03
33.25,-76.25,2007,05,02,              8.03
33.75,-80.25,2007,05,02,              6.21
33.75,-79.75,2007,05,02,              6.34
33.75,-79.25,2007,05,02,              6.34
33.75,-78.75,2007,05,02,              7.30
33.75,-78.25,2007,05,02,              7.30
33.75,-77.75,2007,05,02,              7.78
33.75,-77.25,2007,05,02,              7.78
33.75,-76.75,2007,05,02,              8.03
33.75,-76.25,2007,05,02,              8.03
34.25,-80.25,2007,05,02,              6.46
34.25,-79.75,2007,05,02,              6.41
34.25,-79.25,2007,05,02,              6.41
34.25,-78.75,2007,05,02,              6.56
34.25,-78.25,2007,05,02,              6.56
34.25,-77.75,2007,05,02,              7.03
34.25,-77.25,2007,05,02,              7.03
34.25,-76.75,2007,05,02,              7.55
34.25,-76.25,2007,05,02,              7.55
30.25,-80.25,2007,05,03,              7.17
30.25,-79.75,2007,05,03,              7.89
30.25,-79.25,2007,05,03,              7.89
